Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
5,great,nan,gives you lot of platform to explore,i loved the work there and it was friendly,Senior Officer,Former Employee,nan,17/10/2022
4,No regrets,nan,Lots of things to learn boss was great,Some of the work was not meaningful,Anonymous Employee,Former Employee,nan,16/12/2022
5,Really grateful working in DBS Bank,nan,I used to have a worklife balance while working at DBS and the pay is good for freshers Having multiple options I chose DBS Bank and I have no regret taking the decision,My experience wouldnt be sufficient to tell about the cons DBS bank has many experienced and talented people,Application Developer,Former Employee,nan,30/09/2022
5,review,nan,Great talent pool and work ethic,Long working hours and Head office led,Director,Current Employee,nan,11/10/2022
5,Analyst,nan,Transparency Constant feedback gathering and improvement in working solutions,Tendency to retain employee at current role if they’re doing well instead of encouraging them for progression,Analyst,Current Employee,nan,26/09/2022
5,Great place to work,nan,Great team engagement Loved the people on my team,Slow hike Rest all is good,Anonymous Employee,Former Employee,nan,12/09/2022
4,Great work place and culture,nan,Very good and flexible work environment Friendly seniors The company respects their employees Good transport facility,More workload sometimes Tight work life balance,Senior Officer,Current Employee,India TX,16/08/2022
5,Solid experience,nan,Very good colleagues and name brand,Low pay and long hours,Anonymous Employee,Former Employee,nan,26/08/2022
4,great place to learn,nan,good tech stack good environment,work life balance is tough,Anonymous Employee,Current Employee,nan,08/07/2022
4,Pay increment have much room for improvement,nan,Decent employee benefits Good amount of annual leave,Pay increment annually is rather disappointing Always claim to pay competitively but does not seem to be the reality,Analyst,Current Employee,nan,20/05/2022
4,great place to learn,nan,good tech stack good environment,work life balance is tough,Anonymous Employee,Current Employee,nan,08/07/2022
4,Pay increment have much room for improvement,nan,Decent employee benefits Good amount of annual leave,Pay increment annually is rather disappointing Always claim to pay competitively but does not seem to be the reality,Analyst,Current Employee,nan,20/05/2022
5,Great colleagues Healthy culture,nan,Colleagues are genuine and sincere There are no rivalry amongst each other,None that i can think of,Anonymous Employee,Current Employee,nan,14/05/2022
1,Salary,nan,nothing special no different than any other banks,pay and benefit not the greatest,Bank Teller,Former Employee,nan,20/06/2022
5,Excellent company,nan,compensation package was very good similar to other main banks,long work hours endless meeting,Financial Planning Manager,Former Employee,nan,11/04/2022
4,Full Stack Developer,nan,good package Transportation facilities Fun activities,work life balance lack of innovation,Analyst,Former Employee,nan,23/03/2022
4,Good culture but low in compensation,nan,International exposure good culture and learning opportunity,Too many manual processes too many old generation that makes the environment less lively,Data Analyst,Current Employee,nan,27/02/2022
5,EXPEREINCE,nan,It was really to good in dbs,i was really nice to work at dbs,Software Engineer,Current Employee,nan,12/03/2022
5,Good company,nan,high salary good work culture and friendly people,I do not find any cons,Senior Associate,Former Employee,nan,07/03/2022
3,You will survive,nan,beautiful office Good fast growing projects,Zero work life balance No clarity of growth,Software Engineer,Former Employee,nan,15/01/2022
5,Great place to work,nan,Plethora of opportunities to explore internally multiple platforms to learn and grow Great Leadership support,Work life balance can be better,Anonymous Employee,Current Employee,nan,09/11/2021
5,Good,nan,Great company and great work culture,Fast paced Start up culture,Software Development Engineer,Current Employee,India TX,03/11/2021
2,Review,nan,good trainings given to new hires,no work and life balance for sales roles,Anonymous Employee,Former Employee,nan,07/09/2021
4,Good regional bank,nan,culture diversity xregion seminar before pandemic,insufficient attention to people development lower pay raise,Senior Product Sales Manager,Former Employee,San Francisco CA,03/08/2021
5,Good work experience,nan,Good work New tech stack challenging problems,bad managers in company micromanaged org,Analyst,Former Employee,nan,12/07/2021
4,Life in DBS,nan,Company is ever upgrading you will always learn new things always a system to do things,overwork always changing processes always short of manpower,Anonymous Employee,Current Employee,nan,24/05/2021
3,Small review for a custodian,nan,Living wage and easy work unsupervised,No benefits or time off or paid sick days,Custodian,Current Employee,nan,24/03/2021
5,Good place to work,nan,Good benefits and nice people,Everything great Nothing to complain about,Credit Analyst,Former Employee,nan,04/03/2021
4,company review,nan,Good compensation and benefits compared to other banks,High replacement rate for this position but its quite normal since the environment is really fastpaced,Senior Relationship Manager,Former Employee,nan,27/01/2021
3,dfa,nan,working environment is good and colleagues are all graduated from wellknown universities,culture is too aggressive and working hours are long,Anonymous Employee,Former Employee,New York NY,24/01/2021
3,Best bank in the world,nan,Good pay and carerr growth,Too much politics and crab mentality,Vice President,Former Employee,India MS,18/01/2021
5,Great place for hard workers,nan,You work for human beings that you actually see and talk to The partners are experts in their fields that genuinely care about their clients and their employees,You are working in a topflight business with dynamic people that push themselves hard That means as an employee you must do the same It you can handle hard work you will like it if not you want to go elsewhere,Anonymous Employee,Former Employee,nan,04/08/2014
4,Summer Assitant,nan,Colleagues are very willing to help you with any difficulties Team bonding activities are very common within the organisation enabled me to easily make friends and bond with my teammates,Quite local culture I feel like international people would find it hard to adapt to the culture Overtime hours is common and everyone does it without complaining so just do it,Anonymous Employee,Current Employee,nan,01/06/2016
5,Credit Analyst,nan,Entry level work with coaching and training do due diligence analyzing companys background information you can do well in the projects,work without many challenges or changes not many interactions among divisions probably could involve more advanced analytical tools,Anonymous Employee,Former Employee,nan,29/09/2017
5,Investment Banking Summer Analyst,nan,Management was very good and they truly care about their employees Mentorship abilities are good here Ability to work on actually relevant work,Work life balance Some days you are at the office all nights when you have a big assignment due There is not a lot of warning before you get a big project,nan,Former Employee,nan,18/10/2015
5,DBS bank,nan,culture people location salary stable,limited career advancement opportunities promotion too slow,nan,Former Employee,nan,05/12/2015
4,Interview,nan,Good compensation as compared to other companies This company really reward you for your efforts Friendly people Good working environment Structured training,Long working hours which includes weekends You basically will have lesser of own time and live 247 with your colleagues,Relationship Manager,Former Employee,Orchard Park GA,29/09/2017
5,Great Firm,nan,Large in Asia Great MA Program Management really cares about employees,If youre not in Asia or planning on a career in Asia dont bother You need to be able to communicate in Chinese and English,Summer Analyst,Former Employee,New York NY,15/08/2015
5,Senior Manager,nan,Good work culture Chance to work across geographies,Overall good company to work No cons as such,CPA CMA CA,Former Employee,Sacramento CA,29/05/2017
4,UNICORN Management Internship,nan,Very fun and supportive culture Very high autonomy Good mix of startupinnovation and corporate,Bureaucracy catches up and limits innovation,nan,Former Employee,nan,25/10/2017
5,Institutional Banking Intern,nan,Availability of projects you get a lot of things to do and great learning curve,The office culture is not as collegial as expected,nan,Former Employee,nan,01/10/2017
3,DBS India Review,nan,Excellent people around with loads of experience in the banking industry Got to learn a lot from them Was a part of their digibank launch,Internship was not structured to the extent I expected this to be HR department could have been more forthcoming with regards to the dos and donts of the company,nan,Former Employee,nan,29/06/2016
4,BI Consultant,nan,Consulting Firm get lot opporunity to work on different clients,Sometime too much travel and lot time is gone flights,Anonymous Employee,Current Employee,nan,09/02/2017
5,Summer Intern,nan,Innovative and supervisors are willing to teach you,Sometimes OT even for summer Interns,nan,Former Employee,nan,30/09/2016
4,Good people,nan,Friendly people nice working space,Long hours senior management could have better time management,nan,Former Employee,nan,08/12/2014
4,Good experience,nan,Supervisor always there to help and guide you if you hit a brick wall,Sometimes not effective communication,Internship,Former Employee,nan,14/02/2020
4,analyst,nan,good staff and environment,sometimes quite political but it depends on your project you are in,nan,Former Employee,nan,25/05/2018
5,Great culture,nan,People focus culture Great benefits,NAME,Anonymous Employee,Former Employee,nan,10/06/2018
2,Highly political organisation,nan,Work life balance is good,Top heavy structure with managers not bringing in deals,nan,Former Employee,Chicago IL,06/11/2015
4,Intern,nan,people are willing to teach,not a big name company,nan,Former Employee,nan,09/09/2016
3,DBS summer internship on design team,nan,Relaxed and nice people everyone is willing to help,No structured internship if youre on the design team not a lot gets done,nan,Former Employee,nan,29/08/2017
3,Work culture,nan,Latest technologies in use and no formals,Less time lines and hike percentage,Anonymous Employee,Current Employee,Baton Rouge LA,02/05/2018
3,Reasonable Salary,nan,More than enough vacation leave,Stressful had to work early morning and late night,Bank Executive,Former Employee,nan,25/05/2015
3,Work,nan,Good culture and work environment,Great amount of time spent on politics,Anonymous Employee,Current Employee,nan,02/04/2018
4,Forward Thinking,nan,Initiatives from governments are always backed up HR End of the day reward and recognition is really down to your personal contribution and how your boss perceives it Of course everyone would have a contribution but how your boss perceives the value is really up to them Hence it is not just about doing work It is the way we present the work that we do that is important,HR structure within the organization holds too much power The different structures within the organization doesnt allow for easy collaboration,Senior Associate,Current Employee,Singapore,21/03/2023
5,Good Place to work and learn,nan,1Everyone is individual contributor no bosses here 2Visibilty is good in terms of your efforts to the management is transparent 3Internal mobility is encouraged here no internal politics 4 Free transport facility,1Live food counter should be improved 2Should have more options for food,Assistant Vice President,Current Employee,Hyderābād,27/03/2023
5,Best place to work,nan,Better pay Flexi work arrangements Options for internal mobility Transparency of performance discussion Focus on continuous learning Support for innovation Decent job stability,No travel opps Grievance redressal is still in hands of manager Work life balance can be skewed for some roles,Anonymous Employee,Current Employee,Hyderābād,28/03/2023
5,A company where I can Be the Best Be the Change and Be the Difference,nan,Family like culture where collaboration and discussions are part parcel of the daily work Strong internal mobility culture Good channel communication between management team thru townhalls and feedback system from the ground thru Tell Piyush platform,Speedier decision making process All staff to take better ownership of their role and job,HR Business Partner,Current Employee,Singapore,20/03/2023
5,Very Good Company,nan,1Work Life balance Good 2Timing depend on Rolefor me Good 3Events Games make us happy 4Manager HR are good,1 Permanent work from home not giving,Senior Associate,Current Employee,nan,28/03/2023
5,Life in DBS,nan,Career in DBS is very good as in DBS we can grow technically and functionally very well DBS is recognised as best bank in the world and this itself proves how careful DBS is in their initiatives and business Job is very safe in DBS,Nothing as of now in DBS,Vice President,Current Employee,nan,27/03/2023
5,Good place to grow,nan,1 Latest tech stack and always strive for the modernisation 2 Good scope for learning and growth 3 Good pay bonuses and benefits,Not much some teams are lagging maturity,Vice President,Current Employee,Hyderābād,27/03/2023
5,Iam working as a Android developer from past few months and i absolutely love working with my designation,nan,Pride values are followed here,I dont have any cons till now coz I know I am working with worlds best bank and here they respect and value employees,Technology and Operations,Current Employee,Hyderābād,27/03/2023
5,World Class Engineering,nan,Always ready to take any suggestions Innovative allows employee to try different ideas Great transformation in tech,There is no cons in dbs tech always leads are there to help for any issues,Senior Officer,Current Employee,Hyderābād,26/03/2023
4,Best place to work,nan,Can work on advanced tech stack Exposure on new tech is high Rewards and recognition are based on your work,Sometimes needs to extend regular working hour,Associate,Current Employee,Hyderābād,27/03/2023
