Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
4,Evil Boss decides everything,The overall culture is good Unfortunately I had a evil boss who likes to show many patterns and made you uncomfortable and purposely excludes you from some of the jobs,Big organisation,Evil boss,AVP,Former Employee,CBD,15/02/2022
5,Fun experience and good place to learn,Everyone in the division was very welcoming good place to learn because my teammates were really welcoming gained lots of exposures and good remuneration too,nan,nan,Intern,Former Employee,Jakarta,16/03/2023
5,Productivity And smooth,I am working in gold loan officer and smooth Good working environment I am in working in sales and operation management focused on new customer and NPA customer and recovery,nan,nan,Sales Officer,Former Employee,Tiruchirapalli,13/03/2023
4,Great work life balance,Good work life balance interesting projects to work on friendly colleagues Overall good experience But not very competitive pay compared to internet companies,nan,nan,Data Scientist,Current Employee,Singapore,24/02/2023
5,productive,good working enviroment freind and nice people around that helps you get by pay wise can be better even though the economic not as good alot of young,nan,nan,General Worker,Former Employee,Central Singapore,11/2/2023
5,Great learning place,I enjoy my time at dbs as a treasures RM Bank Offers a great culture to work in and lot of Open architecture No Close doors and all Top Management is appreciable Your concerns are resolved and freedom to work and deliver,nan,nan,Private Banker,Current Employee,Maharashtra,26/01/2023
4,Good overall but can be better,Worked here for about a year Ambitious top management but middle management and ground is mostly average Good attempts to stay ahead of the technology adoption curve Organizational culture is open and transparent with frequent townhalls Compensation is decent and my team has good work life balance Company is a sweet spot for salaried employees except for the hungry and ambitious,nan,nan,Software Engineer,Current Employee,Singapore,25/01/2023
3,Good workplace for fresh graduates,The area is good if you are looking for advancement However it is hard to shine when you do not know the right people The management only promotes people who are sociable,nan,nan,Business Analyst,Former Employee,Marina Bay,23/01/2023
4,Most are friendly and nice,Good place for an internship and most of my colleagues were open and willing to teach They also allowed me to try performing tasks in areas i was not familiar in as a learning experience,nan,nan,Intern,Former Employee,Singapore,9/1/2023
4,Great pay and benefits,Work can be boring and repetitive You might find yourself doing a lot of work if you are capable Other people might still get paid as much even though they are not as competent,nan,nan,Programmer,Former Employee,Dbs,4/1/2023
2,More like a bank less like a tech company,Engineering culture took a turn for the worse GANDALF is but a pipe dream now The emphasis is on cutting cost instead of return on investment Products end up being riddled with tech debt and are of poor quality It is no wonder that bugs and glitches occur in DBS apps from time to time,nan,nan,Software Engineer,Current Employee,Singapore,9/12/2022
4,Fast paced environment,Poor management no system in place to teach new hires Not understand manager no room for mistake However colleagues are friendly and willing to teach,nan,nan,Contract Staff,Current Employee,Marina Bay,7/12/2022
2,I feel the top dont listen,Long hours no work life balance Management i feel dont really heed feedback Seems to just direct and expect everyone to follow Very rigid system to follow,nan,nan,Contractor,Former Employee,Mandai,3/12/2022
