Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
4,Good so far,Nothing much to say for the time being everythings going great so far dont want to jinx it Great work culture though fastpaced You snooze you lose,nan,nan,Marketing Intern,Current Employee,Homeoffice,23/09/2022
5,I love matter I appreciate how long her CEO has been driving,I love working at Meta I am empowered to create my own work life balance and drive my own career forward The ball is completely in my court If anything is falling short all I have to do is work with my manager on how to fix it The only thing I don’t like right now is the uncertainty of layoffs constantly in the air if layoffs could ever subside I would love to get back to living the work in the company again,Fully remote work encouraged management is excellent it’s easy to get promoted and move up tons of opportunity for advancement rewarding work,Layoffs create uncertainty and cause stress for teams making it difficult to navigate relationships and team dynamics right now,Content Designer,Current Employee,Remote,7/3/2023
4,Fast paced and huge network,Great work life balance youre given autonomy from day one but trusted to pitch yourself for a promotion when the time comes More metric heavy than KPI depending on where you work The more niche the role youre sourcing forthe better The people are great smart and helpful Everyone has the common sense that youre all there working towards one thing and do everything to help with thatmost of the time,nan,nan,Sourcer,Current Employee,Birmingham West Midlands,20/02/2023
4,4 stars,What is the best part of working at the company Work life balance perks and metaverse projects What is the most stressful part about working at the company High standard pressure to meet deadlines numbers What is the work environment and culture like at the company Amazing Come and accepted as is,nan,nan,Recruiter,Former Employee,Menlo Park CA,13/02/2023
5,Great compensation and benefits maybe sunsetting,Still great but not what it used to be Demoralizing with all the negative press Good people good benefits Best health insurance and benefits are consolidated using a great portal Job advancement is necessary until IC5,nan,nan,Test Engineer,Former Employee,Menlo Park CA,31/01/2023
3,Not bad but do feel pressure,Overall it is not bad A lot of smart coworkers However it is true about the psc driven culture Which made things weird People have to chase after impact,nan,nan,Software Engineer,Former Employee,Menlo Park CA,25/01/2023
4,productive but need to be more customer focused,Developers were highly productive but need to be more customer focused documentation and software support Software developers was highly skilled in their role They need to understand the total impact of software from a user perspective,nan,nan,Network Analytics Strategist,Former Employee,Menlo Park CA,5/1/2023
1,Great pay and benefits awful everything else,Work life balance doesnt exist at Meta I had to be available 247 with regularly scheduled meetings at literally any time day or night and I was in HR The pay isnt worth the stress and hours,nan,nan,People Services Specalist,Former Employee,Austin TX,30/12/2022
5,One of the best places to work period,Best work experience Ive ever had Onboarding is thorough You choose when you are done and can choose your team People are talented and kind so its easy to learn new things Developer experience is unreal Internal tools are great creating a new dev instance is a breeze All code is available,nan,nan,Software Engineer,Current Employee,Remote,26/12/2022
4,Proactive and fun workplace with ping pong table,Meta is a great place for anyone who wants to be challenge yet respected at the same time You get the chance to learn every day while still having sensible work life balance Overall nice place to work just the layoffs have put a bit of a shade over an otherwise lovely experience,nan,nan,Business Analyst,Former Employee,Dublin County Dublin,20/12/2022
3,benefit team culture supportive,well paid most coworkers are supportive and friendly After reorglayoffreorg things got crazy We have to take over so many other teams works that we werent familiar with in a short time And everyone is eagerrush to show productive results Things moving really fast but not really productivemeaningful in long term anymore,nan,nan,SDE,Current Employee,Seattle WA,12/12/2022
4,Good place to work but have to consider about impact all the time,The work is meaningful and can be used by millions of users which would make you satisfied However since its a social media company employees are forced to post in the internal workplace to talk about their impacts to increase visibility which might be a con for someone who prefers other ways,nan,nan,Software Engineer,Former Employee,Menlo Park CA,11/12/2022
5,Dream company,I loved working at Facebook in the past five years but 2022 was a sad year as we are now called Meta Mark is a great CEO always caring for the employees,nan,nan,Sr Technical Recruiter,Current Employee,Menlo Park CA,8/12/2022
5,Great experience as SWE Intern,My team had incredible worklife balance my skipmanager worked with everyone to help them achieve their promotion goals even if they were to not be promoted this year Compensation is very high,nan,nan,Software Engineer Intern,Former Employee,Menlo Park CA,7/12/2022
4,fun place,but if you strip the inoffice experience away the work is draining you can get great opportunity for visibility but depending on ic little room for advancement,nan,nan,csm,Former Employee,New York State,6/12/2022
5,focus on employees,cant complain when you realize how much the company does for its employees Its kind of crazy seeing people complain about reduction in amenities considering that most other companies dont offer nearly as much,nan,nan,PM,Current Employee,Menlo Park CA,2/12/2022
2,Good pay but toxic culture,The company only aim to bring benefit but does not care about safety or worklife balance of workers My manager has no experience to train me or be supportive,nan,nan,User Researcher,Former Employee,Edina MN,29/11/2022
4,no communication from upper management,culture is great but the company doesnt communicate with their employees youll learn about company news from outside the company Pay is great with great benefits,nan,nan,senior talent consultant,Current Employee,remote,25/11/2022
4,Business is going through a radical shift,The vast majority of my experience has been positive I do think that the brand is rather tarnished at the present moment rightfully so at times My team has a great work culture filled with rather passionate folks The recent layoffs signal is radical shift in the companys operational model is underway Rough times and wallet tightening ahead,nan,nan,Senior Software Engineer,Current Employee,Menlo Park CA,25/11/2022
3,Great talents but lack of directions,I was in the management role and felt lucky to work with a great team of talented individual contributors Sadly I can’t say the same about the senior management and cross org leadership Teams have been overworked since hiring freeze early this year while being told to “work more with less” It’s not worth to sacrifice one’s health and personal life to compensate the lack of vision and focus due to leadership mismanagement,nan,nan,Product Design Manager,Former Employee,Remote,20/11/2022
1,Lack of transparency lies,Closed off team with secrets lack of transparency into how to progress A manager who couldnt give a hoot about career progression Over emphasis on Metaverse,nan,nan,Program Manager,Former Employee,Menlo Park CA,17/11/2022
3,Great Bennefits,Meta offers really great benefits and decent pay Culture is struggling right now with cuts and layoffs It is a highintensity and datadriven company My experience was that the teams at Meta were great but the leadership was very disconnected,nan,nan,Project Specialist,Former Employee,California,17/11/2022
4,Good learning experience unsure on future,I learned a lot from the growth team and was positively surprised by how much impact I had the opportunity to make at such a large company Unfortunately I cant recommend interning at Meta based on how they handled internship return offers Based on my conversations with other interns they only issued return offers to a select number of SWE interns and zero nonSWE interns,high talent level engaged teammates great comp and benefits,company direction seems uncertain at the moment could be high risk high reward or strictly negative,Product Growth Intern,Former Employee,Menlo Park CA,16/11/2022
4,Was a great company,In the 20122013 era Facebook now Meta was a great company to work for You could ship code quickly very collaborative environment and it was a lot of fun Seems that things have changed,nan,nan,Data Scientist,Former Employee,Menlo Park,16/11/2022
5,Lots of learning,Learnt a lot in a short span of time fast moving and fast growing culture free food gym and perks are too good Most of the time you will be overworked,nan,nan,Software Engineer,Former Employee,MPK,15/11/2022
5,Good Company,Great benefit and compensation It is competitive working as an intern people constantly work overtime The most enjoyable part of the job is to have free breakfast lunch and dinner,nan,nan,Software Engineer Intern,Former Employee,Menlo Park CA,13/11/2022
3,No return for interns,So sad no return Free food drinks snacks free shuttle intern bicycles a wellness stipend and a lot of benefits talented engineers a lot of in house tools,nan,nan,SDE Intern,Former Employee,Menlo Park CA,23/10/2022
5,Brilliant company to work for,Despite the headlines in the media Meta has a great internal work culture and is one of the most caring and supportive environments I’ve ever worked in,nan,nan,Marketing Manager,Former Employee,London East Greater London,18/10/2022
4,First step into a big tech firm,Most of the tasks are the same working as a data collector It is stressfree and you get to work in a relaxed environment The pay is ok but not great for the bay area but considering the job is pretty easy it makes sense,nan,nan,Data Collector,Current Employee,Burlingame CA,25/09/2022
5,Working at MetaI looked forward to going to work,Positive environment with ample space to be creative and productive Maintenance team are doing a great job keeping the facilities safe and well maintained I worked with pride,nan,nan,Facilities Technician,Current Employee,Menlo Park CA,12/9/2022
