Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
3,a typical day at work what you learned,Good collaboration with supportive team members Good work culture Opportunity to work on cutting edge technologies Management highly encourages employees to learn and take certifications Good benefits No micromanagement Flexible working arrangements Challenging project,a typical day at work what you learned,a typical day at work what you learned,Project Engineer,Former Employee,Singapore City Hall,5/2/2022
4,Good part timer colleagues but aunties a bit toxic,Need to deal with many types of annoying customers Part timer colleagues around the same age will most likely be the only sane people around Some aunties who have been working with ntuc for over 1020 years love to say how senior they are,nan,nan,Cashier Parttime,Former Employee,Singapore,27/02/2023
4,Not bad,good working experience Employers are good and i had wonderful colleagues manage to also celebrate different occasions and attended companys dinner and dance as an itnern,nan,nan,Intern,Former Employee,Singapur PR,20/02/2023
3,Fast Paced,Shift work can be at erratic timings and during holidays and peak period it can get very crowded and congested Additionally customers can be very rude but work is easy to pick up quickly,nan,nan,Cashier Parttime,Former Employee,Tampines,20/02/2023
4,Easy and Flexible,Working at Fairprice as a parttime grocery shopper was a good experience simple job scope just need to pick items according to the list given Lots of walking though,nan,nan,Grocery Shopper,Former Employee,CBP,15/02/2023
5,Easy jobs,Was employed at the ntuc for a short period of time Abt one month Job was a little boring just restocking and checking the foods expiring date Quite chill job Nice supervisors,nan,nan,Retail Assistant,Former Employee,Woodlands,14/02/2023
3,Fast paced and efficiencycentric,Its all about the paced you work and how fast you can clear the stocks from newly arrivals and the ones in the backstore Occasionally got told off just because was engaging with customer inquiries,nan,nan,Store Assistant,Former Employee,Singapore,13/02/2023
3,Rewarding but tiring,Nid to stand for long hours pay was good but need to work for 42 hrs per wk most people are quite friendly and patient as well customers are generally quite nice,nan,nan,Temporary Staff,Former Employee,Tampines,6/2/2023
3,Stressful environment,I worked there for a few months postlockdown periods I was part of the online ecommerce part for NTUC and it was a hectic and stressful environment There were numerous orders a day which forced all the staff to work constantly Inventory is often not stocked due to the constant stream of orders advance orders that need to be cleared before each delivery time slot,nan,nan,employee,Former Employee,Yishun Orchid Country Club,4/2/2023
4,Relaxed but repetitive,I did the same thing everyday Main job scope was to replenish and mostly did replenishing for the whole shift It is a very repetitive job so you will need to get used to it,nan,nan,Retail Assistant,Former Employee,Tiong Bahru Road,28/01/2023
1,productive and fun,it is a office hour job work with min stress less stress means aslo less return But it is all good for low stress job task can do part time study,nan,nan,Admin Assistant,Current Employee,Singapore,23/12/2022
5,Good workplace,Had fun working there understanding how tough the supermarket line work is but it is an essential service fast paced Physical work but with teamwork is fine,nan,nan,Team Leader,Former Employee,Singapore,5/12/2022
4,Demanding job but rewarding and rather fun,I worked as part time cashier 5 days a week 5 hours a day I enjoyed working with my colleagues to serve customers We worked as a team And often helped each other out like reminding each other or helping in various ways Overall it was a rewarding experience,nan,nan,Cashier,Former Employee,Vivocity,29/11/2022
5,Great workplace and colleagues,Typically have to restock goods and answer customers questions when available Also have to order and place stock according to planogram as well as help with other areas when peak time hits,nan,nan,Retail Associate,Former Employee,Kallang,20/10/2022
4,Fun working environment,Simple Job but need to be more alert when handling cashvouchers and other terms of payment made by customers Be patient to every customer needs character especially complaints Need to face stress when it comes to festives seasons,nan,nan,Cashier,Current Employee,Singapore,17/10/2022
4,productive and fun,i get to know friends there the supervisor there is quite friendly and will guide u patiently and whenever u ask them anything they will be glad to help u,nan,nan,restocker,Former Employee,zhong shan,17/09/2022
3,Fun and Convenient,I went to work as a PT at Fairprice Everything was fine job wasnt stressful coworkers are friendly supervisors too until i was dismissed as they found a new permanent staff to replace me I was shocked to hear that it was my last on that day I would not reccomended others to work here for shortterm sch holidays They can just kick you whenever they want to,nan,nan,Restocker,Former Employee,Yew Tee,5/9/2022
5,Very nice people,Coworkers are very friendly and wont hesitate to help you when in need although they like to gossip about others,nan,nan,Cashier Parttime,Former Employee,white sands,17/08/2022
4,Slow paced but can be tough and tiring,Currently working as a replenisher and it is enjoyable if working with people you get along with However their management staff can be very demanding and unhelpful so got to depend on yourself at times,nan,nan,Replenisher,Current Employee,Yishun,16/08/2022
5,Great company and colleagues but tiring,Work here as a part time staff at unity pharmacy by fairpice for 2 years during my studies now currently a full time staff My expirence here is good friendly colleagues family oriented working environment and always supportive Only downside is shift work is tiring work many days then off 1 day and the cycle begins Otherwise everything else is good,nan,nan,Retail Assistant,Current Employee,City square mall,30/07/2022
