,Rating,Title,Pro,Con,Job Title,Status,Region,Date
0,5,great,gives you lot of platform to explore,i loved the work there and it was friendly,Senior Officer,Former Employee,,"Oct 17, 2022"
1,4,No regrets,"Lots of things to learn, boss was great",Some of the work was not meaningful,Anonymous Employee,Former Employee,,"Dec 16, 2022"
2,5,Really grateful working in DBS Bank,"I used to have a work-life balance while working at DBS, and the pay is good for freshers. Having multiple options, I chose DBS Bank and I have no regret taking the decision.",My experience wouldn't be sufficient to tell about the cons. DBS bank has many experienced and talented people.,Application Developer,Former Employee,,"Sep 30, 2022"
3,5,review,Great talent pool and work ethic,Long working hours and Head office led.,Director,Current Employee,,"Oct 11, 2022"
4,5,Analyst,Transparency. Constant feedback gathering and improvement in working solutions,Tendency to retain employee at current role if they’re doing well instead of encouraging them for progression.,Analyst,Current Employee,,"Sep 26, 2022"
5,5,Great place to work,"Great team engagement, Loved the people on my team.","Slow hike, Rest all is good.",Anonymous Employee,Former Employee,,"Sep 12, 2022"
6,4,Great work place and culture,"Very good and flexible work environment. 
Friendly seniors. 
The company respects their employees.
Good transport facility.",More workload sometimes. Tight work life balance.,Senior Officer,Current Employee,"India, TX","Aug 16, 2022"
7,5,Solid experience,Very good colleagues and name brand,Low pay and long hours,Anonymous Employee,Former Employee,,"Aug 26, 2022"
8,4,great place to learn,"good tech stack , good environment",work life balance is tough,Anonymous Employee,Current Employee,,"Jul 8, 2022"
9,4,Pay increment have much room for improvement,"Decent employee benefits
Good amount of annual leave",Pay increment annually is rather disappointing. Always claim to pay competitively but does not seem to be the reality,Analyst,Current Employee,,"May 20, 2022"
10,4,great place to learn,"good tech stack , good environment",work life balance is tough,Anonymous Employee,Current Employee,,"Jul 8, 2022"
11,4,Pay increment have much room for improvement,"Decent employee benefits
Good amount of annual leave",Pay increment annually is rather disappointing. Always claim to pay competitively but does not seem to be the reality,Analyst,Current Employee,,"May 20, 2022"
12,5,Great colleagues. Healthy culture,Colleagues are genuine and sincere. There are no rivalry amongst each other.,None that i can think of,Anonymous Employee,Current Employee,,"May 14, 2022"
13,1,Salary,nothing special. no different than any other banks,pay and benefit not the greatest,Bank Teller,Former Employee,,"Jun 20, 2022"
14,5,Excellent company,"compensation package was very good, similar to other main banks","long work hours, endless meeting",Financial Planning Manager,Former Employee,,"Apr 11, 2022"
15,4,Full Stack Developer,"good package, Transportation facilities, Fun activities","work life balance
lack of innovation",Analyst,Former Employee,,"Mar 23, 2022"
16,4,Good culture but low in compensation,"International exposure, good culture, and learning opportunity","Too many manual processes, too many old generation that makes the environment less lively",Data Analyst,Current Employee,,"Feb 27, 2022"
17,5,EXPEREINCE,It was really to good in dbs,i was really nice to work at dbs,Software Engineer,Current Employee,,"Mar 12, 2022"
18,5,Good company,"high salary
good work culture and friendly people",I do not find any cons.,Senior Associate,Former Employee,,"Mar 7, 2022"
19,3,You will survive.,"-- beautiful office
-- Good fast growing projects","-- Zero work life balance
-- No clarity of growth",Software Engineer,Former Employee,,"Jan 15, 2022"
20,5,Great place to work,"Plethora of opportunities to explore internally
multiple platforms to learn and grow
Great Leadership support",Work life balance can be better,Anonymous Employee,Current Employee,,"Nov 9, 2021"
21,5,Good,Great company and great work culture,Fast paced. Start up culture,Software Development Engineer,Current Employee,"India, TX","Nov 3, 2021"
22,2,Review,good trainings given to new hires,no work and life balance for sales roles,Anonymous Employee,Former Employee,,"Sep 7, 2021"
23,4,Good regional bank,"- culture diversity
- x-region seminar before pandemic","- insufficient attention to people development
- lower pay raise",Senior Product Sales Manager,Former Employee,"San Francisco, CA","Aug 3, 2021"
24,5,Good work experience,"Good work 
New tech stack
challenging problems","bad managers in company
micro-managed org",Analyst,Former Employee,,"Jul 12, 2021"
25,4,Life in DBS,"Company is ever upgrading
you will always learn new things
always a system to do things","overwork
always changing processes
always short of manpower",Anonymous Employee,Current Employee,,"May 24, 2021"
26,3,Small review for a custodian,Living wage and easy work unsupervised,No benefits or time off or paid sick days,Custodian,Current Employee,,"Mar 24, 2021"
27,5,Good place to work,Good benefits and nice people.,Everything great! Nothing to complain about.,Credit Analyst,Former Employee,,"Mar 4, 2021"
28,4,company review,Good compensation and benefits compared to other banks.,High replacement rate for this position but it's quite normal since the environment is really fast-paced.,Senior Relationship Manager,Former Employee,,"Jan 27, 2021"
29,3,dfa,working environment is good and colleagues are all graduated from well-known universities,culture is too aggressive and working hours are long,Anonymous Employee,Former Employee,"New York, NY","Jan 24, 2021"
30,3,Best bank in the world,Good pay and carerr growth,Too much politics and crab mentality,Vice President,Former Employee,"India, MS","Jan 18, 2021"
31,5,Great place for hard workers!,You work for human beings that you actually see and talk to. The partners are experts in their fields that genuinely care about their clients and their employees.,"You are working in a top-flight business with dynamic people that push themselves hard. That means, as an employee, you must do the same. It you can handle hard work you will like it, if not, you want to go elsewhere.",Anonymous Employee,Former Employee,,"Aug 4, 2014"
32,4,Summer Assitant,"Colleagues are very willing to help you with any difficulties
Team bonding activities are very common within the organisation, enabled me to easily make friends and bond with my teammates","Quite local culture, I feel like international people would find it hard to adapt to the culture. 
Overtime hours is common, and everyone does it without complaining, so just do it.",Anonymous Employee,Current Employee,,"Jun 1, 2016"
33,5,Credit Analyst,"Entry level work with coaching and training, do due diligence, analyzing company's background information , you can do well in the projects","work without many challenges or changes, not many interactions among divisions, probably could involve more advanced analytical tools",Anonymous Employee,Former Employee,,"Sep 29, 2017"
34,5,Investment Banking Summer Analyst,"- Management was very good and they truly care about their employees 
- Mentorship abilities are good here
- Ability to work on actually relevant work","- Work life balance: Some days you are at the office all nights when you have a big assignment due 
- There is not a lot of warning before you get a big project",,Former Employee,,"Oct 18, 2015"
35,5,DBS bank,"culture, people, location, salary, stable","limited career advancement opportunities, promotion too slow",,Former Employee,,"Dec 5, 2015"
36,4,Interview,"Good compensation as compared to other companies. This company really reward you for your efforts. 
Friendly people
Good working environment 
Structured training","Long working hours which includes weekends. You basically will have lesser of ""own time"" and live 24/7 with your colleagues",Relationship Manager,Former Employee,"Orchard Park, GA","Sep 29, 2017"
37,5,Great Firm,"Large in Asia
Great MA Program
Management really cares about employees","If you're not in Asia or planning on a career in Asia, don't bother
You need to be able to communicate in Chinese and English",Summer Analyst,Former Employee,"New York, NY","Aug 15, 2015"
38,5,Senior Manager,"Good work culture 
Chance to work across geographies",Overall good company to work. No cons as such.,"CPA, CMA, CA",Former Employee,"Sacramento, CA","May 29, 2017"
39,4,UNI.CORN Management Internship,Very fun and supportive culture. Very high autonomy. Good mix of startup/innovation and corporate.,Bureaucracy catches up and limits innovation.,,Former Employee,,"Oct 25, 2017"
40,5,Institutional Banking Intern,Availability of projects; you get  a lot of things to do and great learning curve,The office culture is not as collegial as expected,,Former Employee,,"Oct 1, 2017"
41,3,DBS India Review,Excellent people around with loads of experience in the banking industry. Got to learn a lot from them. Was a part of their digibank launch.,Internship was not structured to the extent I expected this to be. HR department could have been more forthcoming with regards to the do-s and don'ts of the company.,,Former Employee,,"Jun 29, 2016"
42,4,BI Consultant,"Consulting Firm, get lot opporunity to work  on different clients",Sometime too much travel and lot time is gone flights,Anonymous Employee,Current Employee,,"Feb 9, 2017"
43,5,Summer Intern,"Innovative, and supervisors are willing to teach you.","Sometimes OT, even for summer Interns.",,Former Employee,,"Sep 30, 2016"
44,4,Good people,"Friendly people, nice working space","Long hours, senior management could have better time management",,Former Employee,,"Dec 8, 2014"
45,4,Good experience,Supervisor always there to help and guide you if you hit a brick wall,Sometimes not effective communication,Internship,Former Employee,,"Feb 14, 2020"
46,4,analyst,good staff and environment,sometimes quite political but it depends on your project you are in,,Former Employee,,"May 25, 2018"
47,5,Great culture,"- People focus culture
- Great benefits",#NAME?,Anonymous Employee,Former Employee,,"Jun 10, 2018"
48,2,Highly political organisation,Work life balance is good,Top heavy structure with managers not bringing in deals,,Former Employee,"Chicago, IL","Nov 6, 2015"
49,4,Intern,people are willing to teach,not a big name company,,Former Employee,,"Sep 9, 2016"
50,3,DBS summer internship  on design team,"Relaxed and nice people, everyone is willing to help","No structured internship if you're on the design team, not a lot gets done",,Former Employee,,"Aug 29, 2017"
51,3,Work culture,Latest technologies in use and no formals.,Less time lines and hike percentage.,Anonymous Employee,Current Employee,"Baton Rouge, LA","May 2, 2018"
52,3,Reasonable Salary,More than enough vacation leave,"Stressful, had to work early morning and late night",Bank Executive,Former Employee,,"May 25, 2015"
53,3,Work,Good culture and work environment,Great amount of time spent on politics,Anonymous Employee,Current Employee,,"Apr 2, 2018"
54,4,Forward Thinking,"Initiatives from governments are always backed up HR. End of the day, reward and recognition is really down to your personal contribution and how your boss perceives it. Of course everyone would have a contribution, but how your boss perceives the value is really up to them. Hence it is not just about doing work. It is the way we present the work that we do that is important",HR structure within the organization holds too much power The different structures within the organization doesn't allow for easy collaboration,Senior Associate,Current Employee,Singapore,"Mar 21, 2023"
55,5,Good Place to work and learn,"1.Everyone is individual contributor no bosses here 2.Visibilty is good, in terms of your efforts to the management is transparent 
3.Internal mobility is encouraged here no internal politics
4. Free transport facility","1.Live food counter should be improved
2.Should have more options for food",Assistant Vice President,Current Employee,Hyderābād,"Mar 27, 2023"
56,5,Best place to work,Better pay Flexi work arrangements Options for internal mobility Transparency of performance discussion Focus on continuous learning Support for innovation Decent job stability,No travel opps Grievance redressal is still in hands of manager Work life balance can be skewed for some roles,Anonymous Employee,Current Employee,Hyderābād,"Mar 28, 2023"
57,5,"A company where I can Be the Best, Be the Change and Be the Difference",Family like culture where collaboration and discussions are part & parcel of the daily work Strong internal mobility culture Good channel communication between management team (thru townhalls) and feedback system from the ground (thru 'Tell Piyush' platform),Speedier decision making process All staff to take better ownership of their role and job,HR Business Partner,Current Employee,Singapore,"Mar 20, 2023"
58,5,Very Good Company,1)Work Life balance -Good 2)Timing depend on Role-for me -Good 3)Events & Games make us happy. 4)Manager & HR are good,1) Permanent work from home not giving,Senior Associate,Current Employee,,"Mar 28, 2023"
59,5,Life in DBS,"Career in DBS is very good as in DBS we can grow technically and functionally very well. DBS is recognised as best bank in the world, and this itself proves how careful DBS is in their initiatives and business. Job is very safe in DBS.",Nothing as of now in DBS,Vice President,Current Employee,,"Mar 27, 2023"
60,5,Good place to grow,"1. Latest tech stack, and always strive for the modernisation. 2. Good scope for learning and growth. 3. Good pay, bonuses, and benefits.","Not much, some teams are lagging maturity.",Vice President,Current Employee,Hyderābād,"Mar 27, 2023"
61,5,Iam working as a Android developer from past few months and i absolutely love working with my designation,Pride values are followed here,I don't have any cons till now coz I know I am working with world's best bank and here they respect and value employees,Technology and Operations,Current Employee,Hyderābād,"Mar 27, 2023"
62,5,World Class Engineering,-> Always ready to take any suggestions -> Innovative allows employee to try different ideas -> Great transformation in tech,"There is no cons in dbs tech, always leads are there to help for any issues.",Senior Officer,Current Employee,Hyderābād,"Mar 26, 2023"
63,4,Best place to work,Can work on advanced tech stack Exposure on new tech is high Rewards and recognition are based on your work,Sometimes needs to extend regular working hour,Associate,Current Employee,Hyderābād,"Mar 27, 2023"
64,5,Software Analyst,"Friendly people around in the office, easy to make friends and can rotate around team, good culture.","Location might be sometimes far, but company provides shuttle bus",Anonymous Employee,Current Employee,Singapore,"Mar 28, 2023"
65,5,Great place to work and learn,Competitive pay Growth options Plenty of employee benefits,Some times Work life imbalance,Anonymous Employee,Current Employee,Hyderābād,"Mar 29, 2023"
66,4,Good place to work,"Good salary, nice team and managers","Work can get monotonous , career growth can be an issue",Associate,Former Employee,Mumbai,"Mar 28, 2023"
67,5,Excellent Place to work for,Honest Approach to everything & great service to customers,Long hours make it tiring but the work ethics are great,Vice President,Former Employee,Singapore,"Mar 25, 2023"
68,4,The pros,They have great employee benefit policies and also competitive compensation. It is a culturally great organization to work for.,If your boss isn't great you might struggle.,Senior Officer,Current Employee,Chennai,"Mar 23, 2023"
