Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
5,Excellent Company,nan,Great culture and great people with a robust Product line,Nothing to complain about as Infineon is super stable and will continue to grow,Sales,Current Employee,Milpitas CA,15/08/2022
5,Great company,nan,One of the best silicon suppliers in the world,Techinal Jobs could be quite demanding,Field Applications Engineer,Current Employee,Livonia MI,23/03/2023
5,Great Culture,nan,Company cares about its employees Seeks feedback to evaluate management and employee concerns Hybrid work schedule Work life balance is up to you No pressure to put in extra hours Jobs are very secure If needed company will lower bonuses before laying people off What ever bonuses they say you will get they typically exceed what they promise Conservative company that likes to perform better than what they commit and not just in bonuses Fun company to work at,Compensation even with kickers is fair but not outstanding,Field Applications Engineer,Current Employee,nan,13/03/2023
4,Good Place to work,nan,1 Decent Pay 2 Good work life balance,1 Doesnt pay as much as FAANG,Anonymous Employee,Current Employee,nan,28/03/2023
3,Ehhh not bad,nan,WorkLife balance is a plus 34 day alternating workweeks,Repetitive work training is dependent on employees with no incentive to invest time and additional effort into incoming employees,Wafer Fab Operator,Current Employee,Austin TX,24/03/2023
5,Would go back in a second,nan,SLT Managers Employees Benefits Opportunity for advancement I loved my time there and would still be there if I didn’t move out of state It can be challenging at times but the systems and leadership in place are rock solid and almost always have a vision to overcome the challenges,Have to use PTO when the company shuts down,Engineering Technician,Former Employee,Leominster MA,13/03/2023
5,Great learning,nan,Good learning opportunities Great environment,Nothing in particular about this role,Automotive Engineer,Former Employee,nan,13/03/2023
5,Great Company,nan,Care about there employees good pay structure quarterly and year end bonuses good benefits,None that I can think of,Maintenance Technician,Former Employee,nan,08/03/2023
4,Great culture,nan,Loved the inclusive culture and learning opportunities Huge investments made in employee and management development,So many internal systems Hard to manage and understand where to go for what This needs to be more streamlined,Human Resources Business Partner HRBP,Former Employee,San Jose CA,22/02/2023
4,Very good company to learn,nan,As a beginner to the industry I have had a lot to learn here Really a good starting point for your career,Has a fair share of bureaucracy but that is to be expected anywhere Pays less but you get paid in knowledge,Sr Cad engineer,Former Employee,nan,15/02/2023
5,Good company to work,nan,Very nice company to work there are no complaints,There are no cons to insert,Business Manager,Current Employee,Brazil IN,26/01/2023
4,Good company,nan,Great company to work for,Not too much to complain about,Internal Sales Specialist,Current Employee,Livonia MI,25/02/2023
4,Great place to work at Infineon,nan,great place to work at Infineon,System Reporting Complex Big Tech Companies,Marketing Manager,Former Employee,Boston MA,21/02/2023
5,First class company,nan,Excellent management Company culture Great benefits,No issues whatsoever that I have encountered in 9 years of work,Lead Principal Engineer,Current Employee,nan,09/01/2023
5,Great Technology Company that actually cares about its employees,nan,Excellent technology portfolio Very open and inclusive management style,Can take time to make decisions though the company is actively working on this,Anonymous Employee,Current Employee,nan,06/01/2023
1,Unfortunately miserable experience,nan,Benefits and 401k match are okay,Below market salaries Forced usage of accrued PTO during yearly plant shutdown Serious lack of process documentation and support for newcomers They really don’t care about your success just that you’re a warm body to fill a seat,Finance,Former Employee,nan,14/11/2022
5,senior Buyer,nan,the Company is really invests in its people,wearing many hats can be challenging,Senior Buyer,Current Employee,nan,12/01/2023
5,Great Semiconductor company,nan,Great culture Work life balance,Less competitive pay as compared to other,Applications Engineer,Former Employee,Warwick RI,04/01/2023
5,Awesome Company,nan,Great benefits location and culture,Manufacturing product design is complicated,Manufacturing Supervisor,Current Employee,nan,06/01/2023
5,A People oriented company that lives it,nan,Great colleagues Everybody wants to help colleagues borderless collaboration Interesting markets and cool products Strong purpose caring for the environment with decarbonization and digitalization,Faster decision making simpler and less cumbersome processes,President,Current Employee,nan,25/11/2022
5,Good place to work,nan,Great work environment and team,Pay could be a little better,Facilities Lead Mechanic,Current Employee,nan,15/12/2022
2,NOT FOR ME,nan,Large company great benefits great workforce,Bad Boston sales manager no concern for employees,Global Account Manager,Former Employee,Midtown New York,24/01/2023
4,Infineon Branch Facility,nan,The company does care for their employees,Depends on management on the facility theres no organization and some employees point out what is needed for a more efficient way of workforce management,Associate,Former Employee,nan,09/01/2023
1,No Silicon Valley Freedom to Create,nan,Not much I can say See cons below,Layers of management approvals for projects Have meetings at all hours of the day Hard to make changes to the way the company works Too many top management based in Germany with slow responses,Senior Manager,Former Employee,San Jose CA,07/01/2023
5,So far so good,nan,There are good and experienced engineers and they are willing to help new employees to perform the task Infineon has a lot of good products in power semiconductor industry and great reputation Great company to develop career as a power electronics engineer,I have been here for about 3months So far no cons,Senior Engineer,Current Employee,El Segundo CA,29/10/2022
5,Goal focused,nan,Infineon is clear on goals but not at the expense of customers They provide a premium service to their customers without sacrificing quality,lack of growth opportunities but not in all positions They do encourage moving within the company,Marketing Specialist,Current Employee,Livonia MI,02/11/2022
4,Work life balance,nan,Open to providing more responsibility,Heavy work load and late night meetings,Lead Principal Engineer,Current Employee,San Jose CA,18/01/2023
5,Great Company,nan,Great company with innovative teams,Not many perhaps time zones,Software Engineer,Former Employee,nan,21/11/2022
2,Almost an OK Place to Work,nan,So many great talented hardworking loyal longtime employees Good pay and good benefits Exciting industry,Unengaged local leadership Poor communication Terrible worklife balance Highstress Lack of managementcompany support Aging equipment Limited interest in investing in future of the company Bizarre decisions that demote and force some employees into undesirable career tracks without consultation Low morale Your experience may vary,Section Manager,Former Employee,Austin TX,13/10/2022
4,Great company to learn,nan,Lean teams lots to learn,Not always get the support you need,Tech Dev Engineer,Current Employee,San Jose CA,28/12/2022
5,excellent company to work opportunities for growth,nan,good pay its close to home local,unfortunately the plant is closing,Sr technician,Current Employee,nan,31/10/2022
5,Good lots to learn in a self paced environment,nan,No deadlines for a particular task good communication cross team works,Less challenging work no pressure,Hardware Engineer,Former Employee,nan,24/10/2022
5,Great company to work for,nan,Great place for starting your career and getting your foot into the industry The company culture is awesome with supportive colleagues who are always willing to help you grow The company offers competitive benefits,Minimal room for career advancement,Production Planner,Former Employee,San Jose CA,26/09/2022
5,Challenging but rewarding work,nan,Company treats employees well Excellent staff,High and challenging workload dynamic market environment,Director of Marketing,Current Employee,nan,25/10/2022
4,Great place to work,nan,Great people work here Benefits are good,Pay could be better Not much over time,Process Technician,Current Employee,nan,15/12/2022
5,Nice,nan,Given good hours with availability to work over time,The pay is not worth the amount of stuff you do,Wafer Specialist,Current Employee,Austin TX,15/10/2022
5,Great company to work for,nan,Great company culture and compensation,My only issue was some people werent managed out that should have been,Production Planner,Former Employee,San Jose CA,03/10/2022
4,4 stars,nan,They have good benefits and time schedules,Amount of Bonuses and salary increase are not satisfying,Semiconductor Operator,Former Employee,nan,02/12/2022
5,Perfect culture,nan,Culture is incredible great management in sales and a team oriented group,German management can slow down some of the processes,Senior Key Account Manager,Current Employee,Charlotte NC,27/09/2022
4,good company,nan,Great company to work for and great people Leader in the Power Semi space and customers recognize the premium products and services,an excessive amount of reporting and meanless busy work,Sales Manager,Current Employee,nan,14/11/2022
4,HiRel division,nan,Great team in the factory Small company within a much larger parent company The Space market is really fun,Top leadership is lacking vision Some of the larger parent flow downs are highly restrictive on this smaller group,Product Manager,Former Employee,Leominster MA,22/10/2022
4,good company to work for,nan,good hours plenty of free time during the week night shift was the best experience at a job I had,there was a lot of favoritism,Production Operator,Former Employee,nan,03/11/2022
4,Nice Place to work,nan,Nice work environment and management,Projects are big and need teamwork,Principal Design Engineer,Current Employee,nan,16/11/2022
3,Infineon technology,nan,Microcontroller power diverse portfolio of products,Management too splintered Left hand doesn’t know what right hand is doing,Director,Former Employee,nan,05/11/2022
5,Terrific Work Environment,nan,I am just beginning my journey here at Infineon however I am already feeling like part of the team There are so many resources here and communication is the best I have ever encountered I am proud to be part of this company and truly excited to be working for this professional and smart company Its been a dream doing the onboarding First Class They not only keep business ethics at the forefront but they are thinking of the future with environmental concerns and balancing it with just plain nononsense good business I look forward to the future here,None You should apply and see for your self Highly recommended,Tradeshow and Event Specialist,Current Employee,San Jose CA,21/04/2022
5,Excellent Company,nan,Great culture and great people with a robust Product line,Nothing to complain about as Infineon is super stable and will continue to grow,Sales,Current Employee,Milpitas CA,15/08/2022
5,Great working environment for a company that cares for the well being of its employees,nan,My team and I have excellent communication and enjoy the work we get done The content I have to work with is very interesting new technology space missions etc and I feel I am constantly learning new exciting things that help me grow in my career of digital marketing Additionally the company is very diverse and it is really nice working around people from all different types of backgrounds,I cant really think of any I work remotely from the comfort of my own home so I dont have much negative feedback,Digital Marketing Specialist,Current Employee,El Segundo CA,11/02/2022
1,Run Away As Fast As You Can,nan,Nothing much comes to mind the 401k matching is pretty decent,Everything else from useless management to an HR department that spends all its time protecting the ridiculous decisions and incredibly poor judgement of management If you have an ounce of ambition in your run away from this company as fast as you can You wont get anywhere All decisions have to come from Germany all inventions have to come from Germany The approach is that if youre not GermanAustrian you have nothing constructive to contribute The fact that the Americas CEO is a marketing guy who probably has never set foot in a fab tells you everything you need to know about how the parent company regards the US IT management is weak borderline criminally negligent They are stuck in a 20th century world view Youre not every going to be allowed to work remotely here Incompetent knownothing managers who were promoted based on who they knew rather than what they knew have to micromanage you to within an inch of your life to try to justify their existence They cant do that if youre remote,Engineer,Former Employee,Los Angeles CA,04/04/2022
5,I loved working here,nan,I loved working here I was able to learn so much,I cant say there were any cons,Accounts Receivable Specialist,Former Employee,nan,14/08/2022
4,Good work life balance,nan,Not too much workload wellknown company,Not everyone gets stocks compensation is below average,Staff Analog Design Engineer,Current Employee,nan,24/10/2022
4,Good company,nan,Good company good people room for growth,Pay isn’t the strongest out there,Manfucaturing Engineer,Former Employee,Temecula CA,12/10/2022
4,Gives good opportunity to learn,nan,Company gives good opportunities to learn and is ready to put responsibilities on you,Pay comparatively less as compared to market price and there will be bit of a work pressure,Senior Test Engineer,Former Employee,Lynnwood WA,15/09/2022
5,Perfect culture,nan,Culture is incredible great management in sales and a team oriented group,German management can slow down some of the processes,Senior Key Account Manager,Current Employee,Charlotte NC,27/09/2022
4,Hectic schedule Amazing growth,nan,The schedulework life balance is really hectic But if we show our talent the path for growth is really well defined,No stock options for first 2 levels of employment Bad work schedules,Anonymous Employee,Former Employee,nan,12/09/2022
3,Good place to work at,nan,they have great business processes,things move slowly as compared to Cypress,Staff Specialist Operations,Former Employee,San Jose CA,27/09/2022
5,Terrific Work Environment,nan,I am just beginning my journey here at Infineon however I am already feeling like part of the team There are so many resources here and communication is the best I have ever encountered I am proud to be part of this company and truly excited to be working for this professional and smart company Its been a dream doing the onboarding First Class They not only keep business ethics at the forefront but they are thinking of the future with environmental concerns and balancing it with just plain nononsense good business I look forward to the future here,None You should apply and see for your self Highly recommended,Tradeshow and Event Specialist,Current Employee,San Jose CA,21/04/2022
5,Excellent Company,nan,Great culture and great people with a robust Product line,Nothing to complain about as Infineon is super stable and will continue to grow,Sales,Current Employee,Milpitas CA,15/08/2022
5,Great working environment for a company that cares for the well being of its employees,nan,My team and I have excellent communication and enjoy the work we get done The content I have to work with is very interesting new technology space missions etc and I feel I am constantly learning new exciting things that help me grow in my career of digital marketing Additionally the company is very diverse and it is really nice working around people from all different types of backgrounds,I cant really think of any I work remotely from the comfort of my own home so I dont have much negative feedback,Digital Marketing Specialist,Current Employee,El Segundo CA,11/02/2022
4,Good company good benefits,nan,Enjoyed my time here Emphasis on job accomplishment and keeping current Helpful coworkers,Metrics driven culture can lead to missing the big picture when the metrics are flawed,Global Planning Analyst,Former Employee,nan,10/08/2022
