Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
5,good,nan,all good staff no problem,all good evry thing is fine,Operation Engineer,Former Employee,nan,10/09/2022
5,GOOD COMPANY,nan,Its a good working environment,work pressure is more here,Industrial Engineer,Former Employee,nan,11/04/2022
4,Great boss and colleagues,nan,great working culture and colleagues are nice helpful and friendly willing to guide and teach,nothing bad about the workplace or culture so far so good,Anonymous Employee,Former Employee,nan,27/07/2021
5,Great Management,nan,Support Good leader great place to grow together with the company,none you just need to stretch yourself to your max,Finance Executive,Former Employee,nan,21/04/2020
5,Nice company to work,nan,Everything is managed and wee organized,Frequent relocation at the plants located in india,Lead,Current Employee,New York NY,30/04/2020
5,good,nan,good environment good training bonus,somewhat bored tired and strictly,nan,Former Employee,nan,06/02/2015
4,Quite a good choice,nan,People are nice and friendly,Working environment is not so professional,Anonymous Employee,Current Employee,Ho Chi Minh City,23/03/2023
4,Focused business,nan,business is very focused in renewables,private sectors may have impression it is goverment linked,Manager,Current Employee,Singapore,22/03/2023
4,Not bad,nan,Gotta move around not deskbound,Messy system and manual work,Senior Engineer,Current Employee,Toa Payoh New Town,23/03/2023
4,How does it feel to work at Sembcorp,nan,1 Mutual respect 2 Low power distance 3 Informally formal culture 4 Stability 5 Strong Governance,1 Long working hours 2 Slow growth,AVP HR,Current Employee,nan,16/03/2023
0,nan,nan,nan,nan,nan,nan,nan,
4,How does it feel to work at Sembcorp,nan,1 Mutual respect 2 Low power distance 3 Informally formal culture 4 Stability 5 Strong Governance,1 Long working hours 2 Slow growth,AVP HR,Current Employee,nan,16/03/2023
3,Decent company,nan,Nice colleague great working location,Cant think of any at this moment,nan,Former Employee,Singapore,08/03/2023
3,Flexible working arrangements could improve,nan,nice and understanding bosses people strive for excellence,no flexible working arrangements work from office 5 days a week,Analyst,Current Employee,Singapore,21/02/2023
4,Okay salary but poor worklife balance,nan,Salary is decent Bonus and benefits is good,No career prospect role dependent and no clear direction or guidance Poor work life balance,Assistant Manager,Current Employee,Singapore,11/02/2023
4,Sembcorp Executive,nan,Great compensation packages good salary,Lack of internal and external equity,Senior Executive,Current Employee,Singapore,20/02/2023
5,Good,nan,Good forward looking company Culture is formed by individual teams departments,Depending on the teams u are in some can get political and thats where working culture turns bad Peoeple dont leave company people leave boss,Manager,Current Employee,Singapore,29/01/2023
5,Looking for Data analysis job Remote work form home Opportunity,nan,job satisfaction gives opportunity to explorer your career skills,Only one issue Sembcorp not have Remote Work From Home Policy,Sr Mechanical Engineer,Current Employee,Nellore,27/01/2023
4,a,nan,work life balance for fan,long hours and gremlin and ask,Software Engineer,Current Employee,Sembawang Estate,07/02/2023
2,Less than 3 month,nan,Provide transport to work Honestly can’t think of anything,Have to wakeup early to work Depends on your location If you live at central then you have to wait in line from 5am Not much guidance Salary very little,Document Controller,Former Employee,Singapore,17/01/2023
4,Great bonus,nan,Great work environment and opportunity to shine,No canteen Little maintenance management system,Maintenance Lead,Former Employee,Changi Village,02/02/2023
3,Good place to learn,nan,Most team mates are nice to work with,Management is lacking leadership skills,Project Engineer,Current Employee,Singapore,31/01/2023
3,Forward thinking company on the up,nan,interesting time to work for this company as they are going through a lot of positive change,sometimes the culture is held back by employees that have been there too long,Anonymous Employee,Current Employee,Teesside County Borough England,15/01/2023
5,Strong alignment with Sustainability,nan,Clear mandate Friendly environment Prime location Lots of learning opportunities,More work for those that can handle it Brand image can be improved eg Vs marine waste JI etc,Manager,Current Employee,Singapore,13/01/2023
4,Great company culture,nan,People and management is really friendly,Lack of communication between departments,IT Technician I,Current Employee,Middlesbrough England,30/12/2022
4,great place to learn,nan,Nice people Several avenues to gain knowledge and experience,Renumeration package is average at best,Engineer,Former Employee,nan,17/01/2023
4,Transformation in progress,nan,Stable reasonable benefit flexible in working from home during Covid,Lengthy decision making process that reduces market competitiveness,Vice President,Former Employee,Singapore,10/01/2023
3,Routine and manageable but boring work,nan,Good starting salary for fresh grads bonuses Employee welfare good leave policy family days etc,Only a specific niche type of projects available limited opportunities to get exposure Workflow is disorganised and haphazard despite large company size Work is significantly constrained due to lack of softwares other than Revit and Autocad,Architectural Assistant,Former Employee,nan,12/11/2022
4,Good place to work,nan,Benefits are good Salary pay on time,High pressure Slow career growth,Manager,Current Employee,Gurgaon Haryana,16/12/2022
5,If you have your people surrounded in your location it is very good company,nan,timely salaries training time to time facilities good,only few employees in work location but having too much of competition that too unhealthy,Executive,Current Employee,nan,18/11/2022
5,True MNC,nan,highlevel management Good Safety standards are good,Midlevel management could do better Company tries to take care of your worklife balance,Software Engineer,Current Employee,nan,07/12/2022
3,Routine and manageable but boring work,nan,Good starting salary for fresh grads bonuses Employee welfare good leave policy family days etc,Only a specific niche type of projects available limited opportunities to get exposure Workflow is disorganised and haphazard despite large company size Work is significantly constrained due to lack of softwares other than Revit and Autocad,Architectural Assistant,Former Employee,nan,12/11/2022
4,Good company and culture,nan,Great leadership and management direction,Nothing to mention about now,Data Analyst,Former Employee,nan,11/11/2022
5,Great position in the renewable industry,nan,Vibrant and open environment where everyone supports one another Bosses are approachable and helpful,Standardization of processes is still maturing but these are opportunities for contribution,Anonymous Employee,Current Employee,nan,10/10/2022
4,Good company,nan,Freedom to pursue interests within the role Nice colleagues Supportive management Progression supported,Need to be self motivated to progress,Anonymous Employee,Current Employee,nan,26/10/2022
4,Slow n steady,nan,Well established Focused on its sectors Emphasise training Professional colleagues Forgiving,Hr practise antiquated Very slow to change Extremely silolised No lateral transfer was possible Agree to disagree culture,Assistant Vice President,Former Employee,Ho Chi Minh City,12/09/2022
4,Good Company to work,nan,5 days a week working culture Good HSE policies and practices,Promotions and increment is less,Assistant Manager,Current Employee,nan,11/10/2022
5,Traditional industry striving to be an MNC,nan,Adapting to changes and opportunities arises from all the changes strategy manpower and reorganise,Top heavy and very little opportunities for middle management positions It’s either the senior management or working level,Assistant Vice President,Current Employee,nan,17/09/2022
4,Good company,nan,Visionary strong execution supportive bosses,High Turnover changing culture uncorporative,Anonymous Employee,Former Employee,nan,05/10/2022
3,Goal driven result oriented organization,nan,Strong leadership team driven to achieve success for the Organization,Challenging environment to achieve success,General Director,Current Employee,nan,10/11/2022
4,Chill but maybe cos it was during covid,nan,was not really overloaded with work and not micro managed,at times felt like i wasnt doing anything,Data Science Intern,Former Employee,nan,05/09/2022
3,Great co,nan,They give Flexible working hours,Managers have No clear deliverables,SVPService Delivery Executive,Former Employee,Singapore,09/10/2022
2,Yelling,nan,Company benefits compensation are competitive,Yelling leader Why does the leader have to shout to get her way Yes we are paid to work but not for mental torture,Anonymous Employee,Current Employee,nan,22/09/2022
2,Sembcorps Review,nan,Good time to be in the energy sector,No differentiator for the company,Anonymous Employee,Former Employee,nan,05/10/2022
4,Good company,nan,Visionary strong execution supportive bosses,High Turnover changing culture uncorporative,Anonymous Employee,Former Employee,nan,05/10/2022
2,Good but Stressful,nan,NAME,NAME,Business Continuity Manager,Current Employee,nan,02/10/2022
4,Chill but maybe cos it was during covid,nan,was not really overloaded with work and not micro managed,at times felt like i wasnt doing anything,Data Science Intern,Former Employee,nan,05/09/2022
3,Average Company,nan,Good colleagues and bonding session,Imbalance workload among various departments,Anonymous Employee,Former Employee,nan,11/09/2022
4,Cutting Edge Energy Company,nan,1 Flexible working hours 2 Learning Opportunity 3 Opportunity to work on exciting renewable projects,1 Excessive control 2 Slow and complex processes,Vice President,Current Employee,Gurgaon Haryana,21/08/2022
5,Lead electrical engineer,nan,Timely salary and bonus and health insurance and medical benifits,Repeated jobmore follow up or paper work Very slow growthand nothing to learn,Electrical Maintenance Engineer,Current Employee,Nellore,10/08/2022
5,Scm review,nan,Good working environment and good for learning,Promotion is slow and have lower salary,Design Engineer,Current Employee,Singapore,24/08/2022
3,Alright,nan,alot to learn for fresh grads,underpay long hours tough job,Engineer,Current Employee,Tuas,28/08/2022
4,Transforming from legacy,nan,Competitive package with exposure over different regions and functions,Some legacy baggage and agenda,Assistant Manager,Former Employee,Singapore,12/08/2022
2,Don’t do it,nan,Great team out in the field,Bonuses removed and replaced by an SDA payment which equates to less than previous years bonuses yet they expect 1 in 4 weekends to be worked on site and call out cover throughout the night Unrealistic demands for the compensation package on offer They’re going through a recruitment drive to try and boost FSE numbers to cover these extra shifts Be warned,Field Service Engineer,Current Employee,nan,04/05/2022
1,ME engineer,nan,There is work life balance but during peak period can be hectic,Learning curve and opportunities are very limited Favouritism in specific project,MampE Engineer,Former Employee,Changi Village,11/09/2022
3,IT Dept,nan,A company with out of touch thinking HOD running the show,Taichi is common keeping mum when things happened Or maybe just blame the project manager,Anonymous Employee,Former Employee,nan,27/07/2022
4,T,nan,Good commitment nice company to work with,No such that Im aware of,Senior Manager,Current Employee,Gurgaon Haryana,12/08/2022
5,Great Company,nan,Good Company get a lot of bonuses and benefits,Poor management especially unskilled supervisor,Facilities Services Specialist,Current Employee,Singapore,27/07/2022
5,Good employees benefits,nan,Good employees benefits which include family care leave and mobile allowance,Need to work on the lunch hour to think of staffs welfare,Senior Software Engineer,Current Employee,nan,16/07/2022
3,Good bonus,nan,Good benefit and salary package,Unclear direction from top managemebt,Senior Engineer,Current Employee,Jurong West New Town,30/07/2022
1,NEVER JOIN RISK PROFILE IN SEMBCORP INDIA,nan,Work life balance since there will be no work and all life,The cons are specific to the risk management profile in SEIL The company otherwise is doing amazing business in renewable business in India Talking of Risk Team there are several reason for not joining this team 1 Repetitive Tasks the task performed are already work done of either commercial or corporate finance team The team takes inputs from various teams put the information in a PPT and forward to the board there is no value addition of any sort except how to make lengthy ppts 2 No direct contribution to companys balance sheetPL hence dont except decent increments 3 Lethargy at the core of the team there are no deadlines no follow ups no discussions no accountability of any sorts I was not handed over the basic documents relating to the work till 5th month from joining 4 Unprofessional and Politics The team have people who are in the system for the past 1012 years who are highly unprofessional lacks knowledge of sector and they are very toxic Being in system for so long they have taken over the whatever work the team gets They will not share with some one new who joins hence no work no contribution and no recognition PLS DONT JOIN THIS TEAM IT WILL IMPACT YOUR CAREER IN LONG RUN I LEFT IN 6 MONTHS AFTER SUFFERING ALL OF THIS AFTER PUTTING RESIGNATION THE ENTIRE TEAM LITERALLY HAD A WITCHHUNT TRYING TO ACCUSE ME OF THINGS BECAUSE IN MY CONVERSATION WITH THE HR POST RESIGNATION I EXPLAINED HER MYREASON OF LEAVING IN A SHORT DURATION 6 MONTHS NO WORK ASSIGNED BY THE TEAM,Risk Management,Former Employee,Gurgaon Haryana,08/05/2022
2,Don’t do it,nan,Great team out in the field,Bonuses removed and replaced by an SDA payment which equates to less than previous years bonuses yet they expect 1 in 4 weekends to be worked on site and call out cover throughout the night Unrealistic demands for the compensation package on offer They’re going through a recruitment drive to try and boost FSE numbers to cover these extra shifts Be warned,Field Service Engineer,Current Employee,nan,04/05/2022
1,ME engineer,nan,There is work life balance but during peak period can be hectic,Learning curve and opportunities are very limited Favouritism in specific project,MampE Engineer,Former Employee,Changi Village,11/09/2022
4,Not bad,nan,Pay fairly People are generally nice,Bit heavy top Bit bureaucratic Old systems,Senior Manager,Current Employee,nan,22/05/2022
5,okay,nan,it is best having a family,average salary compared to other company,Senior Engineer,Current Employee,Woodlands New Town,03/06/2022
4,Ok,nan,relaxed and casual environment people are easy to work with,hierarchy sometimes gets in the way of getting work done,Financial Analyst,Current Employee,Singapore,18/05/2022
3,IT Dept,nan,A company with out of touch thinking HOD running the show,Taichi is common keeping mum when things happened Or maybe just blame the project manager,Anonymous Employee,Former Employee,nan,27/07/2022
4,Nice company,nan,Plenty of opportunities to grow,Management has not been able to motivate staff,AVPProject Manager,Current Employee,Singapore,29/04/2022
4,Review,nan,Quite good work life balance,Not much growth going on,Anonymous Employee,Former Employee,nan,20/05/2022
3,Good bonus,nan,Good benefit and salary package,Unclear direction from top managemebt,Senior Engineer,Current Employee,Jurong West New Town,30/07/2022
5,Review,nan,Regular working hours when I was there,Nothing to comment about now,Manager,Former Employee,nan,06/05/2022
4,Not bad,nan,Pay fairly People are generally nice,Bit heavy top Bit bureaucratic Old systems,Senior Manager,Current Employee,nan,22/05/2022
3,Poorly defined job scopes and progression pathways,nan,Very good worklife balance Starting pay is higher than average and bonuses are good,Poorly defined job scopes and career progression pathways Junior employees not guided well because management are not technically competent,Executive Engineer,Current Employee,Changi Village,29/04/2022
5,okay,nan,it is best having a family,average salary compared to other company,Senior Engineer,Current Employee,Woodlands New Town,03/06/2022
3,Good,nan,Good company and culture to work,Salary hike was not good,Assistant Manager,Current Employee,nan,04/06/2022
4,Ok,nan,relaxed and casual environment people are easy to work with,hierarchy sometimes gets in the way of getting work done,Financial Analyst,Current Employee,Singapore,18/05/2022
4,Nice company,nan,Plenty of opportunities to grow,Management has not been able to motivate staff,AVPProject Manager,Current Employee,Singapore,29/04/2022
2,Typical Singapore Local Listed Company,nan,Stable if you just want a job,Bureaucratic Too many meetings with no clear objective,Anonymous Employee,Former Employee,nan,17/05/2022
2,Career,nan,long term benefit if you looking for career prospects,Alot of foreign waiting to backstab you i was culture shock once I join them,Technician,Current Employee,Singapore,08/05/2022
