Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
5,Its a career not just another job,nan,Make great money without a college degree Reimbursement for college classes Lots of promotional opportunities,HR isnt helpful at all always hard to get in touch with Not as proactive with things more of a reactive company,Layup Composite Fabricator,Current Employee,nan,04/05/2022
3,Not such a good place to work,nan,They hire almost anyone who qualifies and applies,Unorganized inconsistent hours poor communication,Aviation Maintenance Technician,Former Employee,Pensacola FL,10/02/2023
4,Good start,nan,Pay is pretty good better than expected,Advancement is not the best in the world,A amp P Mechanic,Former Employee,Pensacola FL,10/02/2023
2,Dont work here,nan,Its weekly pay and can have benefit,Management has blatant favorites on 1st shift,Fabrication Bonder,Current Employee,Middle River MD,07/02/2023
2,Poor Pay,nan,Good people and diverse working enviroment,Poor management and Pay No one cares about you,Aircraft Mechanic,Former Employee,Mobile AL,14/01/2023
5,Stability,nan,long term employment in a growing market,corporate PMO structure is still being developed,Master Scheduler,Current Employee,Atlanta GA,05/01/2023
4,Upper Management is no good,nan,Lots of overtime flexible schedule friendly environment,Upper management too involved too much micromanagement,Production Planner,Current Employee,nan,29/12/2022
4,Decent workplace with good management and hours,nan,• Good hours with mandatory OT • Can take days off when needed • Flexible shifts • Good management,• Upper management from other skills aren’t the nicest • Expected to do work that you don’t know how to • Pay isn’t the best,Production Controller,Current Employee,San Antonio TX,03/12/2022
2,Expect 15 months,nan,Benefits nice office nice CEO,Pay culture lack of transparency and trust management no opportunity to grow or get training they play favorites almost all executives are the same kind of person manual entry,Executive Assistant,Former Employee,nan,23/09/2022
4,A company to join just to gain experience highly recommended for fresh grads,nan,Able to gain insights and major experience from ground zero highly recommended for fresh graduates Multiple collaboration with other departments Build internal networks Flexible working hours,Stagnant career path Poor Management the higher Management do not care and understand what the ground is doing Supervisors paints colorful stories to higher management Supervisors provides unclear directions and always rotiprata,Project and Service Engineer,Current Employee,nan,08/08/2022
4,Aprentice to Mechanic,nan,Able to learn and grow Communicative Managment,Some company choices arent the best for the workers out on the work floor,Aircraft Structures Mechanic,Current Employee,nan,19/08/2022
4,Work life balance,nan,Work life balance i was in noncorporate role,Slow pay increments and promotions,Anonymous Employee,Former Employee,nan,27/07/2022
1,Just another soulless job to get stuff done,nan,Able to work from home sometimes its debatable Decent benefits no Cigna HQ building is decently sized,Low pay Treated as an afterthought by colleagues No real opportunity to advance career Expected to do work outside your realm of expertise even if it makes zero sense to do so theyll even lie to your face saying that everyone else does this,FPGA Engineer,Former Employee,Herndon VA,07/07/2022
4,Nice,nan,Good entry job to enter the industry,Weird hours and shifts sometimes,Customer Service,Former Employee,nan,11/07/2022
2,Working Culture,nan,Good Colleagues to work with,Bad Manager poor management system not much employee benefits lack of communication from the manager,Test Engineer,Former Employee,nan,09/09/2022
2,Good Pay Bad Environment,nan,Works on interesting projects and has good benefits,High turnover rate due to bad work climate and culture,Lead Supplier Quality Engineer,Current Employee,nan,30/08/2022
3,Working Experiences,nan,Really a place to acquire works and on job training,Got to live with some poor and work place bully with poor managing experience to manage people Poor leadership that use emotion to mange their own people,Project Manager,Former Employee,nan,06/05/2022
1,Wish this place was better,nan,Cant think of any pros,Bosses dont care about you they do nothing but lie Seniority means nothing If your a hard worker they use that against you to not accept your transfer request if you would like to try another dept,Fabricatorbonder,Current Employee,nan,02/07/2022
3,Not bad place to work,nan,Good people to work with Decent benefits,Pay low Little information from hr,Avionics Technician,Current Employee,nan,15/06/2022
3,Very political company with messy structure,nan,Company was undergoing restructuring which will hopefully align incentives across the board more,Political with many Presidents and different incentives across the groups Legacy businesses are difficult to reign in Management also appears to be unwilling to pay for talent,Anonymous Employee,Former Employee,nan,29/04/2022
3,Salary,nan,Work experience you will learn a lot,Low salary if no work available they will send you home,Apg Mechanic,Former Employee,nan,01/05/2022
3,Not good to their people,nan,Good and competitive pay scale,Not good to their people,Anonymous Employee,Former Employee,nan,03/05/2022
2,Ehhh,nan,It’s kind of an ok job,The pay is too low at this place,Mechanic,Current Employee,nan,26/04/2022
3,Was okay,nan,Great atmosphere and location is not too far away,Over worked and underpaid for what you have to put up with,Diesel Technician,Former Employee,nan,14/02/2022
4,Great intro to the industry,nan,Great access to mentors very hands on experience,Intern sponsors can be overwhelmed trying to balance an intern and their day to day work,Intern,Current Employee,Middle River MD,31/01/2022
1,Horrible,nan,None Experience to move on to better companies,Horrible work environment Horrible upper management They cant even get HR managers to stay,Anonymous Employee,Current Employee,nan,02/03/2022
5,Great company,nan,Great team culture upward mobility,There really arent any cons that I can think of,Anonymous Employee,Former Employee,nan,05/01/2022
