Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
3.0,"a typical day at work
what you learned","Good collaboration with supportive team members
- Good work culture
- Opportunity to work on cutting edge technologies
- Management highly encourages employees to learn and take certifications
- Good benefits
- No micromanagement
- Flexible working arrangements
- Challenging project",a typical day at work what you learned,a typical day at work what you learned,Project Engineer,Former Employee,Singapore City Hall,"February 5, 2022"
4.0,Good part timer colleagues but aunties a bit toxic,Need to deal with many types of annoying customers. Part timer colleagues around the same age will most likely be the only sane people around. Some aunties who have been working with ntuc for over 10-20 years love to say how senior they are.,,,Cashier (Part-time),Former Employee,Singapore,"February 27, 2023"
4.0,Not bad,good working experience. Employers are good and i had wonderful colleagues manage to also celebrate different occasions and attended company's dinner and dance as an itnern,,,Intern,Former Employee,"Singapur, PR","February 20, 2023"
3.0,Fast Paced,"Shift work can be at erratic timings and during holidays and peak period it can get very crowded and congested. Additionally, customers can be very rude but work is easy to pick up quickly",,,Cashier (Part-time),Former Employee,Tampines,"February 20, 2023"
4.0,Easy and Flexible,"Working at Fairprice as a part-time grocery shopper was a good experience - simple job scope, just need to pick items according to the list given. Lots of walking though!",,,Grocery Shopper,Former Employee,CBP,"February 15, 2023"
5.0,Easy jobs,"Was employed at the ntuc for a short period of time, Abt one month. Job was a little boring, just restocking and checking the foods expiring date. Quite chill job. Nice supervisors",,,Retail Assistant,Former Employee,Woodlands,"February 14, 2023"
3.0,Fast paced and efficiency-centric,Its all about the paced you work and how fast you can clear the stocks from newly arrivals and the ones in the backstore. Occasionally got told off just because was engaging with customer inquiries,,,Store Assistant,Former Employee,Singapore,"February 13, 2023"
3.0,Rewarding but tiring,"Nid to stand for long hours, pay was good but need to work for 42 hrs per wk, most people are quite friendly and patient as well, customers are generally quite nice",,,Temporary Staff,Former Employee,Tampines,"February 6, 2023"
3.0,Stressful environment,I worked there for a few months post-lockdown periods. I was part of the online e-commerce part for NTUC and it was a hectic and stressful environment. There were numerous orders a day which forced all the staff to work constantly. Inventory is often not stocked due to the constant stream of orders /advance orders that need to be cleared before each delivery time slot.,,,employee,Former Employee,Yishun Orchid Country Club,"February 4, 2023"
4.0,Relaxed but repetitive,"I did the same thing everyday. Main job scope was to replenish and mostly did replenishing for the whole shift. It is a very repetitive job, so you will need to get used to it.",,,Retail Assistant,Former Employee,Tiong Bahru Road,"January 28, 2023"
1.0,productive and fun,it is a office hour job. work with min stress . less stress means aslo less return. But it is all good for low stress job task. can do part time study,,,Admin Assistant,Current Employee,Singapore,"December 23, 2022"
5.0,Good workplace,"Had fun working there & understanding how tough the supermarket line work is but it is an essential service & fast paced.
Physical work but with teamwork is fine.",,,Team Leader,Former Employee,Singapore,"December 5, 2022"
4.0,Demanding job but rewarding and rather fun.,"I worked as part time cashier, 5 days a week/ 5 hours a day. I enjoyed working with my colleagues to serve customers. We worked as a team. And often helped each other out like reminding each other or helping in various ways. Overall it was a rewarding experience.",,,Cashier,Former Employee,Vivocity,"November 29, 2022"
5.0,Great workplace and colleagues,Typically have to restock goods and answer customers' questions when available. Also have to order and place stock according to planogram as well as help with other areas when peak time hits.,,,Retail Associate,Former Employee,Kallang,"October 20, 2022"
4.0,Fun working environment.,"Simple Job but need to be more alert when handling cash/vouchers and other terms of payment made by customers.
Be patient to every customer needs character especially complaints.
Need to face stress when it comes to festives seasons.",,,Cashier,Current Employee,Singapore,"October 17, 2022"
4.0,productive and fun,i get to know friends there the supervisor there is quite friendly and will guide u patiently and whenever u ask them anything they will be glad to help u,,,restocker,Former Employee,zhong shan,"September 17, 2022"
3.0,Fun and Convenient,"I went to work as a PT at Fairprice. Everything was fine, job wasnt stressful, coworkers are friendly, supervisors too, until i was dismissed as they found a new permanent staff to replace me. I was shocked to hear that it was my last on that day. I would not reccomended others to work here for short-term sch holidays. They can just kick you whenever they want to.",,,Restocker,Former Employee,Yew Tee,"September 5, 2022"
5.0,Very nice people,Coworkers are very friendly and won't hesitate to help you when in need although they like to gossip about others.,,,Cashier (Part-time),Former Employee,white sands,"August 17, 2022"
4.0,Slow paced but can be tough and tiring.,"Currently working as a replenisher, and it is enjoyable if working with people you get along with. However, their management staff can be very demanding and unhelpful, so got to depend on yourself at times.",,,Replenisher,Current Employee,Yishun,"August 16, 2022"
5.0,Great company and colleagues but tiring,"Work here as a part time staff at unity pharmacy by fairpice for 2 years during my studies, now currently a full time staff. My expirence here is good, friendly colleagues, family oriented working environment and always supportive. Only downside is shift work is tiring work many days then off 1 day and the cycle begins. Otherwise everything else is good.",,,Retail Assistant,Current Employee,City square mall,"July 30, 2022"
5.0,Very Good Company,"It is good pay with good benefits, i think it is one of the few companies with good benefits and pay that is very very very good and living for the hours",,,Kitchen Helper,Former Employee,Kovan,"July 23, 2022"
3.0,"a typical day at work
what you learned","Good collaboration with supportive team members
- Good work culture
- Opportunity to work on cutting edge technologies
- Management highly encourages employees to learn and take certifications
- Good benefits
- No micromanagement
- Flexible working arrangements
- Challenging project",a typical day at work what you learned,a typical day at work what you learned,Project Engineer,Former Employee,Singapore City Hall,"February 5, 2022"
4.0,Fun Working environment,Family Orientated great culture and many opportunities to learn as individuals However career progression may be limited as there is quite competitive on promotion,,,Team Leader,Former Employee,Jookoon,"July 13, 2022"
4.0,"Friendly coworkers, no work life balance","Coworkers are friendly and helpful. Taught me how to do the stuff in the beginning and very thoughtful and understanding

Worked 6 days a week as a packer is tiring",Friendly coworkers and boss,6 days a week,Temporary Packer,Former Employee,Yishun,"May 30, 2022"
4.0,fun place to work at,great environment . need learn cashiering and counting own cashiering money before end work. most enjoyable is to talk to friends and have lunch together. help each other when in need or dealing with difficult customers.,,,cashier,Former Employee,parklane shopping mall,"May 5, 2022"
4.0,Encouraging,Dependent on manager and team you work with. Fast paced and stressful with many transactions to go through. Have to learn to deal with difficult customers and to address their demands,,,Cashier (Part-time),Former Employee,Chinatown,"April 28, 2022"
4.0,Retailer with a heart for customers,"The supermarket places emphasis on customer service, and prides itself as a social enterprise with the mission to moderate the cost of living.

Depending on the store, the experience can be different.",,,Retail Assistant,Former Employee,Singapore,"March 26, 2022"
5.0,Good environment,Have different outlet nearest to our home fun environment able to meet different types of people must good in communication must be alert have different job scope weekly,,,Cashier,Former Employee,Singapore,"March 22, 2022"
