Unnamed: 0,Rating,Title,Pro,Con,Job Title,Status,Region,Date
00,5,Good Place To Work,Good Pay Experience Engineers Good Managers That Care For Your Growth,Work Load OnCall Beauracary CodeBase,Software Engineer,Current Employee,San Francisco CA,Mar 19 2023
10,5,You Get What You Put In,Really smart people a lot of opportunity for growth always encouraged to be innovative think big and create something new Competitive salary and benefits with other major tech companies 100 self motivating work environment No dress code and 4 legged friends are welcome,You have to be self motivated NO ONE will hold your hand and tell you that youre doing a great job If you need constant affirmations from management this company isnt for you,Anonymous Employee,Current Employee,Seattle WA,Jan 10 2016
20,3,Exciting Work Abusive Culture,Jeff Bezos and his STeam are brilliant and continue to make great decisions for longterm growth You work with smart people you work on exciting projects you are pushed to your limitswhich can be rewarding when you accomplish great things The diversity of the potential work and innovation can be very alluring Ive often called Amazon my Sexy Mistressshes emotionally abusive but shes so sexy that I go back for more punishment,The management process is abusive and Im currently a manager Ive seen too much behind the wall and hate how our individual performers can be treated You are forced to ride people and stack rank employeesIve been forced to give good employees bad overall ratings because of politics and stack ranking,Senior Engineering Manager,Current Employee,Seattle WA,Feb 20 2016
30,4,Can be amazing for some people horrible for others,Amazon is doing lots of cool stuffbut lots of boring stuff too There are really well run teamsand very badly run teams The experience for software managers and engineers is all over the board from really run low operational load teams to teams where people burn out after a year Amazon is built quite deliberately to be Darwinian You can generally expect that anyone whos been here for more than 2 years is competent and motivated or they wouldnt have survived You can count on them as long as your priorities are aligned There arent many slackers here and they dont survive long We work on so much stuff that theres always an opportunity to find amazing cool stuff to work on note that its an opportunity one that you have to pursue A chance to make a huge difference A place where you can learn a lot about all kinds of things both technical and about yourself Amazon encourages high mobility even your manager cant prevent you from moving to another team within 6 weeks normally more than a few months under unusual conditions Your friends and family have actually heard of the place you work and have at least a vague notion of what Amazon does without you having to explain,Youre responsible for your own career progression and finding the places and teams that are doing the stuff you want to do No one is going to take you by the hand and help you with that Amazon is built quite deliberately to be Darwinian The strong survive and the weak perish metaphorically speaking and the bar is constantly increasing The level of performance that would have been acceptable five years ago will get you canned today Its a kind of crucible thatll help you develop a harder edge if you can survive that can serve you well in your career and in life but its often not a pleasant experience I wouldnt recommend it as a place to work for just anyone,Software Development Manager,Current Employee,Seattle WA,Dec 17 2013
40,5,An Amazing Place to Work,Ive been at Amazon for a month now and Ive seen none of the horror stories being communicated to the public although Amazon is a large enough company that Im sure there are good pockets and bad pockets Everyone here is really smart and wants to succeed both personally and as a company People collaborate and help each other focus on data and truly focus on the customer Every company Ive ever worked for talks about how important the customer is but on day 2 theyre forgotten Amazon seems to genuinely focus on whats best for the customer and its awesome to be in meetings where people actually bring that up and make decisions focused on longterm customer satisfaction The opportunities to learn here are literally unlimited and the opportunity to take on new responsibility is as well I honestly believe you can be as awesome as you want here,No cons so far seriously Like I said Im sure Amazon has some bad pockets in it here and there but this is an amazing job an amazing opportunity and the biggest thing I have to complain about is that its a little chilly in our building I can live with that Does Amazon demand high quality measurable results Yes Is it hard work Yes Is it rewarding Yes So Im not calling that a con Worklife balance seems comparable to other places Ive worked not worse,Software Development Manager,Current Employee,Phoenix AZ,Feb 23 2018
50,5,Amazing company and the most driven and smartest of the people,You can learn a lot very quickly in a very short time Surrounded with nothing but incredibly smart and driven individuals Compensation is well beyond my expectations and more than suitable Exciting projects all across the company that keep you interested and focused Amazon is changing the world,Can be overwhelming very steep learning curve Can be difficult to keep up if you are not self motivated,Software Development Manager,Current Employee,Phoenix AZ,Dec 3 2018
60,4,We are now in a world where we are condescended to by our inferiors,This company gets A list performance from C list employees The culture is quick and hard charging You are always working in relevant and meaningful projects,Maybe because the company recruits C listers who have neither merit intelligence strategic vision nor pedigree academic or professional accomplishments most of those who become successful do so in treacherous low cunning ways Imagine the Lannisters in Game of Thrones attacking the Starks in Game of Thrones or Rawls and Burrell attacking McNulty and Daniels in The Wire or Barrow and OBrien attacking Mr Bates in Downton Abbey This is every day leadership behavior at Amazon The culture at Amazon is so infested with these middling talent weasels who have juked the stats and schemed their way to positions of power that new employees coming in actually start thinking that this behavior is normal and expected if you want to manage people The work itself was stimulating and fulfilling but the sneering condescension of the d bags that cheated and skated their way through high school and party colleges then just converted their winky nod nod good ol boy shenanigans into a ask no questions have no introspection company culture have made manifest some of the worst criticisms of capitalism Any left leaning political aspirant would look at this business organism and immediately have content to lash out against the corruption that can come in free enterprise where hard work is not rewarded and the connected incestuous privileged class lounge their way to wealth while treating their employees and customers like some kind of filth their shoe picked up on the street,Anonymous Employee,Former Employee,Seattle WA,Mar 23 2017
70,5,Overall a Great Company with High Standards,Challenging sometimes fun work environment Being part of a team Doing great things Great people to work with,Organization and communication can be a challenge to maneuver around Hours can become a challenge when managing a hectic schedule Having to be available for any shift in order to move up in certain positions Work expectations and policies can change and can be confusing,FC Associate I,Current Employee,nan,Aug 30 2020
80,4,A huge diverse high tech company with all sorts of stuff,Disclaimer My opinions reflect that of an SDE in Amazon Seems like some operational job functions are very tough I have read through some of the other Amazon reviews and it seems to me that everyone has a very different experience This is so true Within the same team you can have both workaholics and slackers coexisting and coworking together I think I am more of the balanced type as I try to stay sane The Amazon experience is basically the entire spectrum and it is what you make it out to be Pros in Amazon certainly excludes great benefits but compensation is competitive Free food means average quality free coffee once in a while free pizza for lunch where it is a working lunch and free beer and finger food in special events We get a free Orca card to take any bus in the Seattle area for free 160 per month subsidy for office parking which is better than nothing Downtown monthly parking goes for about 200 per month 401K contribution is 50 of what you put in where you can put in max 4 of your salary Not so great Staff cafeteria food is average and not at all cheaper than outside food or could be even more expensive It is hard not to complain about the cafeteria Vacation days are ok but note that there are no sick leaves They count as part of your 5 personal days per year Listing the benefits of Amazon is like listing the cons and not the pros Work life balance seems to be ok for the most part and seems to be individuallydriven No one will tell you that you have to come in at what time and stay till what time I have team mates working every night and weekend and others getting in at 10am and leaving at 5pm all in the same team Managers will focus on your project deliveries instead of how much time you spend working If you work 40hour weeks productively you can definitely outperform someone who works 60hour weeks but dont deliver stuff Working less than 40 hours per week is somewhat common but I cant say how many people are working how long The view on work life balance is a bit skewed All it comes down to are the managers and what they think Projects are always neverending but I have found that deadlines are very realistic and reasonable without counting your nights and weekends Getting some slack time once in a while is probably a sign of a healthy work environment Everyone needs a break Oncall really really sucks Basically all it comes down to is having SDEs doubleduty as support operations engineers Note that oncall does not improve the code quality of any team in any way The oncall experience is particularly bad because you are using services from some other team and their code is of low quality and fails for the wrong reasons If the managers had given more time to up the quality there would not be so many problems Software is usually delivered with a tough deadline with code that meets the minimum quality bar and never gets improved for the next few years The code review process does not seem to help improve the code but it really obstructs developers from making great changes as unconventional things will not pass code review in clumsy minds Innovation and excellence are not the name of the game in Amazon Searching through the Amazon code base is usually not going to turn up quality code that you can actually reuse Integration is the name of the game in Amazon You will need to spend a lot of time to figure out how to integrate your code with another teams services Whether these other people are cooperative is a hitormiss I have found that most people are responsive and helpful but there are also quite a number of jerks who are out to make trouble for everybody It is not easy to work across teams but the experience is mostly positive Amazon is a huge behemoth and is hiring people like there is no tomorrow This reflects well on a good growth momentum but also is worrying that the company is not turning much profit If the company does not make money where is our bonus going to come from You can see new faces around the Amazon building almost everyday Downside is that we are taking in a lot of average to aboveaverage engineers and being an Amazonian SDE certainly does not share the same reputation as the top names Amazon is a huge mixed bag of some very talented people and some very dumb people I think the world is not turning up enough SDEs and the only way is for quality to go downhill As an SDE expect to spend most of your time talking writing emails and documents and maybe around 2030 of your time coding In most of the teams you can work on interesting projects but probably not revolutionary ones Note that Amazon is a very downtoearth company and the work is very downtoearth as well You will work on real things that people have actually requested for and that people will start using as soon as you are done Work is challenging but not to expect highly technically complex stuff Most of the work has to do with solving everyday problems To me this seems to make sense because I have ever tried working on experimental projects before elsewhere and I did not feel it was a good use of my time Internal mobility is a key strength of Amazon and I am not sure which company has done better than Amazon in this aspect Internal moves are easy You only need to stay in your team for a year before moving to a different team There is no easy way to tell which team is a good team to move to because they all have their different pros and cons and people and coming and leaving all the time Seattle is by much rumour an easier place to live than the Bay area Overall Amazon is a tough but yet sane place to work The flexibility of this company is really its core strength You have the freedom to excel as much as you want and also to slack as much as you want Bummer You shouldnt be slacking,Beware of bad managers and horrible team mates They are not specific to Amazon but they do exist in Amazon I have to admit that Monday is usually a blue day at Amazon and it is very tough to look forward to getting into office I dont know anyone in Amazon who looks forward to getting in on Mondays Be realistic about SDE requirements Coding skills are good to have but they are not the most important part of your job I think we are hearing the same thing from every company Medical coverage is average or below average Expect to pay about 60 per month for singles and about 240 per month for families 240 per month for families gives you 3000 in medical fees before you have to pay more anything outofpocket SDE advancement is unreal difficult They have about 6 levels total SDE 14 then Senior Principal Engineer and finally Distinguished Engineer The number of SDE 1s and 2s are huge Trying to get to SDE 3 seems to be allofasudden extremely difficult but not impossible So this essentially means that if you come to Amazon as a fresh grad SDE expect to get about only one or two promotions in your entire career which obviously is quite a lame expectation and reality You will probably do much better in your career advancement anywhere else Employee retention is horrible I am not sure why the philosophy seems to be trying to undercut existing employees and then hire from external sources Management all say that they are trying to retain people but actions dont seem to suggest anything better Rumour has it that annual pay raises are horrible This basically mean that either you are a superstar in the company before they will try to retain you or if you are smart you should not stay in Amazon for too long,Software Development Engineer,Current Employee,Seattle WA,Sep 19 2014
90,4,Warehouse associate full time for over two years,Great starting pay and the ability to get raises very quickly Full training in all areas are offered and if your willing to work hard and sweat everyday for 10 hours a day 4 days a week then this is the job for you The 4 day weeks go by quick it can be exhausting so proper rest and a healthy lifestyle will help you stay strong within this company Beat benefits as well once you are a hired on as a full time employee,After 3 years of working with the company you cap out at 1575 meaning you can no longer make any more money than that as a tier 1 associate Your expected to want to move up in the company and that is the only way to make a better hourly wage by advancing into management and operations management positions if there are any openings,Tier I Warehouse Associate,Former Employee,Carlisle PA,May 15 2017
100,4,Great place to learn churn n burn culture in finance,super smart people the best of the best from schools if you get hired here you will be hirable anywhere recruiting process is tough the pay is above average probably 15 times elsewhere but the expected results are 150 of elsewhere too lots of opportunities to work on new innovative projects cool SLU campus lots of options for food and drinks after work,frugality is taken to the extreme only 2 weeks vacation parking takes a year or more to get zero perks not even free Prime no fitness allowance poor 401k your peers will stab you in the back your manager will blame you for their errors you cant trust anyone people who throw others under the bus and take credit for other peoples work get promoted expectations 60 70 hours a week some teams expect Sunday to be an in the office day headcount never gets filled teams are always short a few people but the work keeps piling on,Finance Manager,Current Employee,Seattle WA,Mar 29 2017
110,4,Pay hours culture,Amazon has great pay and annual raises You also receive stocks as well As a salaried leader you are required to be at work before and after your team The hours are long and you have to be willing to work any shift day or night and be rotated every year or more frequently depending on what coverage is needed There are strict rules to protect yourself and the company It is very fast paced and extremely competitive Leaders are competing for the same roles and the internal promotion process is brutal and very public throughout the building You are pushed out of your comfort zone and pushed as a leader You will grow and learn how to be a great leader if you have the right mindset Amazon offers great benefits pay leave of absences FMLA paternitymaternity leaves and has a great 401k program As far as warehouse positions go Amazon is by far the best,Shift availability They expect you to commit to any shift any time It doesnt matter if you have kids are a single mom etc You are expected to work whatever shift they put you on They will not work work you if youre a salaried leader,Area Manager,Former Employee,Kansas City KS,Mar 28 2023
120,4,Warehouse associate,Tough Work but good pay,management improve Amazons overall rating Address employee concerns Actively listening to and addressing employee concerns is crucial for improving morale and reducing turnover Consider creating channels for employees to provide feedback and addressing their concerns promptly Invest in employee training and development Investing in employee training and development can help improve job satisfaction and retention rates Providing opportunities for employees to acquire new skills and advance their careers can also help attract and retain top talent Improve workplace safety While Amazon has implemented various safety protocols continuing to prioritize safety and implementing additional measures to prevent accidents and injuries can help improve employee morale and reduce turnover Foster a positive company culture Creating a positive company culture can improve employee morale and engagement leading to better performance and lower turnover rates This could involve encouraging teamwork recognizing and rewarding employee achievements and promoting a healthy worklife balance Offer competitive compensation and benefits Offering competitive compensation and benefits packages can help attract and retain top talent while also improving employee morale and job satisfaction Emphasize ethical business practices Ethical business practices such as treating employees and customers with respect can help build trust and loyalty with both employees and customers This can lead to improved overall company ratings and customer satisfaction Embrace innovation and sustainability Embracing innovation and sustainability can help improve the companys reputation and attract environmentallyconscious customers and employees Consider implementing sustainable practices and technologies such as renewable energy and waste reduction initiatives By addressing these areas Amazon senior management can improve the companys overall rating and position the company as an employer of choice in the highly competitive job market,Warehouse Associate,Former Employee,Saint Charles IL,Mar 16 2023
130,3,Amazon Warehouse Associate Review,The biggest positive of working at Amazon was the consistent scheduling Same days same times every week unless otherwise specified usually for highly predictable reasons holiday season especially Changes to the schedule were communicated ahead of time Fellow associates were generally pleasant Its a place to work and make money and the hiring process was relatively easy when I started in 2018 Good inexpensive benefits From Day 1 as well Time off is pretty easy to come by in terms of earning it and waiting for opportunities Most of the time off opportunities are not paid however and at least when I worked there you get a very minimal amount of PTO Not ideal but you are afforded some flexibility,The long hours were very much a pain Its easy to get burned out even only working four days a week Its ten hour days nearly eleven full hours at the facility in total working almost entirely on your feet doing physically demanding tasks in a loud fastpaced environment Its a grind It is no wonder the company has had such high turnover in their warehouses Im even shocked that I lasted as long as I did compounded by the fact that a sizable portion of my employment was during the peak of COVID19 and all that entailed and still does There is a set detachment between the office and the employees You are very much a number to them and nothing else This is a job where you get in to get out unless if youre trying to move up in management,Warehouse Associate,Former Employee,nan,Mar 29 2023
140,4,Pretty Good Workplace,You can use Personal Time anytime as long as you have enough hours Vacation and Unpaid Time are included Super easy to put in the time off Super easy job depending on what type of facility you are stationed at As long as you log your hours and finish your PMs youve got lots of freetime to work on the computer Theres a program to get a free Bachelors degree or Associates degree,If your management isnt that good your experience might not be as nice Operations tends to watch your every move when conveyance is down and will constantly ask when everything will be back online Joining during a start up might be difficult if you work with a group of people who are new to Amazon conveyance Theres lots of protocols and hoops you need to jump through to get some things done,Maintenance Technician,Current Employee,nan,Mar 20 2023
150,3,Good if youre interested in moving upcompetitive Rough if youre tired of the grind,Start out better than most entry level jobs around 18hr L1 Multiple time off options make for a good bit of flexibility Multiple shift codes to accommodate your scheduling needs A lot of opportunities to learn new processes equipment and skills A lot of opportunities to promote or move within company,Workload is rather strenuous even for the pay Very Grindy Indirects and PAs carry most of the workload Worklife balance very difficult to maintain Shifts quickly move beyond 10 hours to 11 or 12 hours For L3 Support roles are difficult to move into,Process Assistant,Current Employee,New Castle DE,Mar 29 2023
160,5,Good company,Realworld impact As an Applied Scientist youll be working on solving realworld problems and developing solutions that have practical applications which can be rewarding and fulfilling Interdisciplinary work Applied Scientists often work across different fields such as engineering computer science biology or chemistry allowing you to learn new skills and broaden your knowledge Varied tasks Applied Scientists may have diverse tasks ranging from designing and conducting experiments to analyzing data writing code or presenting research findings which can keep the work interesting and challenging Collaboration Applied Scientists often collaborate with other scientists engineers product managers or stakeholders in the industry which can foster teamwork and communication skills Career growth Applied Scientists are in high demand in many industries and the job outlook for this field is promising providing opportunities for career growth and advancement,Pressure to deliver results Applied Scientists are often tasked with delivering results under tight deadlines and high expectations which can be stressful and demanding Ambiguity Applied Scientists may encounter ambiguity in the problem definition or data interpretation requiring them to make assumptions and tradeoffs that can affect the results Technical skills required Applied Scientists need to have a strong foundation in technical skills such as statistics programming or experimental design which may require significant time and effort to acquire Limited creativity Applied Scientists may face constraints in the problemsolving process such as budget or time limitations which may limit their creativity and innovative ideas Competitive market Applied Scientists are in high demand but the competition for jobs in this field can be intense requiring a high level of qualifications and experience,Applied Scientist,Current Employee,New York NY,Mar 6 2023
170,4,Great Benefits OK Organization,Belonging to a gigantic parent company has its perks such as highvalue benefits health insurance pet insurance etc Accessible to each employee is also an Amazon discount code as well as countless learning resources and a gogetem culture Amazon Games definitely encapsulates the small company vibe well You are working with a manageably sized team and the hierarchy is relatively flat,The production pipeline is confusing Production for one character starts all at once and it is difficult to find assets on your own Be prepared to hurry up and wait and alter your animation at the last minute when you finally receive the final character model even after all your animation is wrapped,3D Animator,Current Employee,Irvine CA,Mar 30 2023
180,5,Great Place to Work with Amazing Colleagues,Ive been working as an Email Marketing Manager at Amazon and I must say that its been an amazing journey so far The company culture is highly collaborative and inclusive and I enjoy working with my colleagues who are highly skilled and passionate about what they do,One of the things that can be challenging about working at Amazon is the fastpaced environment Deadlines can be tight occasionally However I feel that this is also what makes the work exciting and rewarding,Email Marketing Manager,Current Employee,Seattle WA,Mar 28 2023
