Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
50,great,,gives you lot of platform to explore,i loved the work there and it was friendly,Senior Officer,Former Employee,nan,Oct 17 2022
40,No regrets,,Lots of things to learn boss was great,Some of the work was not meaningful,Anonymous Employee,Former Employee,nan,Dec 16 2022
50,Really grateful working in DBS Bank,,I used to have a worklife balance while working at DBS and the pay is good for freshers Having multiple options I chose DBS Bank and I have no regret taking the decision,My experience wouldnt be sufficient to tell about the cons DBS bank has many experienced and talented people,Application Developer,Former Employee,nan,Sep 30 2022
50,review,,Great talent pool and work ethic,Long working hours and Head office led,Director,Current Employee,nan,Oct 11 2022
50,Analyst,,Transparency Constant feedback gathering and improvement in working solutions,Tendency to retain employee at current role if they’re doing well instead of encouraging them for progression,Analyst,Current Employee,nan,Sep 26 2022
50,Great place to work,,Great team engagement Loved the people on my team,Slow hike Rest all is good,Anonymous Employee,Former Employee,nan,Sep 12 2022
40,Great work place and culture,,Very good and flexible work environment Friendly seniors The company respects their employees Good transport facility,More workload sometimes Tight work life balance,Senior Officer,Current Employee,India TX,Aug 16 2022
50,Solid experience,,Very good colleagues and name brand,Low pay and long hours,Anonymous Employee,Former Employee,nan,Aug 26 2022
40,great place to learn,,good tech stack good environment,work life balance is tough,Anonymous Employee,Current Employee,nan,Jul 8 2022
40,Pay increment have much room for improvement,,Decent employee benefits Good amount of annual leave,Pay increment annually is rather disappointing Always claim to pay competitively but does not seem to be the reality,Analyst,Current Employee,nan,May 20 2022
40,great place to learn,,good tech stack good environment,work life balance is tough,Anonymous Employee,Current Employee,nan,Jul 8 2022
40,Pay increment have much room for improvement,,Decent employee benefits Good amount of annual leave,Pay increment annually is rather disappointing Always claim to pay competitively but does not seem to be the reality,Analyst,Current Employee,nan,May 20 2022
50,Great colleagues Healthy culture,,Colleagues are genuine and sincere There are no rivalry amongst each other,None that i can think of,Anonymous Employee,Current Employee,nan,May 14 2022
10,Salary,,nothing special no different than any other banks,pay and benefit not the greatest,Bank Teller,Former Employee,nan,Jun 20 2022
50,Excellent company,,compensation package was very good similar to other main banks,long work hours endless meeting,Financial Planning Manager,Former Employee,nan,Apr 11 2022
40,Full Stack Developer,,good package Transportation facilities Fun activities,work life balance lack of innovation,Analyst,Former Employee,nan,Mar 23 2022
40,Good culture but low in compensation,,International exposure good culture and learning opportunity,Too many manual processes too many old generation that makes the environment less lively,Data Analyst,Current Employee,nan,Feb 27 2022
50,EXPEREINCE,,It was really to good in dbs,i was really nice to work at dbs,Software Engineer,Current Employee,nan,Mar 12 2022
50,Good company,,high salary good work culture and friendly people,I do not find any cons,Senior Associate,Former Employee,nan,Mar 7 2022
30,You will survive,,beautiful office Good fast growing projects,Zero work life balance No clarity of growth,Software Engineer,Former Employee,nan,Jan 15 2022
50,Great place to work,,Plethora of opportunities to explore internally multiple platforms to learn and grow Great Leadership support,Work life balance can be better,Anonymous Employee,Current Employee,nan,Nov 9 2021
50,Good,,Great company and great work culture,Fast paced Start up culture,Software Development Engineer,Current Employee,India TX,Nov 3 2021
20,Review,,good trainings given to new hires,no work and life balance for sales roles,Anonymous Employee,Former Employee,nan,Sep 7 2021
40,Good regional bank,,culture diversity xregion seminar before pandemic,insufficient attention to people development lower pay raise,Senior Product Sales Manager,Former Employee,San Francisco CA,Aug 3 2021
50,Good work experience,,Good work New tech stack challenging problems,bad managers in company micromanaged org,Analyst,Former Employee,nan,Jul 12 2021
40,Life in DBS,,Company is ever upgrading you will always learn new things always a system to do things,overwork always changing processes always short of manpower,Anonymous Employee,Current Employee,nan,May 24 2021
30,Small review for a custodian,,Living wage and easy work unsupervised,No benefits or time off or paid sick days,Custodian,Current Employee,nan,Mar 24 2021
50,Good place to work,,Good benefits and nice people,Everything great Nothing to complain about,Credit Analyst,Former Employee,nan,Mar 4 2021
40,company review,,Good compensation and benefits compared to other banks,High replacement rate for this position but its quite normal since the environment is really fastpaced,Senior Relationship Manager,Former Employee,nan,Jan 27 2021
30,dfa,,working environment is good and colleagues are all graduated from wellknown universities,culture is too aggressive and working hours are long,Anonymous Employee,Former Employee,New York NY,Jan 24 2021
30,Best bank in the world,,Good pay and carerr growth,Too much politics and crab mentality,Vice President,Former Employee,India MS,Jan 18 2021
50,Great place for hard workers,,You work for human beings that you actually see and talk to The partners are experts in their fields that genuinely care about their clients and their employees,You are working in a topflight business with dynamic people that push themselves hard That means as an employee you must do the same It you can handle hard work you will like it if not you want to go elsewhere,Anonymous Employee,Former Employee,nan,Aug 4 2014
40,Summer Assitant,,Colleagues are very willing to help you with any difficulties Team bonding activities are very common within the organisation enabled me to easily make friends and bond with my teammates,Quite local culture I feel like international people would find it hard to adapt to the culture Overtime hours is common and everyone does it without complaining so just do it,Anonymous Employee,Current Employee,nan,Jun 1 2016
50,Credit Analyst,,Entry level work with coaching and training do due diligence analyzing companys background information you can do well in the projects,work without many challenges or changes not many interactions among divisions probably could involve more advanced analytical tools,Anonymous Employee,Former Employee,nan,Sep 29 2017
50,Investment Banking Summer Analyst,,Management was very good and they truly care about their employees Mentorship abilities are good here Ability to work on actually relevant work,Work life balance Some days you are at the office all nights when you have a big assignment due There is not a lot of warning before you get a big project,nan,Former Employee,nan,Oct 18 2015
50,DBS bank,,culture people location salary stable,limited career advancement opportunities promotion too slow,nan,Former Employee,nan,Dec 5 2015
40,Interview,,Good compensation as compared to other companies This company really reward you for your efforts Friendly people Good working environment Structured training,Long working hours which includes weekends You basically will have lesser of own time and live 247 with your colleagues,Relationship Manager,Former Employee,Orchard Park GA,Sep 29 2017
50,Great Firm,,Large in Asia Great MA Program Management really cares about employees,If youre not in Asia or planning on a career in Asia dont bother You need to be able to communicate in Chinese and English,Summer Analyst,Former Employee,New York NY,Aug 15 2015
50,Senior Manager,,Good work culture Chance to work across geographies,Overall good company to work No cons as such,CPA CMA CA,Former Employee,Sacramento CA,May 29 2017
40,UNICORN Management Internship,,Very fun and supportive culture Very high autonomy Good mix of startupinnovation and corporate,Bureaucracy catches up and limits innovation,nan,Former Employee,nan,Oct 25 2017
50,Institutional Banking Intern,,Availability of projects you get a lot of things to do and great learning curve,The office culture is not as collegial as expected,nan,Former Employee,nan,Oct 1 2017
30,DBS India Review,,Excellent people around with loads of experience in the banking industry Got to learn a lot from them Was a part of their digibank launch,Internship was not structured to the extent I expected this to be HR department could have been more forthcoming with regards to the dos and donts of the company,nan,Former Employee,nan,Jun 29 2016
40,BI Consultant,,Consulting Firm get lot opporunity to work on different clients,Sometime too much travel and lot time is gone flights,Anonymous Employee,Current Employee,nan,Feb 9 2017
50,Summer Intern,,Innovative and supervisors are willing to teach you,Sometimes OT even for summer Interns,nan,Former Employee,nan,Sep 30 2016
40,Good people,,Friendly people nice working space,Long hours senior management could have better time management,nan,Former Employee,nan,Dec 8 2014
40,Good experience,,Supervisor always there to help and guide you if you hit a brick wall,Sometimes not effective communication,Internship,Former Employee,nan,Feb 14 2020
40,analyst,,good staff and environment,sometimes quite political but it depends on your project you are in,nan,Former Employee,nan,May 25 2018
50,Great culture,,People focus culture Great benefits,NAME,Anonymous Employee,Former Employee,nan,Jun 10 2018
20,Highly political organisation,,Work life balance is good,Top heavy structure with managers not bringing in deals,nan,Former Employee,Chicago IL,Nov 6 2015
40,Intern,,people are willing to teach,not a big name company,nan,Former Employee,nan,Sep 9 2016
30,DBS summer internship on design team,,Relaxed and nice people everyone is willing to help,No structured internship if youre on the design team not a lot gets done,nan,Former Employee,nan,Aug 29 2017
30,Work culture,,Latest technologies in use and no formals,Less time lines and hike percentage,Anonymous Employee,Current Employee,Baton Rouge LA,May 2 2018
30,Reasonable Salary,,More than enough vacation leave,Stressful had to work early morning and late night,Bank Executive,Former Employee,nan,May 25 2015
30,Work,,Good culture and work environment,Great amount of time spent on politics,Anonymous Employee,Current Employee,nan,Apr 2 2018
40,Forward Thinking,,Initiatives from governments are always backed up HR End of the day reward and recognition is really down to your personal contribution and how your boss perceives it Of course everyone would have a contribution but how your boss perceives the value is really up to them Hence it is not just about doing work It is the way we present the work that we do that is important,HR structure within the organization holds too much power The different structures within the organization doesnt allow for easy collaboration,Senior Associate,Current Employee,Singapore,Mar 21 2023
50,Good Place to work and learn,,1Everyone is individual contributor no bosses here 2Visibilty is good in terms of your efforts to the management is transparent 3Internal mobility is encouraged here no internal politics 4 Free transport facility,1Live food counter should be improved 2Should have more options for food,Assistant Vice President,Current Employee,Hyderābād,Mar 27 2023
50,Best place to work,,Better pay Flexi work arrangements Options for internal mobility Transparency of performance discussion Focus on continuous learning Support for innovation Decent job stability,No travel opps Grievance redressal is still in hands of manager Work life balance can be skewed for some roles,Anonymous Employee,Current Employee,Hyderābād,Mar 28 2023
50,A company where I can Be the Best Be the Change and Be the Difference,,Family like culture where collaboration and discussions are part parcel of the daily work Strong internal mobility culture Good channel communication between management team thru townhalls and feedback system from the ground thru Tell Piyush platform,Speedier decision making process All staff to take better ownership of their role and job,HR Business Partner,Current Employee,Singapore,Mar 20 2023
50,Very Good Company,,1Work Life balance Good 2Timing depend on Rolefor me Good 3Events Games make us happy 4Manager HR are good,1 Permanent work from home not giving,Senior Associate,Current Employee,nan,Mar 28 2023
50,Life in DBS,,Career in DBS is very good as in DBS we can grow technically and functionally very well DBS is recognised as best bank in the world and this itself proves how careful DBS is in their initiatives and business Job is very safe in DBS,Nothing as of now in DBS,Vice President,Current Employee,nan,Mar 27 2023
50,Good place to grow,,1 Latest tech stack and always strive for the modernisation 2 Good scope for learning and growth 3 Good pay bonuses and benefits,Not much some teams are lagging maturity,Vice President,Current Employee,Hyderābād,Mar 27 2023
50,Iam working as a Android developer from past few months and i absolutely love working with my designation,,Pride values are followed here,I dont have any cons till now coz I know I am working with worlds best bank and here they respect and value employees,Technology and Operations,Current Employee,Hyderābād,Mar 27 2023
50,World Class Engineering,,Always ready to take any suggestions Innovative allows employee to try different ideas Great transformation in tech,There is no cons in dbs tech always leads are there to help for any issues,Senior Officer,Current Employee,Hyderābād,Mar 26 2023
40,Best place to work,,Can work on advanced tech stack Exposure on new tech is high Rewards and recognition are based on your work,Sometimes needs to extend regular working hour,Associate,Current Employee,Hyderābād,Mar 27 2023
50,Software Analyst,,Friendly people around in the office easy to make friends and can rotate around team good culture,Location might be sometimes far but company provides shuttle bus,Anonymous Employee,Current Employee,Singapore,Mar 28 2023
50,Great place to work and learn,,Competitive pay Growth options Plenty of employee benefits,Some times Work life imbalance,Anonymous Employee,Current Employee,Hyderābād,Mar 29 2023
40,Good place to work,,Good salary nice team and managers,Work can get monotonous career growth can be an issue,Associate,Former Employee,Mumbai,Mar 28 2023
50,Excellent Place to work for,,Honest Approach to everything great service to customers,Long hours make it tiring but the work ethics are great,Vice President,Former Employee,Singapore,Mar 25 2023
40,The pros,,They have great employee benefit policies and also competitive compensation It is a culturally great organization to work for,If your boss isnt great you might struggle,Senior Officer,Current Employee,Chennai,Mar 23 2023
40,Wonderful learning experience,,Best work place to learn Best work life balance,No metric for the work you do Hence hard to get recognition,Applications Developer,Former Employee,Hyderābād,Mar 27 2023
50,WORK CULTURE,,Good atmosphere to work team collaboration is good office is damn good,There are no that much cons in company,Senior Officer,Current Employee,Hyderābād,Mar 27 2023
50,Good company,,Scope to learn a lot,Difficult to maintain work life balance,Test Automation Engineer,Former Employee,nan,Mar 27 2023
40,Great place to get a lot experience as a banker,,1 lots of exposure and challenges 2 Salaries and bonuses reflect the contribution,1 Stressful and long hours 2 Weekend work 3Benefits can be improved,Banker,Current Employee,Singapore,Mar 22 2023
50,Perfect,,Good environment Everything is perfect,Bank less live more,Administrator,Current Employee,Singapore,Mar 27 2023
50,Lots of opportunities to grow,,In last 45 years there has been a lot of push on experimenting and openness to adopt new technologies It has become easier to expand roles and find career growth internally if you dare and challenge yourself Other big organisations and even tech companies have happily taken folks from dbs now even within my own group due to this experience and have done well,Couple of tech towers are still very dominated at top so be careful which one you join,SVPTechnology,Current Employee,Singapore,Mar 4 2023
30,All about DBS within a year experience,,1 Work life balance 2 Employee perks 3 Career growth related technologies 4 Awesome office timings830am to 530pm— less traffic 5 Office transportation 6 Great rapo with colleagues and higher officials very easy to approach people and share thoughts 7 Awesome place for women employees 8 Respect to ideas and suggestions,1 More equity of gender require equal ratios of both genders,Senior Officer,Current Employee,nan,Mar 26 2023
50,People Oriented,,Through out my stay in DBS I have had a very good experience DBS is very people oriented I would always have an opportunity to hear and experience what they are planning and executing in order to always support their people in all aspects of work,I have no comment in this aspect,Senior Associate,Current Employee,nan,Mar 16 2023
50,Love working here,,I feel really valued as employee They have good trainings benefits and development programs,The transparency of salary range per level Seems the gap is quite big,Senior Associate,Current Employee,Jakarta,Mar 21 2023
