Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
50,Excellent Company,,Great culture and great people with a robust Product line,Nothing to complain about as Infineon is super stable and will continue to grow,Sales,Current Employee,Milpitas CA,Aug 15 2022
50,Great company,,One of the best silicon suppliers in the world,Techinal Jobs could be quite demanding,Field Applications Engineer,Current Employee,Livonia MI,Mar 23 2023
50,Great Culture,,Company cares about its employees Seeks feedback to evaluate management and employee concerns Hybrid work schedule Work life balance is up to you No pressure to put in extra hours Jobs are very secure If needed company will lower bonuses before laying people off What ever bonuses they say you will get they typically exceed what they promise Conservative company that likes to perform better than what they commit and not just in bonuses Fun company to work at,Compensation even with kickers is fair but not outstanding,Field Applications Engineer,Current Employee,nan,Mar 13 2023
40,Good Place to work,,1 Decent Pay 2 Good work life balance,1 Doesnt pay as much as FAANG,Anonymous Employee,Current Employee,nan,Mar 28 2023
30,Ehhh not bad,,WorkLife balance is a plus 34 day alternating workweeks,Repetitive work training is dependent on employees with no incentive to invest time and additional effort into incoming employees,Wafer Fab Operator,Current Employee,Austin TX,Mar 24 2023
50,Would go back in a second,,SLT Managers Employees Benefits Opportunity for advancement I loved my time there and would still be there if I didn’t move out of state It can be challenging at times but the systems and leadership in place are rock solid and almost always have a vision to overcome the challenges,Have to use PTO when the company shuts down,Engineering Technician,Former Employee,Leominster MA,Mar 13 2023
50,Great learning,,Good learning opportunities Great environment,Nothing in particular about this role,Automotive Engineer,Former Employee,nan,Mar 13 2023
50,Great Company,,Care about there employees good pay structure quarterly and year end bonuses good benefits,None that I can think of,Maintenance Technician,Former Employee,nan,Mar 8 2023
40,Great culture,,Loved the inclusive culture and learning opportunities Huge investments made in employee and management development,So many internal systems Hard to manage and understand where to go for what This needs to be more streamlined,Human Resources Business Partner HRBP,Former Employee,San Jose CA,Feb 22 2023
40,Very good company to learn,,As a beginner to the industry I have had a lot to learn here Really a good starting point for your career,Has a fair share of bureaucracy but that is to be expected anywhere Pays less but you get paid in knowledge,Sr Cad engineer,Former Employee,nan,Feb 15 2023
50,Good company to work,,Very nice company to work there are no complaints,There are no cons to insert,Business Manager,Current Employee,Brazil IN,Jan 26 2023
40,Good company,,Great company to work for,Not too much to complain about,Internal Sales Specialist,Current Employee,Livonia MI,Feb 25 2023
40,Great place to work at Infineon,,great place to work at Infineon,System Reporting Complex Big Tech Companies,Marketing Manager,Former Employee,Boston MA,Feb 21 2023
50,First class company,,Excellent management Company culture Great benefits,No issues whatsoever that I have encountered in 9 years of work,Lead Principal Engineer,Current Employee,nan,Jan 9 2023
50,Great Technology Company that actually cares about its employees,,Excellent technology portfolio Very open and inclusive management style,Can take time to make decisions though the company is actively working on this,Anonymous Employee,Current Employee,nan,Jan 6 2023
10,Unfortunately miserable experience,,Benefits and 401k match are okay,Below market salaries Forced usage of accrued PTO during yearly plant shutdown Serious lack of process documentation and support for newcomers They really don’t care about your success just that you’re a warm body to fill a seat,Finance,Former Employee,nan,Nov 14 2022
50,senior Buyer,,the Company is really invests in its people,wearing many hats can be challenging,Senior Buyer,Current Employee,nan,Jan 12 2023
50,Great Semiconductor company,,Great culture Work life balance,Less competitive pay as compared to other,Applications Engineer,Former Employee,Warwick RI,Jan 4 2023
50,Awesome Company,,Great benefits location and culture,Manufacturing product design is complicated,Manufacturing Supervisor,Current Employee,nan,Jan 6 2023
50,A People oriented company that lives it,,Great colleagues Everybody wants to help colleagues borderless collaboration Interesting markets and cool products Strong purpose caring for the environment with decarbonization and digitalization,Faster decision making simpler and less cumbersome processes,President,Current Employee,nan,Nov 25 2022
50,Good place to work,,Great work environment and team,Pay could be a little better,Facilities Lead Mechanic,Current Employee,nan,Dec 15 2022
20,NOT FOR ME,,Large company great benefits great workforce,Bad Boston sales manager no concern for employees,Global Account Manager,Former Employee,Midtown New York,Jan 24 2023
40,Infineon Branch Facility,,The company does care for their employees,Depends on management on the facility theres no organization and some employees point out what is needed for a more efficient way of workforce management,Associate,Former Employee,nan,Jan 9 2023
10,No Silicon Valley Freedom to Create,,Not much I can say See cons below,Layers of management approvals for projects Have meetings at all hours of the day Hard to make changes to the way the company works Too many top management based in Germany with slow responses,Senior Manager,Former Employee,San Jose CA,Jan 7 2023
50,So far so good,,There are good and experienced engineers and they are willing to help new employees to perform the task Infineon has a lot of good products in power semiconductor industry and great reputation Great company to develop career as a power electronics engineer,I have been here for about 3months So far no cons,Senior Engineer,Current Employee,El Segundo CA,Oct 29 2022
50,Goal focused,,Infineon is clear on goals but not at the expense of customers They provide a premium service to their customers without sacrificing quality,lack of growth opportunities but not in all positions They do encourage moving within the company,Marketing Specialist,Current Employee,Livonia MI,Nov 2 2022
40,Work life balance,,Open to providing more responsibility,Heavy work load and late night meetings,Lead Principal Engineer,Current Employee,San Jose CA,Jan 18 2023
50,Great Company,,Great company with innovative teams,Not many perhaps time zones,Software Engineer,Former Employee,nan,Nov 21 2022
20,Almost an OK Place to Work,,So many great talented hardworking loyal longtime employees Good pay and good benefits Exciting industry,Unengaged local leadership Poor communication Terrible worklife balance Highstress Lack of managementcompany support Aging equipment Limited interest in investing in future of the company Bizarre decisions that demote and force some employees into undesirable career tracks without consultation Low morale Your experience may vary,Section Manager,Former Employee,Austin TX,Oct 13 2022
40,Great company to learn,,Lean teams lots to learn,Not always get the support you need,Tech Dev Engineer,Current Employee,San Jose CA,Dec 28 2022
50,excellent company to work opportunities for growth,,good pay its close to home local,unfortunately the plant is closing,Sr technician,Current Employee,nan,Oct 31 2022
50,Good lots to learn in a self paced environment,,No deadlines for a particular task good communication cross team works,Less challenging work no pressure,Hardware Engineer,Former Employee,nan,Oct 24 2022
50,Great company to work for,,Great place for starting your career and getting your foot into the industry The company culture is awesome with supportive colleagues who are always willing to help you grow The company offers competitive benefits,Minimal room for career advancement,Production Planner,Former Employee,San Jose CA,Sep 26 2022
50,Challenging but rewarding work,,Company treats employees well Excellent staff,High and challenging workload dynamic market environment,Director of Marketing,Current Employee,nan,Oct 25 2022
40,Great place to work,,Great people work here Benefits are good,Pay could be better Not much over time,Process Technician,Current Employee,nan,Dec 15 2022
50,Nice,,Given good hours with availability to work over time,The pay is not worth the amount of stuff you do,Wafer Specialist,Current Employee,Austin TX,Oct 15 2022
50,Great company to work for,,Great company culture and compensation,My only issue was some people werent managed out that should have been,Production Planner,Former Employee,San Jose CA,Oct 3 2022
40,4 stars,,They have good benefits and time schedules,Amount of Bonuses and salary increase are not satisfying,Semiconductor Operator,Former Employee,nan,Dec 2 2022
50,Perfect culture,,Culture is incredible great management in sales and a team oriented group,German management can slow down some of the processes,Senior Key Account Manager,Current Employee,Charlotte NC,Sep 27 2022
40,good company,,Great company to work for and great people Leader in the Power Semi space and customers recognize the premium products and services,an excessive amount of reporting and meanless busy work,Sales Manager,Current Employee,nan,Nov 14 2022
40,HiRel division,,Great team in the factory Small company within a much larger parent company The Space market is really fun,Top leadership is lacking vision Some of the larger parent flow downs are highly restrictive on this smaller group,Product Manager,Former Employee,Leominster MA,Oct 22 2022
40,good company to work for,,good hours plenty of free time during the week night shift was the best experience at a job I had,there was a lot of favoritism,Production Operator,Former Employee,nan,Nov 3 2022
40,Nice Place to work,,Nice work environment and management,Projects are big and need teamwork,Principal Design Engineer,Current Employee,nan,Nov 16 2022
30,Infineon technology,,Microcontroller power diverse portfolio of products,Management too splintered Left hand doesn’t know what right hand is doing,Director,Former Employee,nan,Nov 5 2022
50,Terrific Work Environment,,I am just beginning my journey here at Infineon however I am already feeling like part of the team There are so many resources here and communication is the best I have ever encountered I am proud to be part of this company and truly excited to be working for this professional and smart company Its been a dream doing the onboarding First Class They not only keep business ethics at the forefront but they are thinking of the future with environmental concerns and balancing it with just plain nononsense good business I look forward to the future here,None You should apply and see for your self Highly recommended,Tradeshow and Event Specialist,Current Employee,San Jose CA,Apr 21 2022
50,Excellent Company,,Great culture and great people with a robust Product line,Nothing to complain about as Infineon is super stable and will continue to grow,Sales,Current Employee,Milpitas CA,Aug 15 2022
50,Great working environment for a company that cares for the well being of its employees,,My team and I have excellent communication and enjoy the work we get done The content I have to work with is very interesting new technology space missions etc and I feel I am constantly learning new exciting things that help me grow in my career of digital marketing Additionally the company is very diverse and it is really nice working around people from all different types of backgrounds,I cant really think of any I work remotely from the comfort of my own home so I dont have much negative feedback,Digital Marketing Specialist,Current Employee,El Segundo CA,Feb 11 2022
10,Run Away As Fast As You Can,,Nothing much comes to mind the 401k matching is pretty decent,Everything else from useless management to an HR department that spends all its time protecting the ridiculous decisions and incredibly poor judgement of management If you have an ounce of ambition in your run away from this company as fast as you can You wont get anywhere All decisions have to come from Germany all inventions have to come from Germany The approach is that if youre not GermanAustrian you have nothing constructive to contribute The fact that the Americas CEO is a marketing guy who probably has never set foot in a fab tells you everything you need to know about how the parent company regards the US IT management is weak borderline criminally negligent They are stuck in a 20th century world view Youre not every going to be allowed to work remotely here Incompetent knownothing managers who were promoted based on who they knew rather than what they knew have to micromanage you to within an inch of your life to try to justify their existence They cant do that if youre remote,Engineer,Former Employee,Los Angeles CA,Apr 4 2022
50,I loved working here,,I loved working here I was able to learn so much,I cant say there were any cons,Accounts Receivable Specialist,Former Employee,nan,Aug 14 2022
40,Good work life balance,,Not too much workload wellknown company,Not everyone gets stocks compensation is below average,Staff Analog Design Engineer,Current Employee,nan,Oct 24 2022
40,Good company,,Good company good people room for growth,Pay isn’t the strongest out there,Manfucaturing Engineer,Former Employee,Temecula CA,Oct 12 2022
40,Gives good opportunity to learn,,Company gives good opportunities to learn and is ready to put responsibilities on you,Pay comparatively less as compared to market price and there will be bit of a work pressure,Senior Test Engineer,Former Employee,Lynnwood WA,Sep 15 2022
50,Perfect culture,,Culture is incredible great management in sales and a team oriented group,German management can slow down some of the processes,Senior Key Account Manager,Current Employee,Charlotte NC,Sep 27 2022
40,Hectic schedule Amazing growth,,The schedulework life balance is really hectic But if we show our talent the path for growth is really well defined,No stock options for first 2 levels of employment Bad work schedules,Anonymous Employee,Former Employee,nan,Sep 12 2022
30,Good place to work at,,they have great business processes,things move slowly as compared to Cypress,Staff Specialist Operations,Former Employee,San Jose CA,Sep 27 2022
50,Terrific Work Environment,,I am just beginning my journey here at Infineon however I am already feeling like part of the team There are so many resources here and communication is the best I have ever encountered I am proud to be part of this company and truly excited to be working for this professional and smart company Its been a dream doing the onboarding First Class They not only keep business ethics at the forefront but they are thinking of the future with environmental concerns and balancing it with just plain nononsense good business I look forward to the future here,None You should apply and see for your self Highly recommended,Tradeshow and Event Specialist,Current Employee,San Jose CA,Apr 21 2022
50,Excellent Company,,Great culture and great people with a robust Product line,Nothing to complain about as Infineon is super stable and will continue to grow,Sales,Current Employee,Milpitas CA,Aug 15 2022
50,Great working environment for a company that cares for the well being of its employees,,My team and I have excellent communication and enjoy the work we get done The content I have to work with is very interesting new technology space missions etc and I feel I am constantly learning new exciting things that help me grow in my career of digital marketing Additionally the company is very diverse and it is really nice working around people from all different types of backgrounds,I cant really think of any I work remotely from the comfort of my own home so I dont have much negative feedback,Digital Marketing Specialist,Current Employee,El Segundo CA,Feb 11 2022
40,Good company good benefits,,Enjoyed my time here Emphasis on job accomplishment and keeping current Helpful coworkers,Metrics driven culture can lead to missing the big picture when the metrics are flawed,Global Planning Analyst,Former Employee,nan,Aug 10 2022
30,Pros Cons of the Temecula site,,NAME,Lack of oversight from managers Lack of proper training so tools were not used to their full potential Too much work with too little amount of people Some unethical behavior observed,Anonymous Employee,Former Employee,Temecula CA,May 21 2022
50,Great place to work Good Work Life Balance Excellent Management,,Ive been here four years now and am 30 years in industry Its a pleasant surprise that management here is very competent and actually plans and thinks things through about how to get things done IMHO this and their ability to attract and retain talent is the key to our rapid growth Schedules are still reasonable benefits are very good 401k match is very good If you are the kind of person who wants to make great products that work well then this is the place for you,Some of the hangups every global company has sometimes it takes a while to get things done just because the company is so big,Staff Electrical Engineer,Current Employee,Andover MA,Feb 12 2022
40,Gives good opportunity to learn,,Company gives good opportunities to learn and is ready to put responsibilities on you,Pay comparatively less as compared to market price and there will be bit of a work pressure,Senior Test Engineer,Former Employee,Lynnwood WA,Sep 15 2022
40,Hectic schedule Amazing growth,,The schedulework life balance is really hectic But if we show our talent the path for growth is really well defined,No stock options for first 2 levels of employment Bad work schedules,Anonymous Employee,Former Employee,nan,Sep 12 2022
30,Good place to work at,,they have great business processes,things move slowly as compared to Cypress,Staff Specialist Operations,Former Employee,San Jose CA,Sep 27 2022
50,Great people demanding technical work,,The people are awesome As long as the engineers are good amiable people the work is rewarding,Very challenging technical work Requires heavy attention to detail and accuracy,FA Specialist,Former Employee,Temecula CA,May 17 2022
50,very fair and employee oriented company,,company has a true culture of supporting its employee workload is balanced,need to move quicker and recruit managers with high technical expertise,Anonymous Employee,Current Employee,nan,Jun 4 2022
50,Fantastic place to work,,Infineon is a great place to work people are very open and collaborative,Problems that most large company,Sales Operations Manager,Current Employee,Raleigh NC,Jun 10 2022
40,Good company good benefits,,Enjoyed my time here Emphasis on job accomplishment and keeping current Helpful coworkers,Metrics driven culture can lead to missing the big picture when the metrics are flawed,Global Planning Analyst,Former Employee,nan,Aug 10 2022
50,Awesome company,,Great benefit and professional training,Low compensation and too much report,Anonymous Employee,Current Employee,nan,Jun 13 2022
30,Pros Cons of the Temecula site,,NAME,Lack of oversight from managers Lack of proper training so tools were not used to their full potential Too much work with too little amount of people Some unethical behavior observed,Anonymous Employee,Former Employee,Temecula CA,May 21 2022
40,Great place,,benefits hours time off bonuses the team I work with,honestly I cannot think of any at this time,Anonymous Employee,Current Employee,nan,Aug 5 2022
40,Very successful company,,Lot of highly innovative technical products Very good benefits in US healthcare 401K … Very well structured with robust processes Lot of opportunities for growth through training and short or long term assignments worldwide Lot of autonomy and creativity encouraged welcomed,Work like crazy even weekends and vacations Expected to be always available and react promptly to all requests Little recognition of efforts and success from management Tendency to micromanaging Huge company with 50k employees so takes time to develop a network and get promoted,Senior Quality Manager,Current Employee,El Segundo CA,Apr 30 2022
40,growing company with opportunity,,opportunity with trainings and support,salary is not competitive enough,Anonymous Employee,Former Employee,nan,Aug 12 2022
20,meh,,Management for the most part genuinely cares about the people and employment there is more stable than at most American companies The 401k matching program is very good If you like tradition and wind up with a good manager this company might be a good fit for you,Change is slow and decision making happens in Germany If you are a gogetter this place will drive you nuts Salaries are low and there is no stock option program They grow by acquiring others companies and the mergers can be rough,Anonymous Employee,Former Employee,nan,Apr 27 2022
50,Best Semiconductor company to work for,,Infineon is as an organization really cares about its people their priorities and families I have never worked for a company that promotes great place to work theme this much Revenueprofitability growth bla bla bla comes later Hands down best place to grow if you are technical or business dev,There arent any which is why leaving Infineon was one of the hardest decision I had to make,Marketing Manager,Current Employee,Milpitas CA,Jan 25 2022
40,Good company culture,,Supportive team and very friendly environment,Sometimes new employees are underused,Anonymous Employee,Current Employee,nan,Aug 9 2022
40,Good company to work,,No pressure Easy milestones Good growth,Old technology compared to the competitors,Staff Engineer,Current Employee,nan,Aug 1 2022
50,Great Overall Company Technology Rich and People Friendly,,Great technology portfolio Many intelligent and collaborative people Sincere concern for the working environment and career development,can sometimes be slow to react,Sr Director Marketing,Current Employee,nan,Apr 20 2022
30,nan,,Good spectacular engaging diverse dynamic,Detailed long hours people culture time,Account Manager,Current Employee,nan,Aug 5 2022
40,Great people growth can be challenging,,High quality people Many are very smart Respect and integrity are the norms You can have work life balance,Can be a lack of growth opportunities and compensation can be low,Technical Marketing,Current Employee,nan,Jun 30 2022
50,Great Management,,Management cares about people Strong Stable,not a fast moving company head quarter out side of USA,Director Product Engineering,Current Employee,nan,Apr 30 2022
30,Analog design,,Smart people Helpful and friendly Good Work life balance EndEnd knowledge Learn about system perspective Good Collaboration with other groups,Bad Pay No RSUs No ESPP Benefits are really bad,Staff Design Engineer,Current Employee,Lynnwood WA,May 26 2022
50,Great company to work for,,Great spirit and good company to work for,Too many management levels complicated matrix,Procurement,Current Employee,Los Angeles CA,Apr 18 2022
50,very nice company and culture to work in,,good worklife balance A lot of opportunity to growth Good projects and good teams Awesome smart people around,not much to say maybe add office perks to stand out as a tech company rest and recharge area play area like in San Jose,Applications Engineer,Current Employee,nan,Feb 28 2022
50,Infineon is a good company,,Company benefits and culture are good,None Infineon is a good company,Project Manager,Current Employee,nan,Apr 25 2022
40,Short Review Senior Test Engineer,,Good work life balance Interesting work subjects for those in line with electrical engineering data science and computer programming as pertains to semiconductor technology,Lack of personal one to one trainings mostly self training program policy,Senior Test Engineer,Current Employee,San Jose CA,Jun 12 2022
30,Application Engineer,,company has good product lines,too much political and management issue,Engineering,Current Employee,nan,Jul 14 2022
40,Great company,,The values employees great benefits,can improve on giving regions autonomy,Staff Specialist,Current Employee,nan,Jul 14 2022
50,Great Place to work,,good company culture good location growth incentives,I cant think of anything to put as con,Applications Engineer,Current Employee,Warwick RI,Apr 4 2022
50,No Bad Things to Say,,Company places an emphasis on you being human first and an employee second,None really the company and my team are great,Staff Engineer Manufacturing,Current Employee,Temecula CA,Mar 16 2022
20,Pretty Meh,,Big company with decent growth Diversified products,Compensation is on the low side Senior leadership feels out of touch WorkLife balance challenging due to global team collaboration,Test Engineer,Current Employee,Austin TX,Apr 19 2022
50,Great Management,,Management cares about people Strong Stable,not a fast moving company head quarter out side of USA,Director Product Engineering,Current Employee,nan,Apr 30 2022
40,Great place to work,,Consistent work schedule and additional overtime pay,Monotonous management can ease on the micromanaging,Assembly Operator,Former Employee,Temecula CA,Apr 27 2022
50,Great company to work for,,Great spirit and good company to work for,Too many management levels complicated matrix,Procurement,Current Employee,Los Angeles CA,Apr 18 2022
50,very nice company and culture to work in,,good worklife balance A lot of opportunity to growth Good projects and good teams Awesome smart people around,not much to say maybe add office perks to stand out as a tech company rest and recharge area play area like in San Jose,Applications Engineer,Current Employee,nan,Feb 28 2022
50,Infineon is a good company,,Company benefits and culture are good,None Infineon is a good company,Project Manager,Current Employee,nan,Apr 25 2022
10,Poor management from top to bottom,,Old people ready to retire Everyone is dishonest and misleading,Irresponsible old people who don’t care Horrible work culture hiding behind or corporate Germany who are embarrassed when onsite,Project Manager,Current Employee,Austin TX,Apr 24 2022
50,Great Place to work,,good company culture good location growth incentives,I cant think of anything to put as con,Applications Engineer,Current Employee,Warwick RI,Apr 4 2022
40,good place to work infineon,,work life balanced unplug after work time,update slow low ball salary,Design Engineer,Former Employee,Los Angeles CA,Apr 20 2022
40,Good technology company,,Steady top level management with long term view,Some legacy products weighing down new development,Systems Architect,Current Employee,nan,Apr 11 2022
50,Good company,,Good benefits package and good management,Salary pay with no overtime pay,Software Engineer,Current Employee,El Segundo CA,Feb 14 2022
