Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
50,Good place for work life balance,,Great place to work with worklife balance,not bad company to have less pressure,Engineer,Current Employee,nan,Mar 29 2023
30,Great place to start a career Not good for long term,,Good place to start a career There are many diverse and challenging problems to work on Great engineers to work with and learn from,Initial training is relatively poor approach is very sinkorswim They have worked hard to improve this over the years and it has gotten better but they need to focus more in this area Very little upward mobility unless you are part of the club Management is outoftouch and too focused on satisfying their bosses at the expense of their directs DRAM is a commodity that goes through cycles While upper management is obviously aware of this they do little to protect the business from downcycles and overspend during upcycles Layoffs often occur every 35 years as a result Management pays a lot of lip service to innovation However they are only interested in innovation that is very specific to the product Peripheral innovation is often ignored or disregarded The culture focuses on a reactionary instead of proactive approach to engineering Many future problems could be avoided by taking a proactive QC minded approach but management is often not supportive Forced poor performance scoring to meet a quota A lot of good engineers have lost jobs as a result of playing number games Vaccine mandate,Senior Product Engineer,Former Employee,Boise ID,Mar 9 2023
50,Great place to work and grow a career,,Great people to work with wonderful team environment good benefits pay was good for location averages There were many opportunities to learn new skills,Like most larger companies your experiences may vary depending upon the supervisors management style I have had some leads that very good at promoting technical and personal growth and some that were more focused on their own careers Thankfully I have had many more good and bad experiences,Software Developer,Former Employee,nan,Mar 21 2023
30,Culture Is Transitioning,,Great technology but most importantly MU is getting much better at executing on their product roadmap ramping leadingedge technology at the right time when strategic customers need it That wasnt the case in the late 2000searly 2010s,The new CEO Sanjay can be credited for improving execution see above but at the expense of a peoplefriendly culture which made MU unique and appealing vs most Silicon Valley companies Long term employees are not valued the same The culture has become much more rigid and corporate,Sales Manager,Former Employee,nan,Mar 28 2023
10,Dont Join,,Good Immediate Colleagues your experience might differ Hybrid work atleast for now,All words when it really comes to implementation the Management fails hard Find excuses to skip bonuses or promotions by Csuite Severence package was bad compared to peers Management decision led to merging our team with other teamwhich was for most part homogeneous seemed like the sr dir hired his own people led to the distruction of our diverseopen culture teamalmost all of the previous team members noticed this and most lefttransfered to other teams in hindsight that was a good decision,Media Systems Engineer,Former Employee,nan,Mar 24 2023
40,Working at Micron for 6 months,,NAME,Trainings are extensive Since its a public company massive layoffs are expected in an economic downturn There are not many fully remote jobs options Sick days need to be covered with Paid time off It could experience communication issues with,Manufacturing Engineer I,Current Employee,Boise ID,Mar 13 2023
20,Poor worklife balance toxic company culture,,Boise is a great place to work and the semiconductor industry is very interesting,Micron has a toxic company culture with bad worklife balance The company is very internationally distributed now so expect to work in both the US and Asia times zones simultaneously This typically means 60 hours a week minimum Additionally the company culture is very cutthroat and employees will frequently undercut and sabotage each other in order to protect their jobs As a result there is very little team cohesion and camaraderie,Data Scientist,Former Employee,Boise ID,Mar 18 2023
40,Great people but poor worklife balance,,Nice coworkers Good benefits and compensation,Because of the flex schedule and remoting options you are expected to be available to coordinate with people overseas You dont have much say in the meeting times which change constantly Expect to have to get up early and then attend late night meetings too Dont expect the work day to be one solid chunk of time and dont expect to be able to maintain a routine outside of work Id recommend printing out your weekly schedule and hanging it on the outside of your cubicle This is to prevent nonengineering people from judging you for coming in late somedays and leaving early on others Work hours will only be reasonable if you use the flex schedule,Test Solution Engineer,Former Employee,Boise ID,Mar 1 2023
40,Technology oriented mindset not so employee freindly,,1 Company is putting lots of emphasis on Technological advancement and securing industry leading position in terms of technology for both DRAM and NAND That helps engineers to work in new technology and find innovative solutions 2 Good opportunity to grow your career promotions are generally not too much delayed 3 Good alignment between remote work and in person work never force to stay at office all time if jobs are done timely 4 Good health insurance benefits for both employee and their dependents,1 Very reluctant to increase compensation package compared to competitors specially for Boise area where cost of living and housing increased dramatically over last few years 2 Doesnt put enough resources and manpower for challenging projects resulting in long office hourslate night works for employees 3 Work life balance is very poor due to less than required manpower and collaboration with sites at different parts of world And company doesnt seem to care much about the well being of employees 4 Recently lost lots of talented people to competitors and Company is struggling to hire quality engineers due to low salary offers current hiring freeze overall increasing living cost in Boise metro area This eventually lowers manpower resource degrading work life balance even more and put the company in more challenging position,Engineer,Current Employee,Boise ID,Dec 4 2022
40,good company,,good culture collaboration location decent benefits,experience depends on specific group,Process Engineer,Former Employee,Boise ID,Mar 27 2023
