Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
50,Freedom and Responsibility,,Diversity Inclusion Representation Flow Good,Sometimes you get to hung up on one thing,SWE Intern,Current Employee,Los Angeles CA,Mar 27 2023
30,How much does a functioning human cost,,Paycheck So many good people Such a great service Hope,I have been working for a year at Netflix Ive seen what was supposed to be very mature people sharing absolutely almost no contact that anyone would qualify as human Sure that sounds hyperbolic let me develop and maybe cherrypick a little Have you heard about our culture The one about giving candid feedback I have seen people complaining of behavior they literally demonstrated themselves in the following days But I have also seen these feedbacks resulting in tears both in the eyes of HR persons or fellow engineers How human does that sound Have you heard about our culture The one about not tolerating brilliant jerks I have nonetheless seen angriness and frustration expressed in private public and meeting People rejecting new ideas by default like any ideas they wouldnt have worked themselves on for days wouldnt count Even if those ideas are from the best examples in the industry or academics How many publicationscontributions have you seen from Netflix to computer science in general How does it compare against any other company of that size in the Bay Area Can you imagine either the real insecurity xor the lack of innovation that could lead to this situation Except for a few managers directors or VPs feeling free enough to behave at work in the same way than how they live almost every engineer I have been interacting with have shared as little as possible about their private life The rare exceptions of interpersonal exchange ends up around some sort of competitive behavior Who is the most geeky sportive owns the fastest carbiggest housevisited the strangest place Ive heard workaholic people complaining about ambitious peers who were overmanaging overworking to get even more work to do after I feel like were past workaholism at this point Maybe there are a lot of shy people Maybe there is a culture of fear not only of being fired but also a fear of interacting with people going to be fired Maybe its all in my head maybe people giving 5 stars to their experience here dont care the human aspect of a company And maybe theyre right What about your crush your fears your desires for the future your appetite for life Ive been blessed to work in enough large companies to know that the behavior that Im seeing in Netflix is not a healthy one Ive also been lucky enough to work in other industries more socializing than tech and I can tell that Netflix has a lot to do on that side and offsites or team meeting wont solve that problem I am afraid about the tragic but inevitable consequences of the ways people operate in this company I guess that the day the worst will happen it will be addressed in an impersonal memo by Reed followedup by 1 or 2 reminders during offsites Possibly commented by HR in a QA document And move on This company seems as reactive in its management of people as it is proactive in its business operations I still work at Netflix though not only for the paycheck but because I hope I hope it will change The needed change cant happen from a candid feedback a QA or only from inside Change has to come from everyone including people who take time to read comments like this one Netflix has so many good people and offers such a great service As a curious Netflix employee reading this review think about your past isnt there a big human thing that you would love to feel again in your current company that youve felt in the past As a candidate think about what would be a good question to ask to that HR partner once your package is almost here to be offered to you think about that comment you make at the end of an interview when youre being asked by an engineer Do you have any question for me What Netflix needs is an inception something that anyone and everyone would think about after leaving the call or the room they were sharing with you Ask yourself and then the others the question you should ask if you think you want to spend a good amount of your life and energy in the place youre applying for Will I learn and contribute to the knowledge of others Even outside the company Will I see emotional responses from my peers Will that be for other reasons than being fired or bluntly criticized Will I find a friendly environment that will nurture my appetite for life What is the amount of emotional interaction celebrating sharing playing to expect from a company whose service is the best to entertain Do androids dream of electric sheep,Anonymous Employee,Current Employee,nan,Sep 20 2018
50,high performing environment fantastic benefits trust and results earn a lot of freedom,,great benefits best salary around beautiful offices and you will work amongst some of the smartest folks you have ever met plus you are talking about tv and movies all day its a FUN job,the company has grown rapidly over the last few years and during covid the previous way of onboarding and building trust was much harder to achieve I was at Netflix new many growth phases and this one is definitely the hardest there are a ton of talent people in the marketing department that have been there a long time eg more than 4 years but not a lot of upward mobility so it feels like folks are getting restless It has also become a much more political environment where it feels like leadership is most focused on decision making based on perception vs what is best for the work and the teams If you are a used to a political environment this may not bother you,Marketing Director,Former Employee,Los Angeles CA,Jan 30 2023
30,Netflix is not for everybody,,The best part about Netflix is that they try to pay 20 more than everybody else so the compensation is good They are not shy about spending money so travel is business class youll get a new MacBook Pro every year etc The people there tend to be very nice the catered lunch is delicious and so forth While there is still a lot of action in Los Gatos building the technology although arguably it is becoming mature as streaming is a commodity the real drama is in Los Angeles relating to content,Netflix has very strange politics because peoples jobs are at the whim of their manager In other words if a manager decides that a particular report is no longer a star he or she will get a package So given that employees are not stupid there is a lot of kissing up resulting in a lot of comedy Netflix believes in 360 feedback but everybody I know only does that to their peers and they become very political with their management chain,Senior Software Engineer,Current Employee,Los Gatos CA,May 22 2019
40,Still a great company but losing its magic,,Netflix is unlike any other company Ive worked at Theres a level of trust that you dont see at other companies and the people you work with all tend to be seniorlevel and very capable Because of that there hasnt been a hierarchy among ICs everyone leads projects and functions as a trusting peer with everyone else Its also always been a pretty lean company with process where its needed but not the influence of politics and bureaucracy But both of those are slowly changing and I fear it will soon become like every other tech company Another pro is that the compensation is 100 salary no bonuses or forced RSUs and thankfully thats not changing,Inconsistency in management across the company the addition of levels among ICs could hinder collaboration as not everyone will be equals and a hierarchy will be created the possible introduction of a locationbased salary adjustment is unjustified output stays the same the company saves money with so many working remotely Internal communication has been horrible lately which is sad and frustrating for a company that prides itself on being open and transparent,Product Designer,Current Employee,nan,Nov 20 2022
50,Love it here,,Great teammates and collaboration people seek out problems and solutions proactively Pleasant people to work with I dont dislike anyone I work with anyone that has been a problem in the past has not lasted long Interesting ongoing innovation,NAME,Senior Software Engineer,Current Employee,nan,Mar 14 2023
30,Pay is great too bad for layoffs,,Pay is great unfortunately layoffs came for most of us Depending on the team and manager the work could be really fun,General instability of the times Cant really fault Netflix but maybe if they stopped putting in for bigbudget films that are formulaic and bad that could have saved some of our jobs There are some great shows on the platform but also a ton of crap Who greenlights all these projects It reminds me of that one Oprah meme except someone on top is saying yes to every production deal that comes through its doors,Editorial,Former Employee,nan,Jan 30 2023
30,Top level execs are from traditional studios and ruined the culture,,Good ppl Hospitality for employees,Constant wave of change always whiplash because environment is unstable,Executive,Former Employee,Los Angeles CA,Mar 14 2023
50,Excellent Place to Work,,Able to work autonomously HighCaliber teammates,Few centralized recruiting processes and structures can make our toolsoperational excellence somewhat challenging,Corporate Recruiter,Current Employee,Los Gatos CA,Mar 12 2023
20,highly political,,great salary and benefits nice office creative and proactive team members,highly political success is dependent on relationship with manager how much they like your work vs how good your work is constant vying for credit and spotlight despite the freedom to do creative work there are 10 other teams that will tell you that you cant do something as it falls within their scope Time wasted debating people who are trying to stop you despite personal ability to override others opinions,Marketing Director,Former Employee,nan,Jan 17 2023
