Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
30,Used to be great eroding culture,I joined Netflix 3 years ago right before COVID I enjoyed working thereculture was great the best colleagues and worked on really hard challenging but fulfilling projects Sadly with the rising competition and immense growth the culture of the company has shifted extensively HR does little to address issues with regards to compensation and performance Marketing org is a mess with 3 CMO changes during my tenure,nan,nan,Asset Operations,Former Employee,Singapore,March 22 2023
50,Exciting,Fastpaced environment with stunning colleagues Lots of fun daily challenges The new management changes over the last couple of years has lost touch with the daytoday,nan,nan,Launch Manager,Former Employee,Hollywood CA,March 23 2023
50,decent pay and opportunity for growth,I worked in customer service in SLC Utah for Netflix CS for several years and actually liked the job The people and culture are great and the pay is competitive They also like to develop and promote from within which is a big plus,nan,nan,Customer Service Representative,Former Employee,Salt Lake City UT,March 22 2023
40,Yes I very much liked it,Yes great I like work a lot got to watch lots of movies fun movie scary movie funny movies romance movies a lot of movies from the comfort of my home umm yeah so basically yeah,nan,nan,Watch Engineer,Former Employee,Los Angeles CA,March 18 2023
10,Disappointing as I got let go for no clear and understandable reason,What is the best part of working at the company The free Netflix merch All of your expenses are automatically paid for WO needing approval What is the most stressful part about working at the company Knowing where you stand with your managers and Execs They want you to instill their culture memo into your brain but then they dont back up many of their topics What is the work environment and culture like at the company I always worked from home so I never got a gauge on the work environment Truth be told the culture depends on the particular team youre working on What is a typical day like for you at the company It was during Covid so things were extremely slow for my department,nan,nan,Administrative Assistant,Former Employee,Los Angeles CA,March 17 2023
50,Great place to work,Excellent company culture Beautiful office space and creative ppl It was a refreshing place to spend time You also meet wonderful people and other creatives from various fields,nan,nan,Comedy Department,Former Employee,Los Angeles CA,March 9 2023
50,Fun,Good place Good people Opportunity to move up in the work place It may get tiring being on your feet all day but it’s something to get use to Overall good gig,nan,nan,CCO,Former Employee,Atlanta GA,February 25 2023
40,Tough place to grow,Great colleagues management could use more training as managers rather than ICs Lots of change without effective leadership Feels like its falling apart,nan,nan,Data Analyst,Former Employee,Los Gatos CA,February 12 2023
40,Productive,Productive environment and well compensated for the time put in Even if Netflix does not care about the content they make they treat their employees fairly and compensate them accurately,nan,nan,Production Worker,Current Employee,Atlanta GA,February 10 2023
40,Good place,Delightful place to work very friendly and would work here again if I had the chance Loved the team work environment and the transparency from the company,nan,nan,Marketing Director,Former Employee,Calabasas CA,February 4 2023
40,its a productive and engaging work place with a billiard pool,A typical day at work is that we provide customer support when it comes to billing concerns troubleshooting and other concerns relating to our account which is Netflix I learned how to become a team player since there was a time where almost all the team managers resigned due to the poor operations management and for our team to keep in track of our team metrics I stepped up in posting our daily metrics through our company provided email for our team to reach and acceptable monthly metric,nan,nan,Customer and Tech Support,Former Employee,Quezon City PH,January 30 2023
40,Exciting environment,Great place to work Free netflix account good work culture Decent management company activities Pay on the lower end Call center environment full time and part time options,nan,nan,CSR Customer Service Representative,Former Employee,Farmington Hills MI,January 29 2023
50,Great,AMAZING times dreams come true beautiful well equipped environment I love it so much and youll meet people you grew up watching or see people that are currently on tv and movies amazing,nan,nan,Background Actor,Former Employee,Albuquerque NM,January 25 2023
40,innovative and insightful,I liked it there it was a fun opportunity to get to know some internal structures of a big company as a foreign student I felt respected at all times,nan,nan,Social Media Intern,Former Employee,New York NY,January 14 2023
