Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
50,Nice coworkers,,Very nice and patient coworkers,It is tiring to work for long hours,Cashier,Current Employee,White Sands NM,Aug 17 2022
50,Good,,The workmates at fairprice is very helpful,There is no downsides when working at fairprice,PT Temp Cashier,Former Employee,nan,Jul 11 2022
20,average experience with shady staff members,,location it was close to home,shift timing it was based on an 8hour work shift so morning 8am4pm afternoon 12pm8pm and evening 3pm11pm Plus we only had one day off per week which was insane for a parttime job and the contract was three months long but many left the job after a week Racial discrimination on the first day I met my colleagues who were Malay Our supervisor was a Chinese middleaged woman and she assigned them to the temperature screening station which was literally our job scope and separated me from the rest She spoke to me in mandarin and asked me if I was Chinese Im Indonesian Chinese and then said that I should do work that can benefit me and gain some skills along the way implying that the temp screening job was for nobrainers My new job was at the selfcheckout counter where she ensured me that I could work my way up to cashiering but it was not what I wanted Plus when they took me off of that station because I was underage and couldnt sell people alcohol cigs etc inconvenient the Chinese ladies at that station were denigrating me and mocked my situation Really fun working environment Anyways I hated that job and the environment Left after a month because I needed cash,Part Time Temperature Screener,Former Employee,Choa Chu Kang New Town,Feb 19 2023
50,Solid Working Environment Friendly Superiors,,Employers are friendly and approachable,Difficult to catch a break but due to short hours generally dont need them so often,Retail Packer,Former Employee,Bukit Timah,Mar 27 2023
30,used to work,,very ok to work there,nope the company is ok,Anonymous Employee,Former Employee,Bukit Merah Estate,Mar 24 2023
40,Nice company to work for,,Flexi working hours Flexi benefits,Need to work on weekends and odd hours too,Sr Manager IT,Current Employee,Singapore,Mar 20 2023
40,ntuc job review,,the supermarket is well organised work is straightforward,picky supervisor and rude colleagues,Restaurant Staff,Current Employee,nan,Mar 22 2023
30,Local enterprise,,One of the largest employers in Singapore,not much work life balance a lot of meetings siloed decision making,Deputy Director,Former Employee,Singapore,Mar 20 2023
40,Nil,,Friendly and good working environment,Not bad working environment at ntuc,Part Time Sales Associate,Current Employee,Singapore,Mar 19 2023
40,Engaging job,,Cashiering is very engaging and will not bore you out,Standing for long hours could be tiring for some people,Sales AssociateCashier,Former Employee,Singapore,Mar 14 2023
nan,nan,,nan,nan,nan,nan,nan,nan
