Unnamed: 0,Rating,Title,Pro,Con,Job Title,Status,Region,Date
0,50,Its a career not just another job,Make great money without a college degree Reimbursement for college classes Lots of promotional opportunities,HR isnt helpful at all always hard to get in touch with Not as proactive with things more of a reactive company,Layup Composite Fabricator,Current Employee,nan,May 4 2022
1,30,Not such a good place to work,They hire almost anyone who qualifies and applies,Unorganized inconsistent hours poor communication,Aviation Maintenance Technician,Former Employee,Pensacola FL,Feb 10 2023
2,40,Good start,Pay is pretty good better than expected,Advancement is not the best in the world,A amp P Mechanic,Former Employee,Pensacola FL,Feb 10 2023
3,20,Dont work here,Its weekly pay and can have benefit,Management has blatant favorites on 1st shift,Fabrication Bonder,Current Employee,Middle River MD,Feb 7 2023
4,20,Poor Pay,Good people and diverse working enviroment,Poor management and Pay No one cares about you,Aircraft Mechanic,Former Employee,Mobile AL,Jan 14 2023
5,50,Stability,long term employment in a growing market,corporate PMO structure is still being developed,Master Scheduler,Current Employee,Atlanta GA,Jan 5 2023
6,40,Upper Management is no good,Lots of overtime flexible schedule friendly environment,Upper management too involved too much micromanagement,Production Planner,Current Employee,nan,Dec 29 2022
7,40,Decent workplace with good management and hours,• Good hours with mandatory OT • Can take days off when needed • Flexible shifts • Good management,• Upper management from other skills aren’t the nicest • Expected to do work that you don’t know how to • Pay isn’t the best,Production Controller,Current Employee,San Antonio TX,Dec 3 2022
8,20,Expect 15 months,Benefits nice office nice CEO,Pay culture lack of transparency and trust management no opportunity to grow or get training they play favorites almost all executives are the same kind of person manual entry,Executive Assistant,Former Employee,nan,Sep 23 2022
9,40,A company to join just to gain experience highly recommended for fresh grads,Able to gain insights and major experience from ground zero highly recommended for fresh graduates Multiple collaboration with other departments Build internal networks Flexible working hours,Stagnant career path Poor Management the higher Management do not care and understand what the ground is doing Supervisors paints colorful stories to higher management Supervisors provides unclear directions and always rotiprata,Project and Service Engineer,Current Employee,nan,Aug 8 2022
10,40,Aprentice to Mechanic,Able to learn and grow Communicative Managment,Some company choices arent the best for the workers out on the work floor,Aircraft Structures Mechanic,Current Employee,nan,Aug 19 2022
11,40,Work life balance,Work life balance i was in noncorporate role,Slow pay increments and promotions,Anonymous Employee,Former Employee,nan,Jul 27 2022
12,10,Just another soulless job to get stuff done,Able to work from home sometimes its debatable Decent benefits no Cigna HQ building is decently sized,Low pay Treated as an afterthought by colleagues No real opportunity to advance career Expected to do work outside your realm of expertise even if it makes zero sense to do so theyll even lie to your face saying that everyone else does this,FPGA Engineer,Former Employee,Herndon VA,Jul 7 2022
13,40,Nice,Good entry job to enter the industry,Weird hours and shifts sometimes,Customer Service,Former Employee,nan,Jul 11 2022
14,20,Working Culture,Good Colleagues to work with,Bad Manager poor management system not much employee benefits lack of communication from the manager,Test Engineer,Former Employee,nan,Sep 9 2022
15,20,Good Pay Bad Environment,Works on interesting projects and has good benefits,High turnover rate due to bad work climate and culture,Lead Supplier Quality Engineer,Current Employee,nan,Aug 30 2022
16,30,Working Experiences,Really a place to acquire works and on job training,Got to live with some poor and work place bully with poor managing experience to manage people Poor leadership that use emotion to mange their own people,Project Manager,Former Employee,nan,May 6 2022
17,10,Wish this place was better,Cant think of any pros,Bosses dont care about you they do nothing but lie Seniority means nothing If your a hard worker they use that against you to not accept your transfer request if you would like to try another dept,Fabricatorbonder,Current Employee,nan,Jul 2 2022
18,30,Not bad place to work,Good people to work with Decent benefits,Pay low Little information from hr,Avionics Technician,Current Employee,nan,Jun 15 2022
19,30,Very political company with messy structure,Company was undergoing restructuring which will hopefully align incentives across the board more,Political with many Presidents and different incentives across the groups Legacy businesses are difficult to reign in Management also appears to be unwilling to pay for talent,Anonymous Employee,Former Employee,nan,Apr 29 2022
20,30,Salary,Work experience you will learn a lot,Low salary if no work available they will send you home,Apg Mechanic,Former Employee,nan,May 1 2022
21,30,Not good to their people,Good and competitive pay scale,Not good to their people,Anonymous Employee,Former Employee,nan,May 3 2022
