Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
50,good,,all good staff no problem,all good evry thing is fine,Operation Engineer,Former Employee,nan,Sep 10 2022
50,GOOD COMPANY,,Its a good working environment,work pressure is more here,Industrial Engineer,Former Employee,nan,Apr 11 2022
40,Great boss and colleagues,,great working culture and colleagues are nice helpful and friendly willing to guide and teach,nothing bad about the workplace or culture so far so good,Anonymous Employee,Former Employee,nan,Jul 27 2021
50,Great Management,,Support Good leader great place to grow together with the company,none you just need to stretch yourself to your max,Finance Executive,Former Employee,nan,Apr 21 2020
50,Nice company to work,,Everything is managed and wee organized,Frequent relocation at the plants located in india,Lead,Current Employee,New York NY,Apr 30 2020
50,good,,good environment good training bonus,somewhat bored tired and strictly,nan,Former Employee,nan,Feb 6 2015
40,Quite a good choice,,People are nice and friendly,Working environment is not so professional,Anonymous Employee,Current Employee,Ho Chi Minh City,Mar 23 2023
40,Focused business,,business is very focused in renewables,private sectors may have impression it is goverment linked,Manager,Current Employee,Singapore,Mar 22 2023
40,Not bad,,Gotta move around not deskbound,Messy system and manual work,Senior Engineer,Current Employee,Toa Payoh New Town,Mar 23 2023
40,How does it feel to work at Sembcorp,,1 Mutual respect 2 Low power distance 3 Informally formal culture 4 Stability 5 Strong Governance,1 Long working hours 2 Slow growth,AVP HR,Current Employee,nan,Mar 16 2023
nan,nan,,nan,nan,nan,nan,nan,nan
40,How does it feel to work at Sembcorp,,1 Mutual respect 2 Low power distance 3 Informally formal culture 4 Stability 5 Strong Governance,1 Long working hours 2 Slow growth,AVP HR,Current Employee,nan,Mar 16 2023
30,Decent company,,Nice colleague great working location,Cant think of any at this moment,nan,Former Employee,Singapore,Mar 8 2023
30,Flexible working arrangements could improve,,nice and understanding bosses people strive for excellence,no flexible working arrangements work from office 5 days a week,Analyst,Current Employee,Singapore,Feb 21 2023
40,Okay salary but poor worklife balance,,Salary is decent Bonus and benefits is good,No career prospect role dependent and no clear direction or guidance Poor work life balance,Assistant Manager,Current Employee,Singapore,Feb 11 2023
40,Sembcorp Executive,,Great compensation packages good salary,Lack of internal and external equity,Senior Executive,Current Employee,Singapore,Feb 20 2023
50,Good,,Good forward looking company Culture is formed by individual teams departments,Depending on the teams u are in some can get political and thats where working culture turns bad Peoeple dont leave company people leave boss,Manager,Current Employee,Singapore,Jan 29 2023
50,Looking for Data analysis job Remote work form home Opportunity,,job satisfaction gives opportunity to explorer your career skills,Only one issue Sembcorp not have Remote Work From Home Policy,Sr Mechanical Engineer,Current Employee,Nellore,Jan 27 2023
40,a,,work life balance for fan,long hours and gremlin and ask,Software Engineer,Current Employee,Sembawang Estate,Feb 7 2023
20,Less than 3 month,,Provide transport to work Honestly can’t think of anything,Have to wakeup early to work Depends on your location If you live at central then you have to wait in line from 5am Not much guidance Salary very little,Document Controller,Former Employee,Singapore,Jan 17 2023
40,Great bonus,,Great work environment and opportunity to shine,No canteen Little maintenance management system,Maintenance Lead,Former Employee,Changi Village,Feb 2 2023
30,Good place to learn,,Most team mates are nice to work with,Management is lacking leadership skills,Project Engineer,Current Employee,Singapore,Jan 31 2023
30,Forward thinking company on the up,,interesting time to work for this company as they are going through a lot of positive change,sometimes the culture is held back by employees that have been there too long,Anonymous Employee,Current Employee,Teesside County Borough England,Jan 15 2023
50,Strong alignment with Sustainability,,Clear mandate Friendly environment Prime location Lots of learning opportunities,More work for those that can handle it Brand image can be improved eg Vs marine waste JI etc,Manager,Current Employee,Singapore,Jan 13 2023
40,Great company culture,,People and management is really friendly,Lack of communication between departments,IT Technician I,Current Employee,Middlesbrough England,Dec 30 2022
40,great place to learn,,Nice people Several avenues to gain knowledge and experience,Renumeration package is average at best,Engineer,Former Employee,nan,Jan 17 2023
40,Transformation in progress,,Stable reasonable benefit flexible in working from home during Covid,Lengthy decision making process that reduces market competitiveness,Vice President,Former Employee,Singapore,Jan 10 2023
30,Routine and manageable but boring work,,Good starting salary for fresh grads bonuses Employee welfare good leave policy family days etc,Only a specific niche type of projects available limited opportunities to get exposure Workflow is disorganised and haphazard despite large company size Work is significantly constrained due to lack of softwares other than Revit and Autocad,Architectural Assistant,Former Employee,nan,Nov 12 2022
40,Good place to work,,Benefits are good Salary pay on time,High pressure Slow career growth,Manager,Current Employee,Gurgaon Haryana,Dec 16 2022
50,If you have your people surrounded in your location it is very good company,,timely salaries training time to time facilities good,only few employees in work location but having too much of competition that too unhealthy,Executive,Current Employee,nan,Nov 18 2022
50,True MNC,,highlevel management Good Safety standards are good,Midlevel management could do better Company tries to take care of your worklife balance,Software Engineer,Current Employee,nan,Dec 7 2022
30,Routine and manageable but boring work,,Good starting salary for fresh grads bonuses Employee welfare good leave policy family days etc,Only a specific niche type of projects available limited opportunities to get exposure Workflow is disorganised and haphazard despite large company size Work is significantly constrained due to lack of softwares other than Revit and Autocad,Architectural Assistant,Former Employee,nan,Nov 12 2022
40,Good company and culture,,Great leadership and management direction,Nothing to mention about now,Data Analyst,Former Employee,nan,Nov 11 2022
50,Great position in the renewable industry,,Vibrant and open environment where everyone supports one another Bosses are approachable and helpful,Standardization of processes is still maturing but these are opportunities for contribution,Anonymous Employee,Current Employee,nan,Oct 10 2022
40,Good company,,Freedom to pursue interests within the role Nice colleagues Supportive management Progression supported,Need to be self motivated to progress,Anonymous Employee,Current Employee,nan,Oct 26 2022
40,Slow n steady,,Well established Focused on its sectors Emphasise training Professional colleagues Forgiving,Hr practise antiquated Very slow to change Extremely silolised No lateral transfer was possible Agree to disagree culture,Assistant Vice President,Former Employee,Ho Chi Minh City,Sep 12 2022
40,Good Company to work,,5 days a week working culture Good HSE policies and practices,Promotions and increment is less,Assistant Manager,Current Employee,nan,Oct 11 2022
50,Traditional industry striving to be an MNC,,Adapting to changes and opportunities arises from all the changes strategy manpower and reorganise,Top heavy and very little opportunities for middle management positions It’s either the senior management or working level,Assistant Vice President,Current Employee,nan,Sep 17 2022
40,Good company,,Visionary strong execution supportive bosses,High Turnover changing culture uncorporative,Anonymous Employee,Former Employee,nan,Oct 5 2022
30,Goal driven result oriented organization,,Strong leadership team driven to achieve success for the Organization,Challenging environment to achieve success,General Director,Current Employee,nan,Nov 10 2022
40,Chill but maybe cos it was during covid,,was not really overloaded with work and not micro managed,at times felt like i wasnt doing anything,Data Science Intern,Former Employee,nan,Sep 5 2022
30,Great co,,They give Flexible working hours,Managers have No clear deliverables,SVPService Delivery Executive,Former Employee,Singapore,Oct 9 2022
20,Yelling,,Company benefits compensation are competitive,Yelling leader Why does the leader have to shout to get her way Yes we are paid to work but not for mental torture,Anonymous Employee,Current Employee,nan,Sep 22 2022
20,Sembcorps Review,,Good time to be in the energy sector,No differentiator for the company,Anonymous Employee,Former Employee,nan,Oct 5 2022
40,Good company,,Visionary strong execution supportive bosses,High Turnover changing culture uncorporative,Anonymous Employee,Former Employee,nan,Oct 5 2022
20,Good but Stressful,,NAME,NAME,Business Continuity Manager,Current Employee,nan,Oct 2 2022
40,Chill but maybe cos it was during covid,,was not really overloaded with work and not micro managed,at times felt like i wasnt doing anything,Data Science Intern,Former Employee,nan,Sep 5 2022
30,Average Company,,Good colleagues and bonding session,Imbalance workload among various departments,Anonymous Employee,Former Employee,nan,Sep 11 2022
40,Cutting Edge Energy Company,,1 Flexible working hours 2 Learning Opportunity 3 Opportunity to work on exciting renewable projects,1 Excessive control 2 Slow and complex processes,Vice President,Current Employee,Gurgaon Haryana,Aug 21 2022
50,Lead electrical engineer,,Timely salary and bonus and health insurance and medical benifits,Repeated jobmore follow up or paper work Very slow growthand nothing to learn,Electrical Maintenance Engineer,Current Employee,Nellore,Aug 10 2022
50,Scm review,,Good working environment and good for learning,Promotion is slow and have lower salary,Design Engineer,Current Employee,Singapore,Aug 24 2022
30,Alright,,alot to learn for fresh grads,underpay long hours tough job,Engineer,Current Employee,Tuas,Aug 28 2022
40,Transforming from legacy,,Competitive package with exposure over different regions and functions,Some legacy baggage and agenda,Assistant Manager,Former Employee,Singapore,Aug 12 2022
20,Don’t do it,,Great team out in the field,Bonuses removed and replaced by an SDA payment which equates to less than previous years bonuses yet they expect 1 in 4 weekends to be worked on site and call out cover throughout the night Unrealistic demands for the compensation package on offer They’re going through a recruitment drive to try and boost FSE numbers to cover these extra shifts Be warned,Field Service Engineer,Current Employee,nan,May 4 2022
10,ME engineer,,There is work life balance but during peak period can be hectic,Learning curve and opportunities are very limited Favouritism in specific project,MampE Engineer,Former Employee,Changi Village,Sep 11 2022
30,IT Dept,,A company with out of touch thinking HOD running the show,Taichi is common keeping mum when things happened Or maybe just blame the project manager,Anonymous Employee,Former Employee,nan,Jul 27 2022
40,T,,Good commitment nice company to work with,No such that Im aware of,Senior Manager,Current Employee,Gurgaon Haryana,Aug 12 2022
50,Great Company,,Good Company get a lot of bonuses and benefits,Poor management especially unskilled supervisor,Facilities Services Specialist,Current Employee,Singapore,Jul 27 2022
50,Good employees benefits,,Good employees benefits which include family care leave and mobile allowance,Need to work on the lunch hour to think of staffs welfare,Senior Software Engineer,Current Employee,nan,Jul 16 2022
30,Good bonus,,Good benefit and salary package,Unclear direction from top managemebt,Senior Engineer,Current Employee,Jurong West New Town,Jul 30 2022
