Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
30,A growing company undergoing transformation,Started out with the company right after graduation I had the opportunity to try out a new role after one year in the organisation Thoroughly enjoyed my time there as I had the autonomy and space to make improvements to the way things were I can’t say the same now as many things have changed since I left,nan,nan,SENIOR EXECUTIVE,Former Employee,Hill Street,April 24 2018
40,Easygoing,People were very nice and welcoming Superiors were also quick in extending assistance whenever required and were quite understanding when problems arose,nan,nan,Customer Service Officer,Former Employee,Singapore,March 15 2023
10,Sucks,Sembcorp industries is a place where is totally Bureaucratic and political Their business is totally non environmental while they are claiming they are so,nan,nan,Manager,Current Employee,Jurong Island,February 24 2023
50,Purposeful and fun place to work,Had a great time working with some of the most knowledgeable and experienced people Always something new to learn from the team Staff and managers are approachable and friendly,nan,nan,Summer Intern,Former Employee,Middlesbrough,December 18 2022
30,Poor Management,Meetings are plagued with incessant questioning or comments which are not constructive or helpful You can feel questions are asked just for the sake of questioning Even subject matter experts are questioned in fields which they had practiced for the longest time Management has no respect or does not take opinions seriously and often results in firefighting exhausting its Staff They dont believe in do it right the first time but instead believe spend the least the first time,nan,nan,Manager,Current Employee,Jurong,November 7 2022
40,JOb security and work life balance,Sembcorp supported us all during the 2yrs of covidprovided us all the support required for the team members who got infectedAlso a flexible work timing helps in maintaining a worklife balance,nan,nan,Deputy Manager,Current Employee,Nellore Andhra Pradesh,November 6 2022
20,Fast pace environment,Need to be very independent and self motivate Task given with minimum supervision and resources Cost control and project delay pressure from management,nan,nan,Yard Manager,Former Employee,Tuas boulevards Yard,September 24 2022
10,No,Badly managedtake it or leave attitudebad decision madevery poor Health and safety Overtime expectedno overtime pay weekend expected no payment Management are useless and 2 faced not to be trusted and a very poor attitude to there staffI would not recommend working here Decisions badly made on a daily basis by management,nan,nan,Field Service Engineer NE,Current Employee,North East,May 11 2022
50,Good workplace environment and collaborative culture,Enjoyed my internship here 1 The company trusts and allows interns to work on their ongoing projects Overall it is a good environment and colleagues are helpful and willing to guide you along 2 The office is located at a convenient location and is extremely comfortable especially after renovation Near City Hall MRT Funan Shopping Mall Pay is decent but could be slightly higher for computingdata related roles,nan,nan,Data Science Intern,Former Employee,Singapore City Hall,March 10 2022
50,Internship at Sembcorp Industries Ltd,Great place to learn a LOT of things Just be Proactive Colleagues very willing to help interns to learn Experience life as an engineer technician,nan,nan,Intern,Former Employee,Jurong Island,January 13 2022
30,not fun,not a fun place to work no communication from management no job security all aimed at there base in Wilton perk box is rubbish bupa is difficult to use,nan,nan,Materials Controller Sembcorp,Current Employee,Solihull,January 3 2022
40,Growth,The company is good All the policies are employee friendly But internal politics is too muchdifficult for outer sider to survive I have worked for 5 years and completed 2 projects in India and as well as overseas But at the end of the project ingot terminated Noone supported I have requested from the plant manager to CEO But everyone have ignored my request,nan,nan,Deputy Manager,Former Employee,Nellore,February 10 2021
50,Excellent,Excellent place to work I learnt many things while I working here Great management They provide good environment for us to work Competitive too Everyday is a learning opportunity for me,nan,nan,Marine Hull Structure Specialist,Current Employee,Singapore,September 10 2020
50,Good company,I love working with Sembcorp environment servicethe company take care the workers good Maybe the the starting pay abit Low but every year had increasedwe work as a team like familybecause of my health so cannot continue with them I really sad,nan,nan,Plant operator,Former Employee,Tuas,June 17 2020
50,Good package,very good company to work with which gives saftey as top priority only 5 days working culture Singapore based MNC Transport is free one of the best power plants worked till date,nan,nan,Manager,Current Employee,nellore,June 13 2020
10,Horrible hiring practices,Hired through some Indian recruitment agency only to find out the task assigned to me was completely different from what was mentioned in the job description and interview traveling to some offshore location was required as well Relaxed work environment at the HQ wasted time clearing security at offshore location Treated as an outsider with no access to the room that I worked in some engineer who cant think out of the box and only knows how to follow SOP roll out a new machine without ensuring corporate resource is updated to support the new machine Terminated with no printed letter for going on MC for less than 3 days Cant expect much from a stateowned enterprise Sad to say this is not the only company in Singapore with such practices,nan,nan,Contractor,Former Employee,Central Singapore,June 10 2020
40,Fast paced,Fast paced many meetings lots of policies in place many IT systems but doesnt always talk to each other deadline sensitive slow to make changes top management driven,nan,nan,Finance Manager,Former Employee,Singapore,May 20 2020
40,Good job,Great company to work for with great training The company help with you gaining experience and overall confidence The company also allows members to move up the laddderp,nan,nan,Process Operator,Current Employee,Redcar,March 24 2020
40,nice work place,good communication between management employer site safety is first priority all are work oriented nice work place equipment infrastructure well maintained,nan,nan,Manager,Current Employee,Nellore Andhra Pradesh,February 20 2020
30,Above average Workplace,Able to set up a room for colleagues for them to relax Doing more than job scopes indicated have to take care of engineers and technicians welfare admin Hr portion,nan,nan,Executive Water,Current Employee,Jurong Island,February 11 2020
50,I enjoyed working for the company,I started working for sembcorp Siza Water from 2005 to 2013I enjoyed working and the company helped me to develop and to improve my skills Working from Monday to Friday that allowed me to study during weekends Stock taking is hard and enjoyable at the same time,nan,nan,Storeman stock controller,Former Employee,Ballitoville KwaZuluNatal,December 28 2019
30,A growing company undergoing transformation,Started out with the company right after graduation I had the opportunity to try out a new role after one year in the organisation Thoroughly enjoyed my time there as I had the autonomy and space to make improvements to the way things were I can’t say the same now as many things have changed since I left,nan,nan,SENIOR EXECUTIVE,Former Employee,Hill Street,April 24 2018
50,Routine job with different issues,5days working company and below managerial level we can avail compensatory off work is stressful and some times we have to work on sundays saturdays and holidays,nan,nan,Deputy Manager,Current Employee,Nellore Andhra Pradesh,December 10 2019
30,No communication,Supervisor expected you to know everything and do everything within a snap of fingers Everyday is firefighting all work are adhoc basis There is no time for you to do your assigned project unless you drop other things In the end you get the blame and scolding for not performing up to expectations,nan,nan,Senior Executive,Current Employee,Jurong Island,September 6 2019
30,Fun place,It has a good working culture in terms of colleagues Its a fun place to work inside here as they are friendly bunch of people who willing to help you,nan,nan,Operation technician,Current Employee,Singapore,August 30 2019
50,Fixed timetable with occational holiday available,A typical day at work for me includes a fixed timetable and a relatively quiet working environment Throughout my working experience I learned how to be a cashier basic inventory management customer hotline and restaurant servicing For management one should ensure enough developmental space for his or her group while keeping a final say on vital decisions Workplace culture should be organized with clear standards and rules The hardest part of the job is maintaining positive relationship with departments The most enjoyable part of the job is achieving goals with the group,nan,nan,Cashier,Former Employee,沈阳市,June 3 2019
30,Comfort zone,basic paper work on procurement finance reports arranging meeting via outlook calendar no career improvement good boss and relaxing not stressful and demanding work environment,nan,nan,Lab Technologist,Current Employee,NUS,May 27 2019
30,All work No job Security for Contracts role,Recent years only hired contracts Management cares only being able to answer to higher level and HR about worling beyond office hours Even thou staff doesnt mind unpaid to finish up more of work needed OT Rate lower than most part time job found outside,nan,nan,Material Planner,Former Employee,Sembawang,December 9 2018
40,Fun and productive,Learnt a lot in this organisation which has moulded in many ways technically and personally Great place to work in this organisation groomed management,nan,nan,LEAD TECHNICIAN,Former Employee,Singapore,December 7 2018
