Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
30,Busy,A good place for fresh graduates keen to join the banking industry Staff benefits are pretty competitive compared to market with 23 days annual leave starting this year,nan,nan,VP,Former Employee,Raffles Place,May 4 2020
50,Organised bank,Organise and professionally run bank Family oriented Cozy working environment System is up to date and leaders are clear of what they want Inclusive and diversity culture,nan,nan,Sales Associate,Former Employee,Remote,March 18 2023
50,Friendly senior staff and comfortable working environment,Friendly staff and senior guide me patiently during probation period comfortable working environment and nice superior Work life balance culture able to learn a lot of thing there,nan,nan,Mortgage Specialist Senior Officer,Former Employee,Muar,March 7 2023
30,High salary but stress environment,I was hired with contract because this job is high turnover no wonder lo If you didnt not finish the contract time you will be charge Rm2500 to pay to them as the training bond The job was so stressing your mind Everyday have to hear complaints which is the part of the job If you priorities your mental health I do not recommend this job They have the kpi you need to meet they always keep telling you to shorten the time call but you need to wrap in CRM It so stressful If the queries still pending and appeal you still need to keep on updates where we have many calls that we tend to forget I got anxiety because always intimidate with the calls If you handle chat or email I still consider but if inbound or outbound calls think on your mental health Pros if you achieve target on that day they will treat the meal They provide free beverage vending machine which provide you coffee cordial and refreshing beverage You have 1 hour break Then 30 minutes extra You have to sacrifice your time because some shift can end at 1am and start at 6am Salary is high for fresh graduate which is 27k Your manager is so supportive and understanding but the call environment too stressful 4 minutes from lrt ampang Park which in located at intermark mall,nan,nan,Contact Center Agent,Former Employee,Ampang Park,January 27 2023
30,The salary is good,The salary is good for fresh graduates However the there are too much workload and follow up need to be done after end shift Too often I need to stay back after end shift to complete work amd cannot claim OT as it only count if taking calls,nan,nan,Customer Service Representative,Current Employee,Kuala Lumpur,January 20 2023
40,Decent Bank,Local Bank with lots of Singaporeans Many Old Timers Bonus is decent but base can be low Does take care of its employees Work life balance is there,nan,nan,Vice President,Former Employee,Singapore,January 20 2023
50,Fun workplace Fast Pace,There was training provided Fun working environment benefits were great The workplace culture is enjoyable and colleagous are friendly Seniorteam leaders are very helpful and supportive Just needed to be mentally strong when communicate with customer,nan,nan,Call Centre Executive Call Centre,Former Employee,Kuala Lumpur,January 11 2023
30,A challenging workplace with many concurrent projects to manage and daily back to back projects meetings and software applications testing,A well managed organization with strict and extensive risk management in place Colleagues are all busy with their duties and achieving results leaving very little time for interpersonal interactions A typical day for Team Lead is packed with projects meeting discussions leaving very little time to perform paperwork administrative work planning and analysis during working hours as need to work until almost wee hour daily The hardest part of the job is workload and the most enjoyable part is that you get to learn a lots,nan,nan,Team Lead,Former Employee,Kuala Lumpur,January 1 2023
20,Poor work ethic,Outdated systems Long hours generally but compensated so it’s fine Generally colleagues are greatbut still office politics do occur But every working place has politics so its still fine i would say,nan,nan,Trainee,Former Employee,Singapore,December 24 2022
40,Good place to work but compensation low,Compensation is low but bonus is generally ok Ample annual leave and family care leave which is sufficient each year However feel that base compensation can be improved,nan,nan,Analyst,Former Employee,Singapore,December 21 2022
