Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
3,Interesting but short term due to completion of the contract,I love the culture the people around me during my short term stay with them I enjoyed every moments that they had been training and the opportunities they had given as well as supportive to me to carry out the tasks and duties as a role of Risk officer I am sad to say that my duration of stay with them wasnt that long it was a contract role and the contract had given me a 6 months duration of stay with them instead,Job culture is interesting,My duration with them isnt that lengthy enough,AML Risk Officer FCC Department,Former Employee,Central Business District,26/10/2015
5,One of the best experience in my career,What is the best part of working at the company Working at HSBC in Tampa was one of best experience I worked on some complex conversion projects for HSBC Europe and Middle East Managers are supportive and good scope for growth and exposure What is the most stressful part about working at the company I worked in complex projects managing command center was hectic What is the work environment and culture like at the company Very nice work hard and play hard What is a typical day like for you at the company I look forward to working at the place Nice environment,nan,nan,Technical Project Manager,Former Employee,Tampa FL,25/03/2023
5,Awesome empowering employer,State of the Art equipment Always showing appreciation to employees always pushing and driving us to be better and excel at every endeavorYou can make empowering career moves,Free Lunch Fitness Center Six Sigma Floor Prize Rallys,Short Breaks Blocked Holidays out,Customer Service Representative,Former Employee,New Castle Delaware,25/03/2023
2,Management Nightmare Great Co Workers,Thank goodness for exceptional co workers Keep team together by pretty much managing ourselfs,nan,nan,Relationship Manager,Former Employee,New York NY,23/03/2023
4,good company to work for,good benefits but lots of red tape and many layers to management Good opportunities to get promotion and progress if you want to but the higher you go the more red tape,nan,nan,Business Partner Manager,Former Employee,Manchester Greater Manchester,23/03/2023
4,Stressful but rewarding,Stressful good team culture demanding clients The pay is good compared to market pay scale management can be toxic depending on which team you are in,nan,nan,Risk Analyst,Former Employee,Hong Kong,22/03/2023
1,Horrible company,If it wasn’t for my team and my manager I would have walked long before I did You’re nothing but a number to them don’t pay enough for the calls you take or the type of calls you need to deal with Zero support when it came to lockdown in 2020 all aspects of support was took away got emails everyday from high up telling us we weren’t doing a good enough job meanwhile struggling with the concept of lockdown Quit in November after being threatened with a disciplinary for taking a few days off sick,nan,nan,Customer Service Advisor,Former Employee,High Blantyre,21/03/2023
5,Good work life,Good company to work for Good work life balance Decent pay Good learning opportunities Very small business in Canada Colleagues are nice Good year end bonus,nan,nan,Manager,Former Employee,Canada,21/03/2023
5,Good work life balance,Excellent place to work Very good team Great work life balance Good Leave policy Good Insurance policy Good technical skill set Everything good about hsbc,nan,nan,Senior software engineer,Current Employee,Hyderabad,21/03/2023
4,Big Bureaucratic Stable,The bank is vast and political While I believe the bank tries to do the right thing as a corporate citizen its internal management structures can be very difficult to navigate as senior managements personal preferences drive programme choices and directionsand when the management is changed the direction of travel can change very quickly as a result People are generally pleasant and competent but not all YMWV,nan,nan,Cloud Developer,Current Employee,London,21/03/2023
2,Kpi pressure,Pays good training fun after training thrown deep end n lots of staff leave Very repetitive no local shops for food 30 min lunch so cant get out and canteen limited and if you are on late shift no canteen Better similar jobs with local shops for lunch available,nan,nan,Customer Service Advisor,Former Employee,Manchester,20/03/2023
4,Productive,Good money for a student working during the summer Friendly team Working 9 to 5 no one asking you to stay extra hours Some training available regarding Excel Subscription to Headspace,nan,nan,Summer Intern,Former Employee,London Greater London,19/03/2023
1,Horrible work culture and management team,Very stressful working environment and useless team managers group of 6 ladies team managers has no knowledge on how to do their job except micro managing keeping tracking expecting response on Team within seconds if not they will scream at you blacklisted their subordinate s if one challenge or corrected them,nan,nan,Analyst,Former Employee,Canada,17/03/2023
4,Great place to work,Having worked here for over 10 years its a great company to work for Very flexible working options and they take care of their employees well being Like any other organisation there are targets and KPIs but nothing impossible to achieve,nan,nan,Customer Service Advisor,Current Employee,London Greater London,17/03/2023
5,Fun to work with,A good company to excel your dream Fun to work with good ethics friendly and cooperative management and colleaguesThe ambience is good culture is greatValues employees,nan,nan,Business Analyst Procurement IT – GLTi,Former Employee,Hyderabad Telangana,17/03/2023
4,Really great place to work,Great culture and management limited international opportunities but they definitely do exist Ability to network with people around the world Great benefits,nan,nan,Personal Banker,Current Employee,Halifax NS,16/03/2023
5,Productive,Employee first They take good care of their employees Good compensation and professional colleagues You will get all the support you need from your managers and teammates,nan,nan,Financial Advisor,Former Employee,Quezon City,16/03/2023
4,treating employees as individuals,a good place to learn how to deal with peoples come from different countries and with different background a culture of respect generally can be found across the company,nan,nan,Regional Collections Contact Management Manager,Former Employee,Hong Kong,15/03/2023
1,Good people but no raises or career growth,If youre looking for any kind of growth this isnt the place However generally speaking people are nice and helpful There isnt too much politics to deal with,nan,nan,Full Stack Developer,Current Employee,New York NY,15/03/2023
4,Fun workplace,Good company fun workplace good for freshers lots to learn great exposure to banking international teams nice management decent perks,nan,nan,Analyst,Former Employee,Bengaluru,15/03/2023
5,Very nice social culture to be a part of Excellent company who takes care of the employees,HSBC is a very progressive bank and always thinking to serve better to client environment and society Amazing work culture and great benefits to employees,nan,nan,Senior Operations Specialist,Former Employee,Toronto ON,14/03/2023
3,Interesting but short term due to completion of the contract,I love the culture the people around me during my short term stay with them I enjoyed every moments that they had been training and the opportunities they had given as well as supportive to me to carry out the tasks and duties as a role of Risk officer I am sad to say that my duration of stay with them wasnt that long it was a contract role and the contract had given me a 6 months duration of stay with them instead,Job culture is interesting,My duration with them isnt that lengthy enough,AML Risk Officer FCC Department,Former Employee,Central Business District,26/10/2015
