Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
3,Decent job stability and benefits,Working here is decent and the people are alright The benefits and the hob stability are the things that make people stay at the company for a very long time,Variable bonuses,12 hour shifts,Line Technician,Former Employee,Kallang,11/03/2022
5,Overall positive internship experience,Got to learn some stuff friendly colleagues who were ready to share their knowledge and teach you things definitely have work life balance as intern no OT Some downside is just not much exposure to actual specific QM work mostly seem to be doing documentation work dont do full time conversion,nan,nan,Quality Management Intern,Former Employee,Singapore,25/03/2023
4,clean workplace comfort to doing every task everyday,Infineon company is very good at the salary pay every on date never missed worth it to work here with the elauns bonus Workplace also tidy so comfort to start our work together,nan,nan,operator,Former Employee,Melacca,19/03/2023
4,Great work life balance good place to grow,Excellent We have an opportunity to explore different domains as the org is vast and have multiple domains within The teams are global thus we will get great global exposure as well Frequent travels very supportive team and reporting manager,nan,nan,SCRUM MASTER,Current Employee,Bengaluru Karnataka,17/03/2023
5,Great Workplace,emphasis on collaboration and teamwork Everyone at the company was encouraged to work together to achieve common goals and there was a strong sense of camaraderie among colleagues I always felt that my contributions were valued and appreciated and I was proud to be part of such a dynamic and motivated team,nan,nan,Semiconductor Operator,Former Employee,Mesa AZ,08/03/2023
5,Professional Environment Leader in Industry,Infineon is a great supportive company to work for with professional leadership high standards and clear career progression I was continuously impressed by our ability to solve problems and innovate in a very technical and competitive field,nan,nan,Semiconductor Operator,Former Employee,Mesa AZ,01/03/2023
4,Productive,Good work culture and great place to learn and explore Team members are very helpful One would get the opportunity to interact with people from different parts of the country,nan,nan,Internship,Current Employee,Karnataka,27/02/2023
5,happy work,feel most comfortable and enjoyablei feel happy 2 work thersatisfying wen working with frens n my supervisorA good management and anything can share with shift supervisor,nan,nan,QA Analyst,Former Employee,kallang way,14/02/2023
4,excellent company,good company and culture Growth opportunity in any areas of interest if aligned with the company goals Raises yearly Bonus plans are very attractive if company meet yearly outlook,nan,nan,Sr Staff Applications Engineer,Current Employee,El Segundo CA,13/02/2023
3,Good people research outdated ideas and culture,Overall its a great company in terms of people and the work Ive been doing However sometimes it felt like they are 1015 years behind and management may not be very competent,nan,nan,Systems Engineer,Former Employee,California,09/02/2023
5,A diverse place to work and offers great opportunities,Infineon was a great company to work for to work I was a part of the away team that started the company from the beginning to the end in Richmond Virginia,nan,nan,Supervisor,Former Employee,Sandston VA,07/02/2023
1,Stay away from financecosting,Culture at the site I worked at was toxic with no work life balance All teams at the site were expected to work long hours and be available 247 I was nonchalantly asked by my manager to log on and work Saturdays and Sundays fairly often The finance and costing team in Mesa and Austin is run extremely lean with no backfilling of roles no support or training from management The onboarding was rushed and sloppy and I was unable to receive proper user accesses to do my work for several months Zero training or support when help was needed its a sink or swim environment It really seemed like they truly did not care and no preparation was done for my role before my start date just that they needed a warm body to fill a seat All in all a really unfortunate and bad experience and its no surprise they are unable to keep people around and have such high turnover in finance,nan,nan,Finance,Former Employee,United States,07/02/2023
4,Productive but the operation engineer and production manager very bad attitude,I resign at the place not about salary but about people Especially the culture operations engineers Culture at infineon very good very clean very smart I like infineon very well If I am accepted to work I will choose to go to another module,nan,nan,Production Operator,Former Employee,Kulim,07/02/2023
1,very political and hierarchy oriented organization,without rationale the boss is always right you get punished when you do more than what is expected not trusting own people very discreet if you voice out concern you get reprimanded instead,nan,nan,SAP MM Consultant,Former Employee,India Malaysia,04/02/2023
5,Good,Great place to work at there were so many great people to work with as well and the management was really great The training was a bit rough but overall I really liked it,nan,nan,Quality Technician,Former Employee,Cedar Creek TX,01/02/2023
2,If you just need a job,Great hours compressed shifts 12 hours if you work the days you will be fine you will have some support and not have to do much If you work nights you will not have support or get promoted like day shift The good people that come and get trained see that they can get paid better elsewhere and usually leave,nan,nan,Operator,Former Employee,Austin TX,10/01/2023
5,Good company,If you need a place to work and are good with repetitive work this a good job company is working on way to fix training problem over all if you have thick skin and can show up to work on this is good job,nan,nan,Wafer Fab Operator,Former Employee,Austin TX,07/01/2023
5,A lot of benefits,Intern also can get similar benefits with employees like medical and parking Very good management know how to solve issues quickly Talented operators and technicians very well conducted trainings,nan,nan,Intern,Former Employee,Melaka,30/12/2022
5,Good for improvement,It is a good company for worklot of medical benefiteasy to parking motor or cargood enviroment working placeand this company a very strong company,nan,nan,Senior Technician,Current Employee,Melaka,19/12/2022
3,Easy work depends on dprt but management fail,Workplace good Company benefits Bonus always low even though company make good money Short break Biased internal Superior No respect for ground floor employee,nan,nan,Technician,Current Employee,Singapore,18/12/2022
4,Solid employer but not exciting,Infineon provides lots of job security Management is rather conservative and does not implement rapid changes quite slow to take decisions Daily job in a technical role is quite relaxed but is not terribly exciting because it is rather narrow in scope,nan,nan,Senior staff Engineer,Current Employee,Germany,09/12/2022
3,Decent job stability and benefits,Working here is decent and the people are alright The benefits and the hob stability are the things that make people stay at the company for a very long time,Variable bonuses,12 hour shifts,Line Technician,Former Employee,Kallang,11/03/2022
4,Good work environment,Good work environment A little bit too soft sometimes but overall very good work life balance even if it depends on which department you are Also good benefit,nan,nan,Project Manager,Current Employee,Villach,06/12/2022
4,Good culture,Overall good collaboration and company culture depends on which department you are in and your superior Some managers can have toxic working style but still stay on Benefits is improved every year which is good However working hours is longer start from 8am to 530pm,nan,nan,Senior Manager,Current Employee,Singapore,28/11/2022
2,Ok place to work except for the woke HR and mandates,The Mesa facility was a nice place to work with a small company feel but the Human Resource Manager and Plant General ruined the facility so I quit to work for a much better company The mask and vaccination requirements further make this company unacceptable to me,nan,nan,Equipment Engineer,Former Employee,Mesa AZ,28/11/2022
3,Job stability but can be hectic,The people are great Truly a global culture They take care of their employees and provide job stability The Americas arm could improve by modernizing their tool and processes Pretty outdated for a global tech company,nan,nan,Anonymous,Former Employee,United States,22/11/2022
5,Working at fab production 99 clean environment,It’s a nice place to work with but the company decided to closed and move to different statesand I decided to stay here in San Diego with my family’s,nan,nan,Senior Machine Operator,Former Employee,Temecula CA,22/11/2022
4,Solid and Multinational,Good team very skilled engineers Sometimes work can get stressful deadlines can be unreasonable but managers are open to discussion and support A good policy for diversity and inclusion,nan,nan,Test Engineer,Current Employee,Italy TX,09/11/2022
4,Productive and fun workplace,My workplace are very clean beautiful and comfortable Always have meeting of the year about company review have bonus for 2 month of the year Environment of workplace very safety For overtime paid very satisfied If not healthy the company have provide a clinic inside workplace Have give a continuous training every 2 years for make sure always certified only to work follw your position,nan,nan,Technician,Current Employee,Melacca,07/11/2022
5,Nice place to work,There is work life balance colleagues are friendly and ever willing to help and cooperate Great place to work Good managers and opportunity for growth,nan,nan,Engineer,Current Employee,Singapur PR,29/10/2022
2,Management and Engineers are a problem,Management was quite a joke when heshe does not know what to do nor how the tools we use work Engineers just like to laze around and creating more problems for the operators This is based on what I have observed working there for a long time and I would not work with this company again They also play the favoritism game when hiring people,nan,nan,Machine OperatorProduction,Former Employee,Temecula CA,24/10/2022
5,Fantastic place to work,Working here will keep you busy and moving Its a shame this location is closing down soon Management varies by shift but overall have been very supportive,nan,nan,Wafer Fab Operator,Current Employee,Temecula CA,08/10/2022
3,Good place lousy management,Many managers have been there for ages without any development plan for themselves so they bring down an otherwise good culture Many growth for the site in upcoming years,nan,nan,Quality Engineer,Current Employee,Tijuana Mexico,28/09/2022
4,Productive and fast pace,A good company for fresh graduates to start their career Learn a lot from helpful colleagues and can widen job scope and experience Good benefits for all employees,nan,nan,Electrical Testing Engineer,Former Employee,Melacca,22/09/2022
