Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
3,A growing company undergoing transformation,Started out with the company right after graduation I had the opportunity to try out a new role after one year in the organisation Thoroughly enjoyed my time there as I had the autonomy and space to make improvements to the way things were I can’t say the same now as many things have changed since I left,nan,nan,SENIOR EXECUTIVE,Former Employee,Hill Street,24/04/2018
4,Easygoing,People were very nice and welcoming Superiors were also quick in extending assistance whenever required and were quite understanding when problems arose,nan,nan,Customer Service Officer,Former Employee,Singapore,15/03/2023
1,Sucks,Sembcorp industries is a place where is totally Bureaucratic and political Their business is totally non environmental while they are claiming they are so,nan,nan,Manager,Current Employee,Jurong Island,24/02/2023
5,Purposeful and fun place to work,Had a great time working with some of the most knowledgeable and experienced people Always something new to learn from the team Staff and managers are approachable and friendly,nan,nan,Summer Intern,Former Employee,Middlesbrough,18/12/2022
3,Poor Management,Meetings are plagued with incessant questioning or comments which are not constructive or helpful You can feel questions are asked just for the sake of questioning Even subject matter experts are questioned in fields which they had practiced for the longest time Management has no respect or does not take opinions seriously and often results in firefighting exhausting its Staff They dont believe in do it right the first time but instead believe spend the least the first time,nan,nan,Manager,Current Employee,Jurong,07/11/2022
4,JOb security and work life balance,Sembcorp supported us all during the 2yrs of covidprovided us all the support required for the team members who got infectedAlso a flexible work timing helps in maintaining a worklife balance,nan,nan,Deputy Manager,Current Employee,Nellore Andhra Pradesh,06/11/2022
2,Fast pace environment,Need to be very independent and self motivate Task given with minimum supervision and resources Cost control and project delay pressure from management,nan,nan,Yard Manager,Former Employee,Tuas boulevards Yard,24/09/2022
1,No,Badly managedtake it or leave attitudebad decision madevery poor Health and safety Overtime expectedno overtime pay weekend expected no payment Management are useless and 2 faced not to be trusted and a very poor attitude to there staffI would not recommend working here Decisions badly made on a daily basis by management,nan,nan,Field Service Engineer NE,Current Employee,North East,11/05/2022
5,Good workplace environment and collaborative culture,Enjoyed my internship here 1 The company trusts and allows interns to work on their ongoing projects Overall it is a good environment and colleagues are helpful and willing to guide you along 2 The office is located at a convenient location and is extremely comfortable especially after renovation Near City Hall MRT Funan Shopping Mall Pay is decent but could be slightly higher for computingdata related roles,nan,nan,Data Science Intern,Former Employee,Singapore City Hall,10/03/2022
5,Internship at Sembcorp Industries Ltd,Great place to learn a LOT of things Just be Proactive Colleagues very willing to help interns to learn Experience life as an engineer technician,nan,nan,Intern,Former Employee,Jurong Island,13/01/2022
