Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
4,Stressful and Fast Paced,A very stressful and fast paced environment with very strict procurement policy which hinders the operations They have a very understanding and supportive GM and colleagues,nan,nan,Senior Engineer,Current Employee,New Phoenix Park,19/11/2019
3,Steep learning curve and intense workload,Workload can be quite demanding at times and overall poor management of staff resulting in poor work distribution and poor productivity but higher management do not see this as a problem,nan,nan,Procurement Executive,Former Employee,Singapore,24/03/2023
4,Good place to explore the field,Highly subjective but heres some points Good Manager and bosses Worklife balance Sponsored professional certifications Wide variety of roles and projects to try Bad Salary is not representative of the current job market May be required to work in office,nan,nan,Engineer,Former Employee,Singapore,18/03/2023
2,bias management,need to curry favour in order to get good appraisal otherwise performance affected and life in office will be terrible as everyone will boyscott you as they do not want to offence the management so hardworking is not use must know who to curry favour then life will be GOOD,nan,nan,Project Coordinator,Former Employee,singapore,17/03/2023
3,Bonded Team mates and support immediate superior,Coworkers are friendly and there is team work Superior is also supportive and understanding Career advancement higher chance if have local university certs,nan,nan,Principal Engineer,Current Employee,Ang Mo Kio,16/03/2023
4,Nil,Nil nothing to comment much except very regimented place Old school work style Elderly people retiring and many have had csc card and us their first job since day 1,nan,nan,Technician,Former Employee,Singapore,15/03/2023
4,I love it so far Its been a great place to work,I enjoy my job I like the people I like the environment the pay could be better but thats with every company the environment is laid back and relax as long as you come to work and get the job done the company really isnt that bad seems theyve made some great progress,nan,nan,Structural Specialist,Current Employee,Mobile AL,15/03/2023
2,Chaos,this is a very toxic work environment Everyone thinks they know more than someone else The turnover is crazy and they underpay their employees The parent company thinks their ideas are best and they are not interested in hearing anyone elses opinionsideas,nan,nan,Manager,Former Employee,Virginia,14/03/2023
3,Wasting time,Good work life balance waste time for clearance due to alot of red tapes mundane task not Good for long term growth Good people seeking balance in life,nan,nan,System Engineer,Former Employee,Ang Mo Kio,4/3/2023
5,Fun workplace,fun colleagues and chill environment many new things that I learnt including documentation coding and testing of the websites also talked with clients,nan,nan,Internship,Former Employee,Yio Chu Kang,1/3/2023
4,A lot of self learning is needed,Uncompetitive salary a lot of things need to be learnt independently the “training” providedpromised is usually nothing but having you ask the questions proactively if never ask questions Nothing will be learnt,nan,nan,Software Engineer,Current Employee,Singapore,28/02/2023
3,Workload is manageable,Good as retirement or entry level job but not much prospect for promotion No structured training or development Expected to pick up skills on your own,nan,nan,Software Engineer,Current Employee,Singapore,23/02/2023
4,Good Colleagues but low growth company,Colleagues at work are earnest and want to do their job well but due to limited resources many people are very stretched As a result the company has no bandwidth to try and do things better which leaks into a general sense of being in a slow moving company,nan,nan,Senior Engineer,Current Employee,Paya Lebar,22/02/2023
2,Stressful environment There is no 13months AWS not more than 1 month,ST Engineering doing a lot of thing or product For my division department is stressful environment lesser working experience designer and turn over rate super high There is no 13months AWS not more than 1 month,nan,nan,Hardware EngineerMechanical,Former Employee,Ang Mo Kio,17/02/2023
4,Overall good,Generally people are really nice and willing to teach there The work culture is pretty good Learned vendor management A lot of down time and waiting,nan,nan,Assistant Engineer,Former Employee,Ang Mo Kio,9/2/2023
4,Nice to work in ST Engineering and good working environment,Nice to work in ST Engineering and most of my colleagues were supportive and willing to share their ideas The corporate office is also nicer renovated and has a hybrid work arrangement,nan,nan,Finance Executive,Former Employee,Seletar,7/2/2023
5,Happy to work,Good place for work team is good and cooperative Work environment and culture is good There is no pressure on your work schedule or at work location,nan,nan,Mechanical Engineer,Former Employee,Singapore,7/2/2023
5,5 stars,What is the best part of working at the company Great company to work for in Pensacola What is the most stressful part about working at the company None great company to work for What is the work environment and culture like at the company Very good great people to work with day to day What is a typical day like for you at the company Very Very busy as a inspector,nan,nan,Aircraft Inspector,Former Employee,Pensacola FL,1/2/2023
4,Fun and relaxed workplace,It was a fun and interesting job but management tend to save on manpower thus a single person would have to multiple jobs Workload of others are always passed to you as others were incompetent or just didnt know what they are doing despite years being there,nan,nan,Senior System Engineer,Former Employee,SATCC,24/11/2022
4,Decent place for startersretirees,Decent place for fresh grad seeking to job seek or for retirees who want a stable job w constant income Pros is that has work life balance for me at least pay for quite decent Cons is culture heavily influenced by SAF lol,nan,nan,Technical Writer,Current Employee,Boon Lay,17/11/2022
3,No worklife balance although salary is good,Very tiring job no system strict management especially when it comes to working hours always lack of manpower to do the job language barrier between workmates,nan,nan,Aircraft Technician,Former Employee,Singapore POEA,15/11/2022
1,Lousy management,Isolated and ignore your hardworking and delivery successfully project And all hhe good credit from you is all claimed by others who do nothing and know how to talk well infront the managers,nan,nan,Senior Executor Content Design Develop Salaries,Former Employee,Boon Lay,28/10/2022
4,overall good place to work,Nice colleagues and support from the company Great working environment and learning initiatives Not so great food options but over all decent experience,nan,nan,Marketing Executive,Former Employee,singapore,27/10/2022
4,Work life balance,There can great learning opportunities if keen to explore work at different department would need to apply for transfer Work life balance subjected to the supervisor or Head of Department eventually,nan,nan,Engineer,Current Employee,West Singapore,26/09/2022
4,State of Mind,OK moving forward on the progress in life Its basically a job as we get there complete the assignment then go home and respectfully repeat the process Thats how it seems seen many skilled and talented coworkers and as the years pass so does the motivation The completion of the assignment is a great feeling Then notice a coworker that is overwhelmed with work and its not your fault or trade What do you do Learn a new skill or go home,nan,nan,HVAC Technician,Former Employee,San Antonio TX,6/9/2022
4,Good for fresh graduates,This company is good for fresh graduates as they hire many every year The work culture is highly dependent on your specific department Overall it is not a bad place to work although the salary is not so competitive,nan,nan,Associate Engineer,Former Employee,Singapore,4/9/2022
3,Army Culture,Parachuters from SAF to takeup high positions with little to no experience in management Those coming in from M3 grading and below be prepared to work hard and let this parachuters take credit for your efforts,nan,nan,Marketing Manager,Current Employee,Singapore,25/08/2022
3,Standard Army Style,Standard army style management Usually bosses are all man in green Depends on project can be fast paced or work life balanced Good place for learning for fresh grad,nan,nan,Software Engineer,Current Employee,Ang Mo Kio,20/08/2022
1,Follow through Never followed through,Honest opinionsthey do not follow through with promises We are working no that problem Thats just as far as it will go New Enginering 8 people in 10 years all starting projects Finished 2 or 3 Build rebuild remanufactured items to make job easy And then they did not purchase the material to do the job the new way ITS TOO EXPENSIVE but me needing to do 6 hrs of rework Is cost effective,nan,nan,Electrical Technician,Current Employee,Montgomery PA,20/08/2022
2,It’s ok,The weekly pay and my pay rate was honestly what kept me there There wasn’t enough volume to sustain an entire shift Every week the schedule changed I have been there 2 years and there have been good times and bad times I just go do my job and leave once my shift is over,nan,nan,Work History Customer Contact Representative,Current Employee,Middle River MD,13/08/2022
5,Productive and fun place,Generally ok good benefits and package provided Great learning place and good benefits It is one of the largest tech company in Singapore good portfolio,nan,nan,Principal Engineer,Current Employee,Yio Chu Kang,13/08/2022
