Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
5,Great Starting Company,nan,Nice team Work life balance Decent salary Good values,Old technology Multiple layers of approval Its a bank not a tech company,Software Engineer,Current Employee,nan,11/10/2022
4,Overall Good experience,nan,Nice working environment and colleagues are very friendly,Monthly sales target to achieve,Business Finance Manager,Former Employee,nan,25/08/2022
4,Na,nan,No opinion yet for now,The environment there is good,Personal Banker,Current Employee,nan,14/08/2022
4,Nice,nan,Working environment is friendly colleagues are willing to help,The system is old still print and scan,Anonymous Employee,Former Employee,nan,29/03/2022
4,Good place to work Recommended,nan,The company headquartered in SG with everything implemented well Overall not a bad place for starter Recommended,The conservative familyowned taste restricted a lot of opportunities,Manager,Former Employee,nan,06/03/2022
2,Super conservative and highly political workplace with belowpar peers,nan,Job is more stable than the average of the industry 2 hours lunch break Good sick leave policy,Super conservative because it is familyowned Highly political culture which is counterproductive Qualifications of peers are generally quite low comparing with average industry standard,Anonymous Employee,Former Employee,nan,02/03/2022
4,current employeer,nan,good company to work flexible work hours,have not seen yet no cons,Lead Consultant,Current Employee,Houston TX,12/01/2022
4,Okay,nan,Good Salary Good Location Additional benefits,Work Life balance Tight deadlines,SVPTechnology,Former Employee,nan,01/01/2022
5,Risk Priority,nan,People first Not only take care of customers but also employees,UOB is a regional bank,Internal Auditor,Former Employee,Seattle WA,26/02/2021
5,youll got your promotion based on your work,nan,they promote an organic growth,they have a long working hour,Business Banking Manager,Former Employee,nan,08/02/2021
0,nan,nan,nan,nan,nan,nan,nan,
5,Great company to work with,nan,Professional and wellequipped office enviornment Welltrained employees Reasonable compensation and other offers Company has global network to share market comments,Might need to work overtime sometimes Detailed work division might cause always focusing own duties and lack of bigger picture,Dealer,Current Employee,Los Angeles CA,06/02/2017
4,Strategic Communications staff,nan,Bank has integrity in providing products and services to customers,Singaporecentric resulting in marketing communication processes getting stalled in local markets,Assistant Vice President Writer and Regional Copyeditor,Former Employee,Cambridge MA,14/07/2016
4,UOB AB,nan,continued employment for those who perform well at their work,low salary limited chance for promtion,Analyst Programmer,Former Employee,Milpitas CA,26/06/2015
4,Not a bad experience,nan,The people there were very friendly and ever willing to teach you Workload was very manageable,Technology wasnt very up to date Things seem to be moving very slowly,nan,Former Employee,nan,27/09/2016
3,financial officer,nan,good culture generally people are nice,salary and benefit are under average,Financial Officer,Former Employee,Rochester NY,22/07/2015
5,Great experience,nan,NAME,NAME,Risk Management Intern,Former Employee,Seattle WA,03/11/2015
5,Intern,nan,Good Work Dynamic very nice colleagues,Non Everything I experienced was very good,nan,Former Employee,nan,27/12/2017
3,Revenue is only way to prove your value,nan,Good employee benefits Good training provided Colleagues are nice,No work life balance Endless cold call Although they mentioned not hard sales but actually it is still depends if you dont hv number for the month The only blaming are you why dont push harder and convince your customer deeper So if you are a soft heart person youre not welcome to take this job as well Its not a bad job just that if you are not a sales mindset people you wont able to bear the stress If you are seeking for continuously improve you value I dont think this position suit it For this position only numberrevenue defined your value in the bank,nan,Former Employee,Singapore,16/03/2023
1,Bad culture Not recommended,nan,Good benefits and decent amount of good colleagues,Pay wise is nowhere as high as EuropeanUS banks Few things to highlights in the technology side 1 If youre unlucky you’ll get an oldtimer manager who micromanaging a lot and scrutinizes unnecessarily instead of growing the team 2 Always ask for process improvement including presentation of how other banks if you’re from another do things but never accept different perspective Almost waste of time presenting 3 They do catch up to other banks like DBS in terms of customer facing applications but lack of centralize systems for internal use Very behind that of DBS and still using excel like a database Excel is only as updated as someone willing to update it not a live info 4 Brought in new technologies to play catch up but always stuck in one or two team because every team is so silo and there’s a lack of direction to cascade to every division 5 A lot of old timers who doesn’t understand the importance of collaboration between teams Full of backstabbing instead 6 A lot of long working hours in various teams can be reduced significantly if automation is in place The problem is many people lack exposure on how things are automated in more advance banks and they think that they must work this long to complete it 7 Some old managers so call “knowitall” mindset is actually “know nothing” in EuropeanUS banks or even DBS These people doesn’t even have a Linkedin profile or understand how the modern management works The list could go on but these are the key problems,AVPIT,Current Employee,Singapore,29/12/2022
