,Rating,Title,Pro,Con,Job Title,Status,Region,Date
0,5.0,Great place to work,"Large company, lots of support, good parental leave","Raleigh is small office, fewer local clients than other offices, so travel may be necessary, but great company regardless",Management Consultant,Current Employee,"Raleigh, NC","Oct 24, 2022"
1,5.0,Analyst role review,People are smart and fun. Learned a lot.,Hours and intensity of work.,Analyst,Former Employee,"New York, NY","Mar 24, 2023"
2,5.0,Alot of Jobs One Home,"There are a lot of pros working for Accenutre. They have great career opportunities, a never ending supply of interesting work, competitive compensation, wonderful benefits, great people, wonderful training programs, a tremendous number of brilliant professionals in their fields ready to help, and great core values.",This is not an opportunity for those that do not want to work. At Accenture everyone has a load of work to do and often times under very tight customer time lines. It is a challenge that I enjoy but many might find it stressful.,Infrastructure Manager,Current Employee,"West Lafayette, IN","Sep 21, 2015"
3,1.0,"Toxic, Incestuous and Suck-Up culture !","I was a lateral senior hire from another firm into Accenture’s Strategy Consulting practice. And boy oh boy, I had no idea what a toxic place a work environment could be in todays times, and in the US, especially amongst supposedly well educated and composed folks. I was in for the rudest shock I have experienced in my 15 year career. The other ‘senior managers’ were rude, unwelcoming, abrupt, closeted and down right hostile. The partners to whom they had sworn their loyalty to, sheparded them, coddled, and ‘protected’ them, gave them the choicest billable roles, while I was the black unwanted sheep. It took a few months to realize, the toxic, inbred, incestuous culture was one of ‘BROWN NOSING YOUR WAY UP’ ! The way to cling to and climb the ladder was purely based on this one vital ability ! A lateral hire, though more qualified and creative, was a threat, to the insecure incestuous bunch. I was later told during my exit interview, ‘yes, it’s difficult to assimilate as a senior lateral hire !” !!! HA ! So, if you want to go jump into a toxic hole, then be my guest. To me, it was one of the worst experiences in my life ! Ever wonder where these genes came from ? Look just back to the deceptive ‘Anderson Consulting’ days….the Apple doesn’t fall far from the tree. And look for their breed implanted in other companies, which is traditional practice in consulting, for them to ferry and curry out consulting deals to their heathen !",See pros above for your creative process to imagine what the cons could possibly be !,Senior Manager,Former Employee,"New York, NY","Mar 7, 2023"
4,2.0,They need to take more responsibility to give new hires real opportunities,"Smart people, good resources, great client base","There isn't any time to learn on the job and everyone assumes you will know exactly what to do on day one, so be careful what level you come in at. Lower levels are safer because analysis work is pretty standard and managers and senior managers will give you templates and more guidance. Senior managers are basically screwed because managing directors don't have time to show them the ropes and the rest of the team is depending on them to already know how to do it a certain way the team is used to. When trying to get on projects, senior managers and managers will also find out that managing directors already have their favorite ""go to"" people they have worked with for years, so they will ONLY pick you if those people are unavailable. Because of the fast nature of everything, if you make one wrong misstep, it will be assumed it is because you are incompetent, not that you misunderstood the ask or something else was the cause.",Senior Manager,Current Employee,"Chicago, IL","Feb 21, 2023"
5,3.0,Rat Race!,Smart people and great offerings. Very diverse environment which is good to see. People willing to help if you ask and if they have time.,"The Accenture system and culture is not conducive of helping new hires scale and succeed. After 2 week orientation, you get sucked into politics, everyone trying to meet their numbers and massive internal competition which can really slow you down. You either need someone to look out for you and help you as a mentor. Conflicting approach given by multiple managers you report into. Peers in sales teams seem to be part of a rat race. No help/time to understand, shadow and learn. Tuff place for newbies but hopefully once you find your home and stride..things might be different.",Sales Capture Manager,Current Employee,"San Francisco, CA","Mar 23, 2023"
6,3.0,"Mediocre, disorganization is hard to get past","Values learning and teaching Good ppl to work with Nice PTO, 17 days PTO as an apprentice Cool discounts I guess Meet international clients","-Too big and incredibly disorganized to the point where it’s hard to do your job -I joined as an apprentice for project management then they gave me a completely different role -Didn’t pay me enough to care, you’re just a number there -Office is built into and over a train station -No company culture even when you go into the office, hard to feel comfortable -You pay $15+ daily for parking to go into an office where your desk is just a table. -Everything is new but they only give you free water and coffee. Smaller companies offer more in terms of office comfort (free snacks, occasional lunch, etc.)",Project Management Apprentice,Former Employee,"Chicago, IL","Mar 23, 2023"
7,5.0,Supportive managers and challenging projects,"-great managers who will support and make sure that you reach that next level in your career -peers and managers who want to see you grow in your projects as well as internally at Accenture -everyone I have worked with are amazing individuals who are willing to help each other out; they do not hesitate to answer your questions or provide guidance if you have questions or concerns -leadership team takes in feedback well and strive to continually improve the business group -overall, I feel like I am always supported by my seniors as well as my peers, which is something that is so beautiful to experience at such a large company!","-not that I can think of as of now. So far, my time at Accenture has been extremely amazing. no complaints",Business and Integration Arch Senior Analyst,Current Employee,"San Francisco, CA","Mar 10, 2023"
8,2.0,Program not suitable for those who have coding experience and passion,The pay and work-from-home options are great for starting out in the tech field.,"They usually recruit from coding bootcamps and place you in non-coding positions or positions that rarely get exposure to any coding language. For example, my entire cohort at Accenture was placed in design or testing roles. Then, after a year of doing mindless busy work, you have to apply for other projects, but you won't be matched to or hired into any position but the ones you started with because you are matched to certain roles and get a score for your skills with the company.",Software Engineer Apprentice,Former Employee,"Austin, TX","Mar 23, 2023"
9,4.0,Great Overall But Easy To Be Overworked,100% Work from home --- Encourages constant learning / Great place to earn certifications --- Incredibly broad range of clients you can potentially work for --- Good place to build experience quickly --- Typical benefits --- Travel for work is possible,"Meeting the demands of both the client(s) and Accenture internally can put a strain on your work-life balance. They mean it when they say they encourage a healthy balance (not punished for setting boundaries), but your career progression will be quite slow unless you are overworking constantly. At least in regards to software developers, the pay is lower than you could receive elsewhere, especially if you have specialized knowledge and experience. Travel sometimes required / not optional",Business and Integration Arch Senior Analyst,Current Employee,"Nashville, TN","Mar 4, 2023"
10,2.0,Lots of marketing little substance,Good flexibility and wide variety of engagements across many solutions and industries,"They are almost exclusively turning into a sales organization rather than client value. Contracts are poorly sold, understaffed, and underbaked. What's worse is that they preach equality, sustainability, and inclusion as loud as they possibly can but my experience has been the opposite and I ran into some incredibly unprofessional and borderline discriminatory dynamics during the short time I was there (ex. leaders not knowing my name and calling me other names yet still feeling comfortable enough to submit a review on my work without consulting my direct manager for an evaluation)",Tech Strategy Consultant,Former Employee,"Chicago, IL","Mar 21, 2023"
11,4.0,Great professional experience,"If you want to learn a lot, you'll have the opportunity. People have been very friendly and supportive. All things considered, the compensation is decent. The hours aren't bad either.","If you really want to grind and put in the hours while you're young, Accenture Federal might not give you that chance, at least in my experience. It's a very comfortable career that would be a great fit for lots of people, but if you're looking to really push yourself then the corporate, lockstep promotion cycle might grate on you",S&amp;C senior analyst,Current Employe,"Washington, DC","Mar 23, 2023"
12,4.0,First job outta college. Low expectations. Lower pay.,- The work isn't very challenging and you can probably climb the ladder with a low-to-medium amount of effort. - The people are really nice and supportive. - Tons of insurance and benefit packages to choose from when you're hired.,"- Low pay. I live in a low cost of living city, and after my bills and other necessities I don't have much to save, invest, or have fun. - Boring work (but maybe it's just not for me) - Seems far behind other tech companies in terms of utilizing new / innovative technology",SAP ABAP Developer,Current Employee,"San Antonio, TX","Mar 20, 2023"
