Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
3.0,None,Learned about IT Infrastructure and Governance methodologies,,,SI Consultant,Current Employee,City Hall,"August 31, 2013"
4.0,Good Company,"It was good initially, but now it has changed, there is work pressure, no proper hikes. Work environment is good, Management is ok. For freshers it will be okay, we cannot stay for long time.",,,Software Developer Analyst,Current Employee,"Bengaluru, Karnataka","March 25, 2023"
4.0,Productive yet fun.,"What is the best part of working at the company?
Culture and opportunities of growth.

What is the most stressful part about working at the company?
Favoritism would be one of the stressful situations.

What is the work environment and culture like at the company?
The collaboration and comrodary of your team members.

What is a typical day like for you at the company?
Organizing your work load to accomplish deadlines.",,,General Accounting Ops Analyst,Former Employee,"Austin, TX","March 25, 2023"
5.0,Work environment,great work environment and good chances for carrier development and WFH option Employee benefits including food coupons and the project life cycle personal development,,,Senior Software Engineer,Former Employee,hyderabad,"March 25, 2023"
5.0,Productive and fun workplace,Good experience for career development. The workplace is pressure-free wherein you can work and do it with your own pace. It was a fun experience working here.,,,IT Staff,Former Employee,Pasig,"March 25, 2023"
5.0,Productive fun place to work at very understanding mangement great experience,Really nice company to work with being a fresher working with them was really great taught me alot of things for my future nice environment everyone is very supportive and helping.,,,Talent Acquisition Specialist,Former Employee,"Navi Mumbai, Maharashtra","March 25, 2023"
4.0,Exhausting long hours of work,"Work life balance depends on the project. But most of the projects have longer shifts. Good learning experience at the cost of health and peace.

Good for hikes compared to other similar companies.",,,Application Development Analyst,Former Employee,"Hyderabad, Telangana","March 25, 2023"
5.0,Good Benefit,Nice place to work with. Lucky enough to be with a healthy working environment and benefits here are good and competitive. Good training ground for newbies as the offer free certifications,,,Associate Software Engineer,Current Employee,"Cebu City, Cebu","March 25, 2023"
4.0,There are lots of benefit. Pretty structured,You receive training which is not that helpful. The organization is pretty big and move quite slowly. Just a typical office job in a huge company. It comes with working overtime for many weeks.,,,System Analyst,Former Employee,Thailand Bangkok,"March 24, 2023"
5.0,Great place to start,"Definitely a great company to start your career in IT and consulting. The company gives you all sorts of tools and possibilities to learn, grow and acquire new skills.",,,Cloud Migration & Imp Associate,Current Employee,"Provincia di Roma, Lazio","March 24, 2023"
5.0,Great Place to Work,Accenture has great initiatives across the board including an apprenticeship program. The company has room for anyone to do anything they’d like. Your experience is what you make it.,,,Application Development Analyst,Current Employee,Remote,"March 24, 2023"
3.0,Great team but low basic salary,"If youre applying for operations dont expect too much on salary,but great activities every friday and fun team mates.
Great benefits but slow growth and not enought annual increase",,,Data Analyst,Current Employee,Mandaluyong City,"March 24, 2023"
5.0,"Good, Productive, encouraging, continuous learning","Its good working here, I feel pressure sometimes when more CRQs or work, and I also feel relaxed sometimes, we have good communication among our team, everyone in my team are very supportive and encouraging , we can learn so many new things and we can enjoy at the same time.",,,Quality Engineering associate,Current Employee,"Hyderabad, Telangana","March 24, 2023"
3.0,Work culture,"Work culture is great howver yearly increaments and promotions are a bit difficult. Growth is very slow, people are good but a lot politics happens at the management level",,,Senior Analyst,Current Employee,"Mumbai, Maharashtra","March 24, 2023"
3.0,Not that good could be better,Not that good could be better. Accenture just needs profits and being on bench will not allow you time to study and get certifications alot of people will bother you asking you to work for them even if you do not agree with the shift. You can not choose what you really want to pursue.,,,data Engineer,Former Employee,Mandaluyong City,"March 24, 2023"
5.0,Nice place to work,"Get Support from manager and colleag and Great support done by Accenture while the time of pendemic.work place team make sure to keep clear, workstation.",,,Senior Assistant,Current Employee,"Mumbai, Maharashtra","March 24, 2023"
4.0,Economics of Scale,Accenture was good in the sense that it gave you a good foundation for learning about the business and having A LOT of resources to offer you personally and professionally.,,,Sales Analyst,Former Employee,"Chicago, IL","March 23, 2023"
4.0,Amazing,work for accentur in a Ulster Bank contract. Best from home data entry job!. but very short 6 month contract. will do it in a short beat. Strange and annoying to talk to team leaders and management.,,,Data Entry,Former Employee,"Dublin, County Dublin","March 23, 2023"
4.0,Fun place,"Amazing work environment, friendly people. Your experience in a company depends on your contribution; more the merrier. Great place to work with new opportunities to learn and grow",,,Analyst,Former Employee,Helsinki,"March 23, 2023"
3.0,Perhaps not the best place to work at (Tech consulting),"Onboarding was minimal, project I was allocated to was messy and too bureaucratic. People are nice but the organisation has gotten too big for there to be quality guidance and help. Better places out there to work at.",,,Summer Intern,Former Employee,Singapore,"March 23, 2023"
5.0,Excellent growth,Learned a lot and groomed myself a lot. Career growth is excellent. Salary hike is also very good. Management is supportive. Only problem is graveyards shifts. Other than that everything is good about this organisation.,,,Senior Customer Service Associate,Current Employee,"Gurugram, Haryana","March 23, 2023"
3.0,None,Learned about IT Infrastructure and Governance methodologies,,,SI Consultant,Current Employee,City Hall,"August 31, 2013"
4.0,"Great on inclusivity, diversity; Difficult to navigate and build relationships",Accenture is a very cool company. There's limitless opportunities to learn and grow. But it can be difficult to break through and build meaningful relationships; particularly if you're working 100% remote.,,,Recruiter,Current Employee,Remote,"March 23, 2023"
