,Rating,Title,Pro,Con,Job Title,Status,Region,Date
0,4.0,It’s an okay job but not to stay for years,"Good pay at the time, double pay on holidays, 2 breaks, water all over facility, free supplies","Overworked you, There was times you literally just stood there without any work in the lines",Warehouse Associate,Current Employee,"Stockton, CA","Sep 5, 2022"
1,4.0,Trimbech Logistics Review,Very fair job that well and trusted employees to work autonomously and do there job  professionally,Physically draining and no where to grow.,Amazon Delivery Driver In London,Former Employe,,"Sep 22, 2022"
2,5.0,Associate,pay is fair to the public,workload is too much to ask,Associate,Current Employe,,"Oct 6, 2022"
3,5.0,Great Job,Good atmosphere and great people,Work Load heavy sometimes excessive,Warehouse Worker,Former Employe,,"Oct 7, 2022"
4,3.0,Area Manager,Very flexible and lots of time off.,Senior management has no idea what is going on.,Graduate Area Manager,Current Employe,"Saint Louis, MO","Nov 30, 2022"
5,5.0,Culture,AWS lives by their culture. When they SAY something they do it. Like saying family work life balance is important. Since switching to AWS I have had more family time by far than I did with my last two jobs. It is incredible. Management is fair and my coworkers actually like coming work (something that I haven't experienced before).,The only con is that AWS isn't closer to where I live.,DCEO ( EOT),Current Employee,,"Jul 21, 2022"
6,2.0,Hit and Miss,"The volume of learning and growth you experience is unmatched, given that you are committed to make the most of it.

Your team will be some of the smartest people you ever worked with","Your experience is highly dependent on the Org. and your Manager. If you see any red flags here, be ready to walk away because they will dictate what your experience will be like at Amazon. 

Poor Managers will use power and intimidation to enforce compliance from you if theres anything about you or your performance they don't like.",Software Engineer II,Current Employee,,"Jul 12, 2022"
7,4.0,Very flexible,Helped a lot in multiple situations and are willing to work with you,Very hard work but worth the pay,Associate,Former Employe,,"Sep 14, 2022"
8,5.0,Very good!,Working in a Sort Center. Coworkers are very kind and helpful. My manager really cares about my career. Gives a lot of hands-on experience so you learn a lot as you go. Good benefits/relocation package and good enough pay (where I'm currently living).,24 hours operation so you can be placed either really early in the morning or leave really late into the night. Not for a person who wants a 9-5 job.,SR. Human Resources Assistant,Current Employee,,"Jul 26, 2022"
9,3.0,Amazon Review,Easy work More options of work meaning you can learn anything one thing in the building,"They slave you , it’s not completely hard but they do want you to complete 250 packages every hour and it’s a 12 hour shift",Warehouse Worker - Package Handler,Former Employe,,"Nov 7, 2022"
10,5.0,they were great associates,the pay was stable and the people were very easy to work with.,the hours were not always the best,Warehouse Order Picker,Former Employee,"Stockton, CA","Sep 27, 2022"
11,5.0,Long hours mindless work,"Just follow the steps
Listen to music, podcast etc.. 
Access everything job related from an app on phone. Get paid early, able to request time off without any notice, and lots of volunteer time off opportunities, also accumulate paid time off which you can use whenever.
Room for advancement if you are a overachiever","Long 12-hour shifts are killer but 3 day work week makes up for it
Lots of overgrown children",General Warehouse Associate,Current Employee,"Charlotte, NC","Aug 24, 2022"
12,3.0,Rewarding work,Thank you to Amazon for the opportunity to deliver packages. Part-time hours works well with my schedule.,Involves some heavy lifting; tough and fast paced,Delivery Driver,Former Employe,,"Oct 16, 2022"
13,3.0,Sort center associate,"Flexible hours, different roles inside the sort center, easily pick up extra shifts when volume is high","Poor management, low head count, poor leadership",Sortation Associate,Current Employee,"Newark, CA","Oct 16, 2022"
14,2.0,warehouse,friendly community supporting each other,bad man jeff always lurkin,Warehouse Worker,Current Employe,,"Nov 2, 2022"
15,4.0,Exhausting,"Job security, good insurance, virtual","No work-life balance, they expect too much for little pay",DLS Case Manager,Current Employee,"Dallas, TX","Oct 17, 2022"
16,3.0,Review,Teamwork Reliable Good salary Overtime,You can work long hours,Information Systems Security Officer (ISSO),Current Employe,"Arlington, VA","Nov 1, 2022"
17,3.0,Exactly what you'd expect,Decent pay. East to pick up shifts. Managers were professional.,Boring. Repetitive. Pretty anonymous because there are so many people there,Warehouse Associate,Former Employee,"Pittsburgh, PA","Oct 18, 2022"
18,2.0,Cashier,Pay is so amazing love it,Work is not amazing hate it,"Floor Staff (Box Office Cashier, Concessions, and Usher)",Current Employe,,"Oct 31, 2022"
19,2.0,Yes,Really nice people all the time,Very very cold all the time,Package Handler,Former Employee,"Miami, FL","Oct 31, 2022"
20,4.0,Underpaid,"Fast paced, no nonsense environment",Underpaid compared to industry competitors,Program Manager I,Current Employe,"Tempe, AZ","Nov 1, 2022"
21,4.0,Good opportunities,Good opportunities Learning environment Challenging Multipel tools,High expectations Multiple ongoing tasks to focus on Some managers dont recognize your efforts,Quality Assurance Engineer,Current Employee,,"Oct 19, 2022"
22,3.0,Not good,Great pay. Flexible. Time off.,Cold. Don’t care about your comfort,Warehouse Worker,Former Employe,"Nashville, TN","Oct 30, 2022"
23,4.0,No Direction,"4 day work week, A lot of incentives,","No guidance on goals, unachievable daily goals, every shift operates differently, upper management does not take responsibility for anything but complains about everything, will block promotions.",Asssociate,Former Employee,"Spartanburg, SC","Sep 17, 2022"
24,5.0,Some,Good for starting tech people.,Bad if you don’t like to use your brain and hands all day.,Technician,Current Employee,"Fort Wayne, IN","Oct 20, 2022"
25,3.0,Good place to start career. lot of growth opportunities.,Good place to start career. lot of growth opportunities.,People are treated like machines,Software Development Engineer II,Current Employee,"Seattle, WA","Oct 20, 2022"
26,4.0,a,- fair compensation - good benefits - good team - good life and work balance,- some rules are over strict,Warehouse Worker,Former Employee,"Robbinsville, NJ","Oct 20, 2022"
27,4.0,Great place,Meet new people when you work,You can get tired easily,Amazon Prime Now Shopper,Current Employe,"Davie, FL","Oct 29, 2022"
28,5.0,Air,Pay is great Team Warehouse,"Not really any con, it's work",Anonymous Employee,Current Employe,,"Oct 29, 2022"
29,5.0,Good WLB,good flexibility with team choice,the work-life baLANCE is ok,Software Engineer,Current Employe,,"Oct 29, 2022"
30,4.0,Monotonous work,"Good pay and good opportunities for overtime.
3-4 days off based on schedule.",Long nights if working overnight.,Customer Service,Former Employe,,"Sep 30, 2022"
31,5.0,very good,teammates are supportive and calculation resources are plenty accessible,NO obvious cons at least for me.,Applied Scientist Intern,Current Employe,,"Sep 30, 2022"
32,5.0,Great Benefits,Amazon has a great benefit package and competitive pay,The long hours and toxic work environent,Area Manager,Current Employe,,"Oct 1, 2022"
33,2.0,Good resume booster and management experience,Boosts resume Get management experience in logistical operations and people management 4 day work week,Long hours No breaks Lack of communication,Area Manager,Current Employee,"Rancho Mirage, CA","Nov 16, 2022"
34,5.0,Great place to work!,"Supportive managers - personally and professionally
Quality, professional teammates
Clear expectations with thorough documentation/training
Appreciative of your contributions
Fair compensation
Good work/life balance",Dispersed international team requires nimble scheduling,Sr. Analytics Lead,Current Employee,"Sarasota, FL","Sep 19, 2022"
35,5.0,Love working for Amazon,"1. Good medical and 401k Benefits
2. Culture of giving employees the flexibility to work in different teams",1. Compensation for new hires and promotions,Program Manager,Current Employee,,"Sep 19, 2022"
36,5.0,Challenging but rewarding workplace,There are many opportunities to use skills and challenge yourself with new experiences.,The cross team communication is a big hurdle and requires persistence.,DC/Project Manager,Current Employee,"Naples, FL","Sep 19, 2022"
37,4.0,Awesome job,"Able to choose shift and hours, benefits are great, overall a good job.","Very physical, and got to be able to be on your feet for long periods.",At-Home Advisor,Former Employe,,"Aug 26, 2022"
38,5.0,Best Organization to work,"1. There are lot of opportunities to learn and grow as a professional
2. You will face challenges that help you become better at your work and improve your skill.
3. Of course good compensation and health care benefits","A new joiner might find it difficult to fit into the work culture. It might take some time considering Amazon is unique in all its ways. 

Sometimes there might be stress at work , but your team and manager will always help you get through it",Business Intelligence Engineer,Current Employee,,"Jul 10, 2022"
39,5.0,Great Place to work,Great place to work with brilliant people. It's complex and fast paced. But if you are willing to learn it's fantastic.,I don't have cons. It's overall a great place to work.,Sr Financial Analyst,Current Employee,"Bellevue, WA","Sep 10, 2022"
40,4.0,A lot of opportunities overall,You need to find a good team to be successful,Be ready for stressful work,Software Engineer,Current Employee,"Seattle, WA","Oct 23, 2022"
41,4.0,SWE,"Great culture, on a great team",Not sure if what I do is helpful,Software Engineer,Current Employe,"New York, NY","Oct 27, 2022"
42,4.0,Good pay hard work,The pay is pretty good,Not a very exciting work environment,Software Engineer,Current Employe,"Boulder, CO","Oct 27, 2022"
43,5.0,Good management amd co-workers,Fun people to work with,Long days and sometimes repetitive,Package Handler,Current Employe,,"Oct 27, 2022"
44,4.0,Flex associate,good hours flexible good work culture,low pay bad management no career opportunities,Flex Associate,Former Employee,,"Oct 27, 2022"
45,5.0,Great,"Great team dynamic, great manager",Tight bandwidth and can be difficult to grow,Customer Success Manager (CSM),Current Employe,,"Oct 27, 2022"
46,3.0,"Good company, bad leadership","Fast, innovative, and smart people",No culture of compliance or ethics whatsoever,Sr. Risk Manager,Current Employe,,"Oct 27, 2022"
47,5.0,RTA at amazon,Good evironment. Good pay salay,A lot of work and sometimes need to work OT,RTA Analyst,Current Employe,"Boston, MA","Oct 23, 2022"
48,3.0,Trans Manager,"Okay pay, okay benefits, okay job","Heavy work load, Work life balance , Difficulty moving up or around",Transportation Manager,Current Employe,,"Oct 23, 2022"
49,3.0,Facts,Good medical benefits and flexible schedules,The base pay not as competitive as the other industry,Associate,Current Employe,"Riverside, CA","Oct 26, 2022"
50,5.0,Pay,It has good benefits there.,It just need a higher pay.,Warehouse Associate,Current Employee,"Carencro, LA","Oct 5, 2022"
51,4.0,Good,-great pay and good managers,-long shifts which require standing for several hours,Fulfillment Center Associate,Former Employe,,"Oct 5, 2022"
52,5.0,Really good,Amazon pays really well their employees,A lot of work involved,Anonymous Employee,Former Employee,,"Oct 5, 2022"
53,5.0,Great,"Long hours, great benefits, weekly pay",Can be hard on the body,Package Handler,Current Employe,,"Oct 5, 2022"
54,5.0,High Impact Job,High impact to the customers,stocks policy is not ideal,Software Engineer,Current Employee,"Sunnyvale, CA","Oct 5, 2022"
55,5.0,amazon associate,good schedule for the futute,bad managment at time of hire,Amazon Associate Tier I,Current Employe,"San Bernardino, CA","Oct 5, 2022"
56,5.0,Amazing,work life balance Benefits Pay,Work culture Micromanagement workload No food benefits,Recruiter,Current Employee,"San Francisco, CA","Oct 5, 2022"
57,2.0,Management needs an overhaul,The benefits are almost on par with other large tech companies in the area.,"Hostile work environment if you happen to have a not so great manager/boss. If you are becoming more successful in your area, other may try to get you to leave.",Administrator,Former Employee,"Seattle, WA","Oct 5, 2022"
58,4.0,It was okay,You can come in whenever you want as long as you have time. It was also the easiest job I’ve ever had as a packer and everyone in the Night Shift was cool. Nobody was really micro managing and overall I enjoyed it,The hours were long and it felt like I’d been working for hours.,Packer,Current Employe,"Robbinsville, NJ","Aug 16, 2022"
59,5.0,Working with Amazon,"""Their health benefits is good and their career choice is helpful to start a new career.""

""They pay good for the work.""","""Have to work long hours and less number of breaks.""",Software Developer,Current Employee,"Tempe, AZ","Sep 12, 2022"
60,5.0,Great experience,"Great work life balance. My manager has taken the time thus far to ensure a flawless onboarding process, to ensure I've familiarized myself with the various roles at Amazon.",It is sometimes hard to find certain documents or processes.,ERC - DLS Associate,Current Employee,,"Sep 29, 2022"
61,1.0,Amazon Delivery Station,Vacation and PTO policy is amazing.,Long hours No breaks 10+ hour days (12-13 hr days even though your offer letter will say 10 hours.),Area Manager L4,Former Employee,"Doraville, GA","Nov 15, 2022"
62,5.0,Collaborative Team,"- Recruiters and teams are collaborative, share best practices, and support each other in their work
- Lots of opportunity to innovate and try new ideas
- Challenging and engaging work",- Lots of systems to manage,Sr Client Lead,Current Employee,"Denver, CO","Oct 3, 2022"
63,3.0,Draining,The pay is better than most places hiring and it offers good benefits.,"It is very isolating and overly demanding. In serious matters, you wont find many people willing to help out.",House Cleaner,Former Employe,,"Sep 21, 2022"
64,4.0,On-boarding and culture at AWS,"-3 month on-boarding process is very structured, but set up to go at your own pace and flexible.
-Process allows for time to get trained, transition to your role and learn the culture of AWS
-Culture at AWS is like no other in a good way; leadership principles exist for a reason and they are exemplified throughout your daily activities","-Some of the on-boarding activities aren't tailored for specific role and seems a bit excessive.
-Juggling on-boarding with job responsibilities is a bit challenging.",Senior Customer Practice Manager,Current Employee,"Washington, DC","Aug 9, 2022"
65,4.0,Not as bad as you hear.,"- 4 day work weeks, 3 days off - VTO is offered frequently - Great benefits that start on day 1",- 10-hour days - They track everything you do,Associate,Former Employee,"Elgin, IL","Oct 5, 2022"
66,5.0,"Talented people, Long hours, and Rewarding Experience",You'll work with a group of talented engineers in different areas and keep learning from the best!,Schedule is tight so you'll need to prioritize your daily tasks.,Anonymous Employee,Current Employee,,"Oct 5, 2022"
67,4.0,It’s good,Good pay. Young people who like being happy. Inclusive of LGBTQ and culture of respect for black and POC. Not micromanaging.,Physical. You have a quota. The system writes you up for mistakes that are trivial. You will be exhausted and want to sleep hours after your work day. Too tired to move and get to spend time with kids and family.,ICQA Associate,Current Employee,"Portland, OR","Sep 4, 2022"
68,4.0,"Kool-Aid, Anyone?","Pay is very good, Good Team & Leaders","Steep learning curve, very different",Senior Technical Product Manger,Current Employee,,"Sep 22, 2022"
69,2.0,¯\_(ツ)_/¯,"There's free snacks and I get a good amount of time off, not that the culture would ever allow me to actually use it.",I don't like how a lot of my fellow employees are treated.,Administrative Assistant,Current Employee,"Seattle, WA","Oct 6, 2022"
70,3.0,Smoke screen,"They pay you for working. If you want to learn more, they will let you","Everything else sucks. Communication with the company. The way they dish out time (PTO, Vacation) I could go on and on. It's just not a career type of job. They only want bodies in there they don't really care who it is and they don't care about anything else. I feel like I'm reporting for a 12 hour jail sentence when there. If you have a situation and our UPT is negative you will be terminated... PERIOD. You don't feel like a valued part of the company. You are disposable. They give 20 hours to use but your shifts are 10 or 12 hours. You miss 2 days and you're done",Learning Ambassador,Current Employee,"Sparrows Point, Optional[MD]","Aug 5, 2022"
