,Rating,Title,Pro,Con,Job Title,Status,Region,Date
0,5.0,Great work atmosphere!,"Great work atmosphere, friendly co-workers, great benefits",None- I love it. Highly recommend,Customer Care Representative,Current Employee,"Columbus, OH","Mar 25, 2023"
1,4.0,"Challenging, Rewarding,  but ZERO  work/life balance.   Most satisfying ,   most difficult and most  rewarding job ever.","We work with geniuses - in every department,   We create innovative products that thrill our customers and create new product categories -  who else can say that?","ZERO   ZERO   ZERO   work/life balance.   Execs have been saying for YEARS that they understand and will make it better.  But in actuality,  it gets worse every year!  It is obviously top management LIP SERVICE because if they meant it,  they could fix it tomorrow.   They have hundreds of BILLIONS in the bank.   If they REALLY cared about employee work/life balance,  they could bring aboard the right number of folks to make that issue dissolve.   Sick of hearing the lies.   Just don't lie about wanting to fix it,  when they clearly DON'T care",Anonymous Employee,Current Employee,,"Aug 28, 2014"
2,5.0,At-Home-Advisor,"The position is at home. The company is AMAZING. There are limitless advancement opportunities. You work with some very cool people and the leadership cares about your development. You may get coaching but you never get battered or belittled. The pay is decent and the benefits include, 401(k) match, stock purchase options, product discounts and discounts on services across many different areas, education assistance, child care assistance, paid vacation, sick time and other time off options, health club Reimbursment or bike cost set off. You get 1.5 time for OT and it's pretty much unlimited as long as you don't exceed 12 hours in a day or 59 total in a week.",The schedule changes every 90 days and you have to bid for your shifts so you never know what you are going to get. This makes it extremely hard to plan your life to far in advance. You are also pretty much assured to work a Saturday or Sunday.,Home Advisor,Current Employee,"Lakewood, CO","May 13, 2015"
3,5.0,Changing the world (in a small way),"Working at Apple means that the things you work on get into the hands of hundreds of millions of people, literally. It's a lot of pressure to get things right and drives one to do the best work of their lives. 2+ years later I'm still blown away by the talent and creativity of people I work with.","It's a lot of work, teams are usually strapped for resources and under pressure to deliver on strict timelines leading to high stress and long hours at certain times during the year.",Software Engineer IV,Current Employee,"Cupertino, CA","Jan 22, 2016"
4,5.0,A Company as Meticulous as Their Products!,"Competitive Pay, Great Benefits, Amazing People, Great Work, Awesome Opportunities, Excellent Experiences, Great atmospheres in a beautiful store, no matter where you're working!",None! I had one of the best times ever at this company. Hopefully I stay to go on to corporate!,Specialist,Current Employee,"Tempe, AZ","Mar 10, 2017"
5,5.0,Very well run company. Excellent career growth.,Very good pay and benefits. Management genuinely appreciates good work done. They provide good compensation raises and bonuses to keep you. Leave credits to you fairly. And the stock appreciation does give you some good upside. The employee purchase plan (EPP) is good. Plus they have EPP+ which gives extra money for purchases every three years. The company buys and uses some of the best software packages from vendors and so you are enabled to do a very high quality work using the best software there is.,Very hectic work life. My group has a requirement that nobody can take more time off than 2 weeks at a stretch. But now with remote work arrangements you can work from remote geographies for up to 4 weeks a year and can combine it with vacations. This policy is generally working out well enough so far. The ESPP policy limits you to no more than 10% of your salary to be invested. No matching rewards on ESPP. But the stock appreciation and stability of the stock price probably make up for it.,CAD Engineer - ICT IV,Current Employe,,"Mar 10, 2023"
6,4.0,Apple Retail,"- organized, structured, and corporatey: instruction manuals for literally every task, and clear order of operations for every single interaction you had. This made the job easy, if monotonous, for people who do well with structure, and frustratingly rigid for those who didn't enjoy structure/rules. 

- benefits were really what made it worthwhile to work there: great stock options, discounts on apple products, industry discounts on phone service plans","- poor scheduling practices: lead to inflexibility and inequality of hours and times 

- poor management and leadership: led to petty store politics, cliques, and favoritism. Often did not feel supported by management, and resorted to working with heads of department or coworkers for problems that management could have handled easily. 

- pay and raises: incredibly frustrating pay system. Salary was based on a rigid formula of performance, position, cost of labor (not cost of living) in your area, and the salary you started with. There was no nuance or humanity or sensibility to the way employees were paid. It was all up to the pay formula equation. So for example, store transfers and new hires would frequently make 20%–40% more per hour than employees with the same job who had been working at the store for many years, because their starting salary was higher (whether from starting in a location with a higher cost of labor, or starting more recently after a minimum wage had increased). Managers and leaders seemed to have their hands tied when it came to fixing this.",Operations Specialist,Former Employee,,"Feb 26, 2023"
7,4.0,It's Cool if you want a Job or just starting your career.,"Positive environment, promotes healthy communication, company culture is welcoming, safe, and fun. Apple definitely changes your approach to life and encourages you to slow down and seek understanding, accept people as the unique individual they are, embrace ambiguity, and seeing opportunity in rejection, redirection, or undesired outcomes.","While the culture is generally positive there is some micro passive aggression that occurs and the bigger picture usually loses the vote to low hanging fruit. The business team's ceiling is fairly low. There are two roles, Business Expert and Business Pro which are pretty easy to promote through in a couple of years but after Pro there are no next steps in store for Business team members. Getting to corporate is definitely possible but requires a longer journey. Current economic situation does not help either. Internal processes lack structure as well.",Business Pro,Current Employee,,"Mar 13, 2023"
8,3.0,Manage your expectations,"Great Benefits - health account, education account, discounted company stocks and products. Well-developed company systems protect employees from being easily fired based on a manager's personal preferences Company wide activities and resources make me feel they really care about employees’ well being.","Apple's culture of secrecy has been exploited by many managers with ulterior motives. They are usually people who have worked at Apple for a long time, but somehow feel deeply insecure and need to defend their turf/vested interest in Apple. They exclude new people from important team tasks, they don't give team members any exposure, they only use you for a small part of the project and don't let you participate the whole process - as if more capable people join, they lose the limelight . Worst of all, some managers go out of their way to belittle the efforts and strengths of others, they claim credit for others' work. They tend to hire someone with 10 + years of experience to do an intern job, which they feel is normal at Apple as they boast that they only hire the best talent in the market. Some managers are living against the company culture of Diversity and Inclusion. There are many contractors and temporary employees working for the company and are NOT well-treated, often, in a unspoken and hidden way.",Project Manager,Current Employe,,"Mar 23, 2023"
9,3.0,Toxic Management,Benefits are great and job opportunities with certifications are unlimited.,"The values and principles laid out in the credo are often disregarded at our store, except when it comes to achieving specific goals such as trade-ins and iPhone activations. The work environment is toxic, with management exhibiting an authoritarian and micromanaging culture. Peer colleagues are not receptive to constructive feedback, and there is a lack of training and guidance for technicians and sales specialists. It's difficult to see any opportunities for growth within the company. Speaking up can result in ruthless retaliation from management, and there is a pattern of gaslighting employees. There is also a lack of emotional intelligence from management, with a few displaying narcissistic tendencies and racist priorities. Employees are forced to deal with emotional abuse from their colleagues, especially in-store meetings with the store leader at Apple Memorial City in Houston, Texas. Management actively discourages employees from creating a union, and the market team does not have a meaningful way for employees to advocate for themselves in the face of such poor treatment. Overall, the store locations in Market Team 4 have a damaging and hostile environment.",Technician,Current Employee,"Houston, TX","Mar 20, 2023"
