,Rating,Title,Pro,Con,Job Title,Status,Region,Date
0,5.0,great,gives you lot of platform to explore,i loved the work there and it was friendly,Senior Officer,Former Employee,,"Oct 17, 2022"
1,4.0,No regrets,"Lots of things to learn, boss was great",Some of the work was not meaningful,Anonymous Employee,Former Employe,,"Dec 16, 2022"
2,5.0,Really grateful working in DBS Bank,"I used to have a work-life balance while working at DBS, and the pay is good for freshers. Having multiple options, I chose DBS Bank and I have no regret taking the decision.",My experience wouldn't be sufficient to tell about the cons. DBS bank has many experienced and talented people.,Application Developer,Former Employe,,"Sep 30, 2022"
3,5.0,review,Great talent pool and work ethic,Long working hours and Head office led.,Director,Current Employee,,"Oct 11, 2022"
4,5.0,Analyst,Transparency. Constant feedback gathering and improvement in working solutions,Tendency to retain employee at current role if they’re doing well instead of encouraging them for progression.,Analyst,Current Employee,,"Sep 26, 2022"
5,5.0,Great place to work,"Great team engagement, Loved the people on my team.","Slow hike, Rest all is good.",Anonymous Employee,Former Employee,,"Sep 12, 2022"
6,4.0,Great work place and culture,"Very good and flexible work environment. 
Friendly seniors. 
The company respects their employees.
Good transport facility.",More workload sometimes. Tight work life balance.,Senior Officer,Current Employee,"India, TX","Aug 16, 2022"
7,3.0,java developer,Salary and yearly bonus are good,timings and work life balance,Software Developer,Former Employee,,"Sep 1, 2022"
8,3.0,Good place,Higher salary compared to Indian banks,Growth path is too slow,AVP-Analyst,Former Employe,,"Sep 1, 2022"
9,5.0,Solid experience,Very good colleagues and name brand,Low pay and long hours,Anonymous Employee,Former Employe,,"Aug 26, 2022"
10,4.0,great place to learn,"good tech stack , good environment",work life balance is tough,Anonymous Employee,Current Employee,,"Jul 8, 2022"
11,4.0,Pay increment have much room for improvement,"Decent employee benefits
Good amount of annual leave",Pay increment annually is rather disappointing. Always claim to pay competitively but does not seem to be the reality,Analyst,Current Employee,,"May 20, 2022"
12,5.0,Great colleagues. Healthy culture,Colleagues are genuine and sincere. There are no rivalry amongst each other.,None that i can think of,Anonymous Employee,Current Employee,,"May 14, 2022"
13,1.0,Salary,nothing special. no different than any other banks,pay and benefit not the greatest,Bank Teller,Former Employe,,"Jun 20, 2022"
14,5.0,Excellent company,"compensation package was very good, similar to other main banks","long work hours, endless meeting",Financial Planning Manager,Former Employe,,"Apr 11, 2022"
15,4.0,Full Stack Developer,"good package, Transportation facilities, Fun activities","work life balance
lack of innovation",Analyst,Former Employe,,"Mar 23, 2022"
16,4.0,Good culture but low in compensation,"International exposure, good culture, and learning opportunity","Too many manual processes, too many old generation that makes the environment less lively",Data Analyst,Current Employe,,"Feb 27, 2022"
17,5.0,EXPEREINCE,It was really to good in dbs,i was really nice to work at dbs,Software Engineer,Current Employe,,"Mar 12, 2022"
18,5.0,Good company,"high salary
good work culture and friendly people",I do not find any cons.,Senior Associate,Former Employee,,"Mar 7, 2022"
19,3.0,You will survive.,"-- beautiful office
-- Good fast growing projects","-- Zero work life balance
-- No clarity of growth",Software Engineer,Former Employee,,"Jan 15, 2022"
20,5.0,Great place to work,"Plethora of opportunities to explore internally
multiple platforms to learn and grow
Great Leadership support",Work life balance can be better,Anonymous Employee,Current Employe,,"Nov 9, 2021"
21,5.0,Good,Great company and great work culture,Fast paced. Start up culture,Software Development Engineer,Current Employe,"India, TX","Nov 3, 2021"
22,2.0,Review,good trainings given to new hires,no work and life balance for sales roles,Anonymous Employee,Former Employee,,"Sep 7, 2021"
23,4.0,Good regional bank,"- culture diversity
- x-region seminar before pandemic","- insufficient attention to people development
- lower pay raise",Senior Product Sales Manager,Former Employe,"San Francisco, CA","Aug 3, 2021"
24,5.0,Good work experience,"Good work 
New tech stack
challenging problems","bad managers in company
micro-managed org",Analyst,Former Employe,,"Jul 12, 2021"
25,4.0,Life in DBS,"Company is ever upgrading
you will always learn new things
always a system to do things","overwork
always changing processes
always short of manpower",Anonymous Employee,Current Employe,,"May 24, 2021"
26,3.0,Small review for a custodian,Living wage and easy work unsupervised,No benefits or time off or paid sick days,Custodian,Current Employe,,"Mar 24, 2021"
27,5.0,Good place to work,Good benefits and nice people.,Everything great! Nothing to complain about.,Credit Analyst,Former Employe,,"Mar 4, 2021"
28,4.0,company review,Good compensation and benefits compared to other banks.,High replacement rate for this position but it's quite normal since the environment is really fast-paced.,Senior Relationship Manager,Former Employe,,"Jan 27, 2021"
29,3.0,dfa,working environment is good and colleagues are all graduated from well-known universities,culture is too aggressive and working hours are long,Anonymous Employee,Former Employe,"New York, NY","Jan 24, 2021"
30,3.0,Best bank in the world,Good pay and carerr growth,Too much politics and crab mentality,Vice President,Former Employee,"India, MS","Jan 18, 2021"
31,5.0,Great place for hard workers!,You work for human beings that you actually see and talk to. The partners are experts in their fields that genuinely care about their clients and their employees.,"You are working in a top-flight business with dynamic people that push themselves hard. That means, as an employee, you must do the same. It you can handle hard work you will like it, if not, you want to go elsewhere.",Anonymous Employee,Former Employee,,"Aug 4, 2014"
32,4.0,Summer Assitant,"Colleagues are very willing to help you with any difficulties
Team bonding activities are very common within the organisation, enabled me to easily make friends and bond with my teammates","Quite local culture, I feel like international people would find it hard to adapt to the culture. 
Overtime hours is common, and everyone does it without complaining, so just do it.",Anonymous Employee,Current Employe,,"Jun 1, 2016"
33,5.0,Credit Analyst,"Entry level work with coaching and training, do due diligence, analyzing company's background information , you can do well in the projects","work without many challenges or changes, not many interactions among divisions, probably could involve more advanced analytical tools",Anonymous Employee,Former Employe,,"Sep 29, 2017"
34,5.0,Investment Banking Summer Analyst,"- Management was very good and they truly care about their employees 
- Mentorship abilities are good here
- Ability to work on actually relevant work","- Work life balance: Some days you are at the office all nights when you have a big assignment due 
- There is not a lot of warning before you get a big project",,Former Employe,,"Oct 18, 2015"
35,5.0,DBS bank,"culture, people, location, salary, stable","limited career advancement opportunities, promotion too slow",,Former Employe,,"Dec 5, 2015"
36,4.0,Interview,"Good compensation as compared to other companies. This company really reward you for your efforts. 
Friendly people
Good working environment 
Structured training","Long working hours which includes weekends. You basically will have lesser of ""own time"" and live 24/7 with your colleagues",Relationship Manager,Former Employee,"Orchard Park, GA","Sep 29, 2017"
37,5.0,Great Firm,"Large in Asia
Great MA Program
Management really cares about employees","If you're not in Asia or planning on a career in Asia, don't bother
You need to be able to communicate in Chinese and English",Summer Analyst,Former Employee,"New York, NY","Aug 15, 2015"
38,5.0,Senior Manager,"Good work culture 
Chance to work across geographies",Overall good company to work. No cons as such.,"CPA, CMA, CA",Former Employee,"Sacramento, CA","May 29, 2017"
39,4.0,UNI.CORN Management Internship,Very fun and supportive culture. Very high autonomy. Good mix of startup/innovation and corporate.,Bureaucracy catches up and limits innovation.,,Former Employe,,"Oct 25, 2017"
40,5.0,Institutional Banking Intern,Availability of projects; you get  a lot of things to do and great learning curve,The office culture is not as collegial as expected,,Former Employe,,"Oct 1, 2017"
41,3.0,DBS India Review,Excellent people around with loads of experience in the banking industry. Got to learn a lot from them. Was a part of their digibank launch.,Internship was not structured to the extent I expected this to be. HR department could have been more forthcoming with regards to the do-s and don'ts of the company.,,Former Employe,,"Jun 29, 2016"
42,4.0,BI Consultant,"Consulting Firm, get lot opporunity to work  on different clients",Sometime too much travel and lot time is gone flights,Anonymous Employee,Current Employe,,"Feb 9, 2017"
43,5.0,Summer Intern,"Innovative, and supervisors are willing to teach you.","Sometimes OT, even for summer Interns.",,Former Employe,,"Sep 30, 2016"
44,4.0,Good people,"Friendly people, nice working space","Long hours, senior management could have better time management",,Former Employe,,"Dec 8, 2014"
45,4.0,Good experience,Supervisor always there to help and guide you if you hit a brick wall,Sometimes not effective communication,Internship,Former Employe,,"Feb 14, 2020"
46,4.0,analyst,good staff and environment,sometimes quite political but it depends on your project you are in,,Former Employe,,"May 25, 2018"
47,5.0,Great culture,"- People focus culture
- Great benefits",- Long internal operation/credit process,Anonymous Employee,Former Employe,,"Jun 10, 2018"
48,2.0,Highly political organisation,Work life balance is good,Top heavy structure with managers not bringing in deals,,Former Employee,"Chicago, IL","Nov 6, 2015"
49,4.0,Intern,people are willing to teach,not a big name company,,Former Employe,,"Sep 9, 2016"
50,3.0,DBS summer internship  on design team,"Relaxed and nice people, everyone is willing to help","No structured internship if you're on the design team, not a lot gets done",,Former Employe,,"Aug 29, 2017"
51,3.0,Work culture,Latest technologies in use and no formals.,Less time lines and hike percentage.,Anonymous Employee,Current Employee,"Baton Rouge, LA","May 2, 2018"
52,3.0,Reasonable Salary,More than enough vacation leave,"Stressful, had to work early morning and late night",Bank Executive,Former Employee,,"May 25, 2015"
53,3.0,Work,Good culture and work environment,Great amount of time spent on politics,Anonymous Employee,Current Employe,,"Apr 2, 2018"
54,4.0,Forward Thinking,"Initiatives from governments are always backed up HR. End of the day, reward and recognition is really down to your personal contribution and how your boss perceives it. Of course everyone would have a contribution, but how your boss perceives the value is really up to them. Hence it is not just about doing work. It is the way we present the work that we do that is important",HR structure within the organization holds too much power The different structures within the organization doesn't allow for easy collaboration,Senior Associate,Current Employee,Singapore,"Mar 21, 2023"
55,5.0,"A company where I can Be the Best, Be the Change and Be the Difference",Family like culture where collaboration and discussions are part & parcel of the daily work Strong internal mobility culture Good channel communication between management team (thru townhalls) and feedback system from the ground (thru 'Tell Piyush' platform),Speedier decision making process All staff to take better ownership of their role and job,HR Business Partner,Current Employee,Singapore,"Mar 20, 2023"
56,4.0,The pros,They have great employee benefit policies and also competitive compensation. It is a culturally great organization to work for.,If your boss isn't great you might struggle.,Senior Officer,Current Employee,Chennai,"Mar 23, 2023"
57,4.0,Great place to get a lot experience as a banker,1) lots of exposure and challenges 2) Salaries and bonuses reflect the contribution,1) Stressful and long hours 2) Weekend work 3)Benefits can be improved,Banker,Current Employee,Singapore,"Mar 22, 2023"
58,5.0,People Oriented,"Through out my stay in DBS, I have had a very good experience. DBS is very people oriented. I would always have an opportunity to hear and experience what they are planning and executing in order to always support their people in all aspects of work.",I have no comment in this aspect.,Senior Associate,Current Employe,,"Mar 16, 2023"
59,5.0,Love working here,"I feel really valued as employee. They have good trainings, benefits, and development programs.",The transparency of salary range per level. Seems the gap is quite big.,Senior Associate,Current Employee,Jakarta,"Mar 21, 2023"
60,4.0,hello,chill place for people and nice tech stack,slow progression for tech staff,Software Engineer,Current Employe,Singapore,"Mar 23, 2023"
61,5.0,Lots of opportunities to grow,"In last 4-5 years, there has been a lot of push on experimenting and openness to adopt new technologies. It has become easier to expand roles and find career growth internally if you dare and challenge yourself. Other big organisations and even tech companies have happily taken folks from dbs now, even within my own group due to this experience and have done well.",Couple of tech towers are still very dominated at top so be careful which one you join.,SVP-Technology,Current Employe,Singapore,"Mar 4, 2023"
62,5.0,-,pay good for starting job,keeping up with sales koi,Wealth Planning Manager,Current Employe,"Bedok New Town, ","Mar 22, 2023"
63,4.0,Best benefits,"Staff benefits outweigh any other perks of the job. 24 AL, 6 day family care leave for parents, insurance coverage for spouse and child, SUPERB HOME LOAN interest rates (staff rates) etc etc","Mincromangement, contradictory management policies, people who manage the organisation at the top level hardly had done the ground work up (very powerfully connected circles of people) , ZERO work life balance, sales driven (zero empathy for customers), fictions portrayal of “Live More Bank Less”",Wealth Planning Manager,Former Employee,Singapore,"Mar 4, 2023"
64,5.0,Best local bank in Sg,Best CEO and Country CEOs,Internal systems and process needs re imagination,Senior Financial Analyst,Current Employee,Singapore,"Mar 18, 2023"
65,1.0,"Don't Join If you want Process, Horizontal /Team Culture","Good Salary, Leaves. Good benefits You can take risk for money but don't expect process and culture at least at ITT department","Worked with ITT, Forget Analysis there wont be proper Requirement Gathering . Things keep on changing and brings lot of uncertainty. Poor quality code and practices is very prevalent. One side communication from Singapore, no feedback or suggestions considered from INDIA, Hyderabad. They expect only Yes and Understand words Toxic Culture ( Some of the guys who are with DBS for sometime are behaving the same as Singapore Folks) - very insecure to share knowledge and responsibilities . They create a unnecessary hierarchy with in teams My Voice Survey which impacts Manager hike is a sham Totally rigged and you will be called out if your feedback is not in favour of them . BTW it should be Anonymous They compare on par to Google, Amazon etc but not even close to most of the service based Final word : Join this if you are ok to face politics and toxic culture If you had a good experience with US, UK the big MNC culture then SG culture is a big NO",Senior Associate,Current Employee,Hyderābād,"Feb 10, 2023"
66,4.0,Best Local Bank in Singapore,"The bank has evolved tremendously over the years, staffs are given more empowerment compared to previous years.","Legacy processes in placed that needs to be reviewed, improve and change.",Vice President,Former Employee,Singapore,"Mar 8, 2023"
67,4.0,Great Company,Stable Job with lots of benefits. Good name.,"Depends on your team and department, micro manage may be a thing.",Analyst,Current Employee,Singapore,"Mar 15, 2023"
68,5.0,Best Bank In The World,Employee benefits Great salary Nice office,"For someone that used to work in startup company, to work with regional bank could be a challenge.",Senior Associate - Product Manager,Former Employee,Jakarta,"Mar 16, 2023"
69,5.0,Good culture,People are helpful and approachable.,Little support team. Even Admin resources are limited,Vice President,Current Employee,Hong Kong,"Mar 18, 2023"
70,3.0,Company is better amongst other banks in Singapore,It wants to do something in tehcnology. Intention looks good. One of the best CEO it has. We are lucky to have him.,No body understands technology and everyone especially seniors wants to call themselves technologist. Selection criteria is absolutely week. VP and onwards are not at all hands-on. Problem is senior management don't have any clue. Diversity is no more there.,Anonymous Employee,Current Employee,Singapore,"Mar 11, 2023"
71,4.0,Good Company for bonus,Annual Bonus Latest Technology Good,Working hours Work-life balance Compensation,Assistant Vice President,Former Employee,Singapore,"Mar 18, 2023"
72,5.0,Work Life Balance in one Department,Work Life Balance Good Appraisals,"The above pros are only for one department, Other departments were not employee friendly as far as I have heard",Associate,Former Employee,Hyderābād,"Mar 14, 2023"
73,4.0,A great employer,A lot of new learnings and technologically sophisticated. Opportunities to internal job movement is high,Heavy competition due to high quality of hiring,Senior Officer,Former Employee,Chennai,"Mar 14, 2023"
74,5.0,Good Work. Active and Energetic Environment,peers are competitive. you will be motivated to learn more,hectic work. Work pressure a bit more,Senior Software Engineer,Former Employee,Hyderābād,"Mar 15, 2023"
75,4.0,Good organisation with leading edge management practices,"DBS is always pushing to implement good organisational practices, such as seeking and FOLLOWING UP on employee feedback, pushing the envelope in adopting technological practices such as common data resources and fostering better culture.",Employees may be pushed too hard with very high expectations. Expect to work long stressful hours to perform well and not lag behind.,Assistant Vice President,Former Employe,Singapore,"Mar 2, 2023"
76,3.0,Do NOT apply for the CSO position,"Decent pay (at the start before you're before shoved full of responsibilities after going through ""AcCeLeRaTeD aNd CoMpReSsEd"" training, which is their pr term for overloading you with the supposed ""knowledge"" you need because so many new hirees are leaving day by day and they need the current staff to pick up their slack due to their failure to retain any of their current staff","- ZERO worklife balance

- Constantly having to deal with expectations of KPIs to meet, being given ONLY 15 MINUTES a day of personal time to go to the toilet aside from 15 minutes paid break, rest of the time you are expected to take no less than 5 minutes to deal with each call from start till finish including After Call Work

- Constantly being pressured to ""pitch in"" (OT) as people are leaving by the masses and calls volume is increasing massively day by day. By the way, they dont reward you OT with more money btw. They give you some bs ""coins"" you use to redeem vouchers from online stores. I would like to be compensated FAIRLY for my time instead of with these coins that they use to dodge having to pay more CPF if they paid in cash instead.",Customer Service Officer,Current Employee,,"Oct 13, 2022"
77,4.0,Good,Good digital bank in the region,The work space can be better,Senior Vice President,Current Employe,Singapore,"Mar 17, 2023"
78,5.0,pros and cons,although its office work but you will gain a lot of knowledge. Will also teach u how to handle difficult cm and problem solving skills,"high paced environment, can be stressful at times",Senior CSO,Current Employee,Singapore,"Mar 10, 2023"
79,4.0,Good place,Pay went up during review,Work load is crazy and non stop action.,Vice President,Current Employee,Singapore,"Mar 16, 2023"
80,5.0,Good place to work,Centralise location located in CBD,Depending on the team that you're in. Definitely there will be politics.,Associate,Former Employee,Singapore,"Mar 14, 2023"
81,4.0,Position of a data analyst,"Work-from-home flexibility, Learning curve, friendly environment",Not much career growth and it is contract based,Data Analyst,Former Employee,Singapore,"Mar 14, 2023"
82,5.0,Great experience,Co workers were friendly and nice,Fast paced and repetitive job scope,Cash Ops,Former Employee,Singapore,"Mar 15, 2023"
83,3.0,DBS Settlements Analyst,Culture is not highly competitive,Slow progression and low recognition,Settlements Analyst,Current Employe,Singapore,"Mar 23, 2023"
84,4.0,Work-life balance job,"Work-life balance, colleagues are nice and helpful",Lack of transparency for the bonus,Associate,Current Employee,Hong Kong,"Mar 14, 2023"
85,4.0,Culture,No biasness in bonus as productivity is clearly shown on validated data,Too high of expectations from managament,Anonymous Employee,Former Employee,,"Mar 13, 2023"
86,4.0,Good regional bank,Salary and benefits on par with other international bank,Unrealistic management expectations Minimal international exposure,Business Manager,Current Employe,,"Mar 13, 2023"
