Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
4.0,Evil Boss decides everything,The overall culture is good. Unfortunately I had a evil boss who likes to show many patterns and made you uncomfortable and purposely excludes you from some of the jobs.,Big organisation,Evil boss,AVP,Former Employee,CBD,"February 15, 2022"
5.0,Fun experience and good place to learn,"Everyone in the division was very welcoming, good place to learn because my teammates were really welcoming, gained lots of exposures and good remuneration too.",,,Intern,Former Employee,Jakarta,"March 16, 2023"
5.0,Productivity And smooth,"I am working in gold loan officer and smooth. Good working environment , I am in working in sales and operation management , focused on new customer and NPA customer and recovery",,,Sales Officer,Former Employee,Tiruchirapalli,"March 13, 2023"
4.0,Great work life balance,"Good work life balance, interesting projects to work on, friendly colleagues. Overall good experience. But not very competitive pay compared to internet companies.",,,Data Scientist,Current Employee,Singapore,"February 24, 2023"
5.0,productive,"good working enviroment, freind and nice people around that helps you get by. pay wise can be better. even though the economic not as good. alot of young",,,General Worker,Former Employee,Central Singapore,"February 11, 2023"
5.0,Great learning place,"I enjoy my time at dbs as a treasures RM. Bank
Offers a great culture to work in and lot of
Open architecture. No
Close doors and all
Top
Management is appreciable. Your concerns are resolved and freedom to work and deliver",,,Private Banker,Current Employee,Maharashtra,"January 26, 2023"
4.0,Good overall but can be better,"Worked here for about a year. Ambitious top management but middle management and ground is mostly average. Good attempts to stay ahead of the technology adoption curve. Organizational culture is open and transparent with frequent townhalls. Compensation is decent and my team has good work life balance. Company is a ""sweet spot"" for salaried employees except for the hungry and ambitious.",,,Software Engineer,Current Employee,Singapore,"January 25, 2023"
3.0,Good workplace for fresh graduates,The area is good if you are looking for advancement. However it is hard to shine when you do not know the right people. The management only promotes people who are sociable,,,Business Analyst,Former Employee,Marina Bay,"January 23, 2023"
4.0,Most are friendly and nice,Good place for an internship and most of my colleagues were open and willing to teach. They also allowed me to try performing tasks in areas i was not familiar in as a learning experience.,,,Intern,Former Employee,Singapore,"January 9, 2023"
4.0,Great pay and benefits,Work can be boring and repetitive. You might find yourself doing a lot of work if you are capable. Other people might still get paid as much even though they are not as competent.,,,Programmer,Former Employee,Dbs,"January 4, 2023"
2.0,"More like a bank, less like a tech company","Engineering culture took a turn for the worse. GANDALF is but a pipe dream now.

The emphasis is on cutting cost, instead of return on investment. Products end up being riddled with tech debt, and are of poor quality.

It is no wonder that bugs and glitches occur in DBS apps from time to time.",,,Software Engineer,Current Employee,Singapore,"December 9, 2022"
4.0,Fast paced environment,"Poor management, no system in place to teach new hires. Not understand manager, no room for mistake. However, colleagues are friendly and willing to teach.",,,Contract Staff,Current Employee,Marina Bay,"December 7, 2022"
2.0,I feel the top don't listen,Long hours no work life balance. Management i feel don't really heed feedback. Seems to just direct and expect everyone to follow. Very rigid system to follow.,,,Contractor,Former Employee,Mandai,"December 3, 2022"
3.0,Former Contractor,Nothing to fault as i came in as interim hire only. Perm staff benefits is definitely better than contractor. Enjoyed the work with supportive team. No chance for conversion though but still not bad if you were to join as a perm staff.,,,Former Contractor,Former Employee,MBFC,"November 24, 2022"
5.0,I feel PROUD as part of DBS-er during my career.,"Working in DBS is a proud decision to me. People there are energetic, professional, up to the world class standard, prompt response as always! Management there responded to changes well and with clear direction!

True that it was not a easy job when working here, thus work-life balance is not in full star. But trust me, you would treasure the time as being part of them! You would never regret!",,,"Vice President - COO office, IBG",Former Employee,Hong Kong,"November 24, 2022"
4.0,Fun workplace,"Good environment and nice colleagues. The office environment is good and quite flexible in term of working time. Happy to work here. However, you must have strong technical skills and presentation skills.",,,Business Analyst,Former Employee,Singapore,"November 2, 2022"
5.0,Productive work,"developers are valued
Work-life balance is good
Awesome ambience in office
Health insurance and i-flex benefits are the best.
Free Cab facility is available",,,Analyst,Current Employee,Hyderabad,"October 13, 2022"
3.0,Not worth the pay,Better commission paying jobs out there. Pay not worth your effort. Furthermore selling insurance is facing stiff competition from fin tech platforms which are much cheaper,,,Wealth planning manager,Former Employee,North Singapore,"September 28, 2022"
4.0,"Fun,Easy, extremely fast paced .","need to have a good attitude , dont be discouraged or demoralized easily and the job will be a breeze for you . be independent dont always rely on others and you will be fine. if u are introvert this is perfect, 0 interaction with colleagues cos u will be on the phone all day . good and bad depends on how u see it . satisfying when customer compliments or writes in to the bank to recognise your service / patience",,,Customer Service Officer,Former Employee,Changi,"September 14, 2022"
3.0,Good name for your CV and that’s it,"Stressful and fast paced. Not much career advancement. The pay is low and will only give more bonus to senior management.

Great company culture where there will be social events to take part in.

Can use company’s name as a springboard for better package at other banks.",,,officer,Former Employee,Hong Kong,"September 4, 2022"
3.0,Productive no work Life,"There is No work Life balance .very good salary and other benefits.
A lots of leave present in their policies. Cab facility is provided to all employees",,,Analyst,Current Employee,"Hyderabad, Telangana","September 1, 2022"
4.0,Evil Boss decides everything,The overall culture is good. Unfortunately I had a evil boss who likes to show many patterns and made you uncomfortable and purposely excludes you from some of the jobs.,Big organisation,Evil boss,AVP,Former Employee,CBD,"February 15, 2022"
4.0,Fun colleagues but stressful due to infra,Deal with infrastructure migration. So your work challenges arises. Competing department also creates politics for the projects with similar agenda. But team mates are generally fun..,,,Data Analyst,Former Employee,Changi,"August 29, 2022"
3.0,Good strategy but not executing well,"Nice company policy, but depend on management preference. Nice to work proactively and hard working. Work hard is better than work smart to work here.",,,Analyst,Former Employee,"Kwun Tong, Kowloon","August 17, 2022"
3.0,Fast paced,Need to handle difficult customer and routine job duties which make the job quite boring. Fast pace environment and long standing hours. Must be due diligent,,,Customer Service Officer,Former Employee,Raffles Place,"August 13, 2022"
3.0,toxic environment,"Toxic working environment, all colleagues are unfriendly, they talk behind your back. Worst working environment I have ever worked in. They have people staring at you doing work, making sure you do not exceed your toilet break timing, there are a lot of products that we need to remember, especially when they have different deals and promotions during that period of time. My first week of work was a promotion week and I almost wanted to quit. I had to smile through every call even though I feel like crying.",,,Customer Service Officer,Former Employee,International Business Park,"August 10, 2022"
4.0,Fun workplace,Its a good place to work. Increament and bonus is slim. Good benefit and facility. People are nice. Local management is average. Solid organization. Fine overall,,,Relationship Manager,Former Employee,Jakarta,"August 8, 2022"
4.0,Productive and fun workplace,"Fun workplace with nice colleagues, great place to learn about the banking industry. May be challenging at times due to meeting target and handling customers",,,Bank service Executive,Current Employee,Central Singapore,"July 31, 2022"
3.0,Stress free and fun workplace,"pros: good staff benefit
a lot of annual leave and dbs staff is good
management that listen to feedback
system are very advance

cons: low pay
slow progression",,,Trade finance Associate,Former Employee,singapore,"July 21, 2022"
4.0,Good benefits but management wise can be stressful,"It's a fun place to be at. Colleagues are great. Managers, depend on your luck. Good bonus if performance is good. Covered dependant for medical benefits.",,,Customer Service,Current Employee,Dbs Asia Hub,"July 12, 2022"
5.0,Very good,"Good environment and skillfull people around you , good amenities in the offc and trasport facilities.
Happy to work except compensation is not competitive",,,Software Engineer,Former Employee,Hyderabad,"July 8, 2022"
5.0,"Humble, neat, spirit","I think i'm the lucky one.. Because I can learn a lot of about team work, handling problem solving, and many more. I'm happy and comfortable work at dbs",,,Admin Support of Agency Services,Former Employee,Jakarta,"July 7, 2022"
