,Rating,Title,Pro,Con,Job Title,Status,Region,Date
0,5.0,Company review,Benefit like 401K is good,Learning resource could be more sufficient,Quantitative Analyst,Current Employee,"New York, NY","Mar 22, 2023"
1,5.0,Good company to learn a variety of skills,Internacional presence and diversity of people in all countries,Hard to move ahead once you get in the door but learn a lot,Senior Manager,Former Employee,"Chicago, IL","Mar 18, 2023"
2,4.0,"bureaucratic, with but getting Cloudy","At the highest level of leadership, management really seems to get serverless containerized computing.","its a big organization. The numerous stakeholders necessitate give rise to a hydra headed bureaucracy. the company is making progress, but its 2 steps forward, one step back. HSBC is also not good about funding common goods - for instance, bringing jdk17 into the company; instead of having centralized funding for stuff everyone needs, the company largely sticks the team that needs something most with the bill.",Vice President,Current Employe,,"Feb 24, 2023"
3,4.0,Promotion rules are unclear,"Big firm, good benefits, great coworkers","Promotion rules are unclear, don't want to stay long",Anonymous Employee,Former Employee,,"Mar 10, 2023"
4,5.0,Great place to work,Opportunity to learn and grow Paid leave days,Lots of workload/ Conservative executive and management,Human Resources,Former Employe,,"Mar 9, 2023"
5,5.0,regulatory,very good working environment and career growth,just the language barrier is the issue,Working Student,Current Employe,"Germany, GA","Mar 7, 2023"
6,4.0,PM seasoned in the industry here to provide the right solution at the right time,"Budget, resource planning, change control,, delivery governance","I tend to embarrass diversity which can create distractions . My goal is to work with the Product Owner to confirm understand early and often, across all impacted stakeholders",Project Management,Current Employe,,"Feb 23, 2023"
7,2.0,Okay place but not recommended,Team is very supportive if you need help,Senior management doesn't take feedback from employees,Software Developer,Current Employe,,"Mar 21, 2023"
8,4.0,Good Culture,"Nice people, working towards solving problems together , with focus on profitable business line",Canada sale has created some uncertainty for employees in that region in Tech side,Vice President,Current Employee,"New York, NY","Feb 27, 2023"
9,4.0,Collegial,Succeed BECAUSE and not IN SPITE OF colleagues!,US is small region of large UK bank,Senior Human Resources Manager,Current Employe,"New York, NY","Mar 3, 2023"
10,4.0,Good Culture,"Nice people, working towards solving problems together , with focus on profitable business line",Canada sale has created some uncertainty for employees in that region in Tech side,Vice President,Current Employee,"New York, NY","Feb 27, 2023"
11,4.0,Collegial,Succeed BECAUSE and not IN SPITE OF colleagues!,US is small region of large UK bank,Senior Human Resources Manager,Current Employe,"New York, NY","Mar 3, 2023"
12,4.0,nj,great benefits and salary ranges,poor management structure and over complicating day to day operations,AV-VC Manager,Current Employe,"New York, NY","Mar 2, 2023"
13,5.0,Great,Working here was amazing and fun,Nothing at this time that I can share,Personal Banker,Current Employee,"Buffalo, NY","Feb 28, 2023"
14,3.0,Lower cost resources,Had good colleagues and a great manager.,Lots of bureaucracy and some bad upper management. No cost of living adjustments. Focused too much on lower cost resources which meant lower quality and communication and timing issues.,Senior Technical Project Manager,Former Employe,,"Feb 17, 2023"
15,4.0,global bank,"work life balance, global exposures, global business model",can not think of any at the moment,Vice President,Current Employe,,"Feb 23, 2023"
16,5.0,It's good experience for long time not sure,Best place to grow and professional,"Hard to grow or promoted to each level, to much restriction. Working hours not flexible too much stress to work spending all day in front of screen due to work load or deadline each day",Payment and security screening officer,Current Employee,"Krakow, WI","Feb 7, 2023"
17,4.0,Opportunitied,Great learning opportunities & exposure to different verticals,Limited scope to choose from verticals after training,AVP-Project Manager,Former Employee,"India, MS","Feb 24, 2023"
18,4.0,Good but not great,"Great flexibility, people and work is challenging","Slow decision making, not agile, can't get out of it's own way.",Managing Director,Current Employe,,"Feb 13, 2023"
