,Rating,Title,Pro,Con,Job Title,Status,Region,Date
0,5.0,Excellent Company,Great culture and great people with a robust Product line.,Nothing to complain about as Infineon is super stable and will continue to grow.,Sales,Current Employee,"Milpitas, CA","Aug 15, 2022"
1,5.0,Great company,One of the best silicon suppliers in the world,Techinal Jobs could be quite demanding,Field Applications Engineer,Current Employee,"Livonia, MI","Mar 23, 2023"
2,5.0,Great Culture,"Company cares about its employees. Seeks feedback to evaluate management and employee concerns. Hybrid work schedule. Work life balance is up to you. No pressure to put in extra hours. Jobs are very secure. If needed company will lower bonuses before laying people off. What ever bonuses they say you will get, they typically exceed what they promise. Conservative company that likes to perform better than what they commit and not just in bonuses. Fun company to work at.","Compensation, even with kickers is fair but not outstanding.",Field Applications Engineer,Current Employe,,"Mar 13, 2023"
3,5.0,Would go back in a second,"SLT, Managers, Employees, Benefits, Opportunity for advancement. I loved my time there and would still be there if I didn’t move out of state. It can be challenging at times, but the systems and leadership in place are rock solid and almost always have a vision to overcome the challenges.",Have to use PTO when the company shuts down.,Engineering Technician,Former Employee,"Leominster, MA","Mar 13, 2023"
4,3.0,"Ehhh, not bad.",Work/Life balance is a plus. 3-4 day alternating workweeks.,"Repetitive work, training is dependent on employees with no incentive to invest time and additional effort into incoming employees.",Wafer Fab Operator,Current Employee,"Austin, TX","Mar 24, 2023"
5,5.0,Great learning,Good learning opportunities. Great environment,Nothing in particular about this role.,Automotive Engineer,Former Employe,,"Mar 13, 2023"
6,5.0,Great Company,"Care about there employees, good pay structure, quarterly and year end bonuses, good benefits.",None that I can think of.,Maintenance Technician,Former Employe,,"Mar 8, 2023"
7,5.0,Employee Friendly Company,"Employee Friendly Company , good pace, large teams.",Nothing as such which would affect self driven employees,Principal Test Engineer,Current Employe,,"Feb 22, 2023"
8,4.0,Great culture,Loved the inclusive culture and learning opportunities. Huge investments made in employee and management development.,So many internal systems. Hard to manage and understand where to go for what. This needs to be more streamlined.,Human Resources Business Partner HRBP,Former Employe,"San Jose, CA","Feb 22, 2023"
9,4.0,Very good company to learn,"As a beginner to the industry, I have had a lot to learn here. Really a good starting point for your career.",Has a fair share of bureaucracy but that is to be expected anywhere. Pays less but you get paid in knowledge.,Sr. Cad engineer,Former Employe,,"Feb 15, 2023"
10,,,,,,,,
11,4.0,Good company.,Great company to work for.,Not too much to complain about.,Internal Sales Specialist,Current Employe,"Livonia, MI","Feb 25, 2023"
12,4.0,Great place to work at Infineon,great place to work at Infineon,System Reporting Complex Big Tech Companies,Marketing Manager,Former Employe,"Boston, MA","Feb 21, 2023"
13,5.0,First class company,Excellent management Company culture Great benefits,No issues whatsoever that I have encountered in 9 years of work.,Lead Principal Engineer,Current Employee,,"Jan 9, 2023"
14,5.0,Great Technology Company that actually cares about its employees,Excellent technology portfolio; Very open and inclusive management style,"Can take time to make decisions, though the company is actively working on this",Anonymous Employee,Current Employee,,"Jan 6, 2023"
15,1.0,Unfortunately miserable experience.,Benefits and 401k match are okay.,"Below market salaries Forced usage of accrued PTO during yearly plant shutdown. Serious lack of process documentation and support for newcomers. They really don’t care about your success, just that you’re a warm body to fill a seat.",Finance,Former Employee,,"Nov 14, 2022"
16,5.0,senior Buyer,the Company is really invests in its people.,wearing many hats can be challenging,Senior Buyer,Current Employe,,"Jan 12, 2023"
17,5.0,Great Semiconductor company,Great culture Work life balance,Less competitive pay as compared to other,Applications Engineer,Former Employee,"Warwick, RI","Jan 4, 2023"
18,5.0,Awesome Company,"Great benefits, location, and culture.",Manufacturing product design is complicated.,Manufacturing Supervisor,Current Employe,,"Jan 6, 2023"
19,5.0,A People oriented company that lives it,Great colleagues Everybody wants to help colleagues - borderless collaboration Interesting markets and cool products Strong purpose - caring for the environment with decarbonization and digitalization,Faster decision making simpler and less cumbersome processes,President,Current Employe,,"Nov 25, 2022"
20,5.0,Good place to work,Great work environment and team,Pay could be a little better,Facilities Lead Mechanic,Current Employe,,"Dec 15, 2022"
21,2.0,NOT FOR ME,"Large company, great benefits, great workforce","Bad Boston sales manager, no concern for employees",Global Account Manager,Former Employe,Midtown New York,"Jan 24, 2023"
22,4.0,Infineon Branch Facility,The company does care for their employees.,Depends on management on the facility there's no organization and some employees point out what is needed for a more efficient way of workforce management.,Associate,Former Employe,,"Jan 9, 2023"
23,1.0,No Silicon Valley Freedom to Create,Not much I can say. See cons below.,Layers of management approvals for projects. Have meetings at all hours of the day. Hard to make changes to the way the company works. Too many top management based in Germany with slow responses.,Senior Manager,Former Employee,"San Jose, CA","Jan 7, 2023"
24,5.0,So far so good,There are good and experienced engineers and they are willing to help new employees to perform the task. Infineon has a lot of good products in power semiconductor industry and great reputation. Great company to develop career as a power electronics engineer,I have been here for about 3months. So far no cons,Senior Engineer,Current Employee,"El Segundo, CA","Oct 29, 2022"
25,4.0,Work life balance,Open to providing more responsibility,Heavy work load and late night meetings,Lead Principal Engineer,Current Employee,"San Jose, CA","Jan 18, 2023"
26,5.0,Goal focused,Infineon is clear on goals but not at the expense of customers. They provide a premium service to their customers without sacrificing quality.,"lack of growth opportunities, but not in all positions. They do encourage moving within the company",Marketing Specialist,Current Employee,"Livonia, MI","Nov 2, 2022"
27,5.0,Great Company,Great company with innovative teams,"Not many, perhaps time zones",Software Engineer,Former Employe,,"Nov 21, 2022"
28,2.0,Almost an OK Place to Work,"So many great, talented, hard-working, loyal, long-time employees. Good pay and good benefits. Exciting industry.",Unengaged local leadership. Poor communication. Terrible work-life balance*. High-stress. Lack of management/company support. Aging equipment. Limited interest in investing in future of the company. Bizarre decisions that demote and force some employees into undesirable career tracks (without consultation). Low morale.                                    * - Your experience may vary,Section Manager,Former Employee,"Austin, TX","Oct 13, 2022"
29,4.0,Great company to learn,"Lean teams, lots to learn",Not always get the support you need.,Tech Dev Engineer,Current Employe,"San Jose, CA","Dec 28, 2022"
30,5.0,"excellent company to work, opportunities for growth","good pay, it's close to home, local",unfortunately the plant is closing,Sr technician,Current Employee,,"Oct 31, 2022"
31,4.0,good company,Great company to work for and great people. Leader in the Power Semi space and customers recognize the premium products and services,an excessive amount of reporting and meanless busy work.,Sales Manager,Current Employee,,"Nov 14, 2022"
32,4.0,Hi-Rel division,Great team in the factory. Small company within a much larger parent company The Space market is really fun,Top leadership is lacking vision Some of the larger parent flow downs are highly restrictive on this smaller group,Product Manager,Former Employee,"Leominster, MA","Oct 22, 2022"
33,5.0,Great Company,Great company with innovative teams,"Not many, perhaps time zones",Software Engineer,Former Employe,,"Nov 21, 2022"
34,4.0,good company to work for,"good hours, plenty of free time during the week. night shift was the best experience at a job I had",there was a lot of favoritism,Production Operator,Former Employe,,"Nov 3, 2022"
35,4.0,Nice Place to work,Nice work environment and management,Projects are big and need teamwork,Principal Design Engineer,Current Employe,,"Nov 16, 2022"
36,3.0,Infineon technology,"Microcontroller, power, diverse portfolio of products",Management too splintered. Left hand doesn’t know what right hand is doing.,Director,Former Employe,,"Nov 5, 2022"
37,5.0,"excellent company to work, opportunities for growth","good pay, it's close to home, local",unfortunately the plant is closing,Sr technician,Current Employee,,"Oct 31, 2022"
38,5.0,"Good, lots to learn in a self paced environment","No deadlines for a particular task, good communication, cross team works","Less challenging work, no pressure",Hardware Engineer,Former Employe,,"Oct 24, 2022"
39,5.0,Great company to work for,Great place for starting your career and getting your foot into the industry. The company culture is awesome with supportive colleagues who are always willing to help you grow. The company offers competitive benefits.,Minimal room for career advancement.,Production Planner,Former Employe,"San Jose, CA","Sep 26, 2022"
40,5.0,Challenging but rewarding work,Company treats employees well! Excellent staff!,"High and challenging workload, dynamic market environment.",Director of Marketing,Current Employee,,"Oct 25, 2022"
