Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
3.0,Decent job stability and benefits,Working here is decent and the people are alright. The benefits and the hob stability are the things that make people stay at the company for a very long time,Variable bonuses,12 hour shifts,Line Technician,Former Employee,Kallang,"March 11, 2022"
5.0,Overall positive internship experience,"Got to learn some stuff, friendly colleagues who were ready to share their knowledge and teach you things, definitely have ""work life balance"" as intern no OT. Some downside is just not much exposure to actual specific QM work, mostly seem to be doing documentation work, don't do full time conversion.",,,Quality Management Intern,Former Employee,Singapore,"March 25, 2023"
4.0,clean workplace & comfort to doing every task everyday,"Infineon company is very good at the salary , pay every on date never missed & worth it to work here with the elauns & bonus.
Workplace also tidy so comfort to start our work together.",,,operator,Former Employee,Melacca,"March 19, 2023"
4.0,Great work life balance... good place to grow,"Excellent
We have an opportunity to explore different domains as the org is vast and have multiple domains within
The teams are global thus we will get great global exposure as well
Frequent travels & very supportive team and reporting manager",,,SCRUM MASTER,Current Employee,"Bengaluru, Karnataka","March 17, 2023"
5.0,Great Workplace,"emphasis on collaboration and teamwork. Everyone at the company was encouraged to work together to achieve common goals, and there was a strong sense of camaraderie among colleagues. I always felt that my contributions were valued and appreciated, and I was proud to be part of such a dynamic and motivated team.",,,Semiconductor Operator,Former Employee,"Mesa, AZ","March 8, 2023"
5.0,"Professional Environment, Leader in Industry","Infineon is a great, supportive company to work for with professional leadership, high standards and clear career progression. I was continuously impressed by our ability to solve problems and innovate in a very technical and competitive field.",,,Semiconductor Operator,Former Employee,"Mesa, AZ","March 1, 2023"
4.0,Productive,Good work culture and great place to learn and explore. Team members are very helpful. One would get the opportunity to interact with people from different parts of the country,,,Internship,Current Employee,Karnataka,"February 27, 2023"
5.0,happy work,feel most comfortable and enjoyable....i feel happy 2 work ther......satisfying wen working with frens n my supervisor......A good management and anything can share with shift supervisor,,,QA Analyst,Former Employee,kallang way,"February 14, 2023"
4.0,excellent company,good company and culture. Growth opportunity in any areas of interest if aligned with the company goals. Raises yearly. Bonus plans are very attractive if company meet yearly outlook.,,,Sr. Staff Applications Engineer,Current Employee,"El Segundo, CA","February 13, 2023"
3.0,"Good people & research, outdated ideas and culture","Overall, it's a great company in terms of people and the work I've been doing. However, sometimes it felt like they are 10-15 years behind and management may not be very competent.",,,Systems Engineer,Former Employee,California,"February 9, 2023"
5.0,A diverse place to work and offers great opportunities.,"Infineon was a great company to work for to work. I was a part of the away team that started the company from the beginning to the end in Richmond, Virginia.",,,Supervisor,Former Employee,"Sandston, VA","February 7, 2023"
1.0,Stay away from finance/costing,"Culture at the site I worked at was toxic, with no work life balance. All teams at the site were expected to work long hours and be available 24/7. I was nonchalantly asked by my manager to log on and work Saturdays and Sundays fairly often. The finance and costing team in Mesa and Austin is run extremely lean, with no backfilling of roles, no support or training from management.

The onboarding was rushed and sloppy and I was unable to receive proper user accesses to do my work for several months. Zero training or support when help was needed, it's a sink or swim environment. It really seemed like they truly did not care and no preparation was done for my role before my start date, just that they needed a warm body to fill a seat.

All in all, a really unfortunate and bad experience, and it's no surprise they are unable to keep people around and have such high turnover in finance.",,,Finance,Former Employee,United States,"February 7, 2023"
4.0,Productive but the operation engineer and production manager very bad attitude.,"I resign at the place not about salary but about people. Especially the culture operations engineers.
Culture at infineon very good, very clean, very smart. I like infineon very well. If I am accepted to work, I will choose to go to another module.",,,Production Operator,Former Employee,Kulim,"February 7, 2023"
1.0,very political and hierarchy oriented organization,"without rationale - the boss is always right
you get punished when you do more than what is expected
not trusting own people
very discreet
if you voice out concern you get reprimanded instead",,,SAP MM Consultant,Former Employee,"India, Malaysia","February 4, 2023"
