Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
4.0,Good so far,"Nothing much to say for the time being, everything's going great so far (don't want to jinx it). Great work culture though fast-paced. You snooze, you lose.",,,Marketing Intern,Current Employee,Home-office,"September 23, 2022"
5.0,"I love matter, I appreciate how long her CEO has been driving","I love working at Meta. I am empowered to create my own work life, balance, and drive my own career forward. The ball is completely in my court. If anything is falling short, all I have to do is work with my manager on how to fix it. The only thing I don’t like right now is the uncertainty of layoffs constantly in the air. if layoffs could ever subside, I would love to get back to living the work in the company again.","Fully remote work, encouraged, management is excellent, it’s easy to get promoted and move up, tons of opportunity for advancement, rewarding work","Layoffs create uncertainty and cause stress for teams, making it difficult to navigate relationships and team dynamics right now.",Content Designer,Current Employee,Remote,"March 7, 2023"
4.0,Fast paced and huge network,"Great work life balance, you're given autonomy from day one but trusted to pitch yourself for a promotion when the time comes. More metric heavy than KPI, depending on where you work. The more niche the role you're sourcing for...the better. The people are great, smart and helpful. Everyone has the common sense that you're all there working towards one thing and do everything to help with that...most of the time!",,,Sourcer,Current Employee,"Birmingham, West Midlands","February 20, 2023"
4.0,4 stars,"What is the best part of working at the company?
Work life balance, perks and metaverse projects.

What is the most stressful part about working at the company?
High standard - pressure to meet deadlines & numbers!

What is the work environment and culture like at the company?
Amazing. Come and accepted as is",,,Recruiter,Former Employee,"Menlo Park, CA","February 13, 2023"
5.0,"Great compensation and benefits, maybe sunsetting","Still great, but not what it used to be. Demoralizing with all the negative press. Good people, good benefits. Best health insurance and benefits are consolidated using a great portal. Job advancement is necessary until IC5",,,Test Engineer,Former Employee,"Menlo Park, CA","January 31, 2023"
3.0,"Not bad, but do feel pressure","Overall it is not bad. A lot of smart coworkers. However, it is true about the psc driven culture . Which made things weird. People have to chase after ""impact"" .",,,Software Engineer,Former Employee,"Menlo Park, CA","January 25, 2023"
4.0,productive but need to be more customer focused,Developers were highly productive but need to be more customer focused (documentation and software support. Software developers was highly skilled in their role. They need to understand the total impact of software from a user perspective.,,,Network Analytics Strategist,Former Employee,"Menlo Park, CA","January 5, 2023"
1.0,"Great pay and benefits, awful everything else.","Work life balance doesn't exist at Meta. I had to be available 24/7, with regularly scheduled meetings at literally any time day or night, and I was in HR.

The pay isn't worth the stress and hours.",,,People Services Specalist,Former Employee,"Austin, TX","December 30, 2022"
5.0,"One of the best places to work, period.","Best work experience I've ever had. Onboarding is thorough. You choose when you are done and can choose your team. People are talented and kind, so it's easy to learn new things. Developer experience is unreal. Internal tools are great, creating a new dev instance is a breeze. All code is available.",,,Software Engineer,Current Employee,Remote,"December 26, 2022"
4.0,Proactive and fun workplace with ping pong table,"Meta is a great place for anyone who wants to be challenge yet respected at the same time. You get the chance to learn every day, while still having sensible work life balance. Overall, nice place to work, just the layoffs have put a bit of a shade over an otherwise lovely experience.",,,Business Analyst,Former Employee,"Dublin, County Dublin","December 20, 2022"
