,Rating,Title,Pro,Con,Job Title,Status,Region,Date
0,5.0,Great overall career at Micron,"Maintain Headquarters in Boise, Idaho",Reward years of service to employees,Quality Assurance Technician,Former Employe,,"Mar 24, 2023"
1,3.0,Great place to start a career. Not good for long term.,Good place to start a career. There are many diverse and challenging problems to work on. Great engineers to work with and learn from.,"Initial training is relatively poor, approach is very sink-or-swim. They have worked hard to improve this over the years, and it has gotten better, but they need to focus more in this area. Very little upward mobility, unless you are part of the club. Management is out-of-touch and too focused on satisfying their bosses at the expense of their directs. DRAM is a commodity that goes through cycles. While upper management is obviously aware of this, they do little to protect the business from downcycles and overspend during upcycles. Layoffs often occur every 3-5 years as a result. Management pays a lot of lip service to innovation. However, they are only interested in innovation that is very specific to the product. Peripheral innovation is often ignored or disregarded. The culture focuses on a reactionary instead of proactive approach to engineering. Many future problems could be avoided by taking a proactive QC minded approach, but management is often not supportive. Forced poor performance scoring to meet a quota. A lot of good engineers have lost jobs as a result of playing number games. Vaccine mandate.",Senior Product Engineer,Former Employee,"Boise, ID","Mar 9, 2023"
2,1.0,Dont Join,"Good Immediate Colleagues, your experience might differ. Hybrid work atleast for now.","All words, when it really comes to implementation the Management fails hard. Find excuses to skip bonuses or promotions by C-suite. Severence package was bad compared to peers. Management decision led to merging our team with other team(which was for most part homogeneous, seemed like the sr dir hired his own people) led to the distruction of our diverse/open culture team(almost all of the previous team members noticed this and most left/transfered to other teams, in hindsight that was a good decision ).",Media Systems Engineer,Former Employe,,"Mar 24, 2023"
3,2.0,"Poor work-life balance, toxic company culture","Boise is a great place to work, and the semiconductor industry is very interesting.","Micron has a toxic company culture with bad work-life balance. The company is very internationally distributed now, so expect to work in both the US and Asia times zones simultaneously. This typically means 60 hours a week minimum. Additionally, the company culture is very cutthroat, and employees will frequently undercut and sabotage each other in order to protect their jobs. As a result, there is very little team cohesion and camaraderie.",Data Scientist,Former Employee,"Boise, ID","Mar 18, 2023"
4,5.0,Great place to work and grow a career,"Great people to work with, wonderful team environment, good benefits, pay was good for location averages. There were many opportunities to learn new skills.",Like most larger companies your experiences may vary depending upon the supervisors management style. I have had some leads that very good at promoting technical and personal growth and some that were more focused on their own careers. Thankfully I have had many more good and bad experiences.,Software Developer,Former Employe,,"Mar 21, 2023"
5,3.0,Gain great experience in the semiconductor industry,Many opportunities to learn new and varied technologies,"Beware the ""Rule of 75"" - if your age plus your years of service to the company add up to 75 or more, then you'll likely get RIF'd in the next downturn.",Semiconductor Process Engineer,Former Employee,,"Mar 21, 2023"
6,3.0,"Not the worst, but the culture kinda sucks","Interesting technical problems, some really great engineers and people, Boise is a fairly nice city (especially if you bought your house awhile ago), a strong and experienced manager can make a huge difference protecting from much of the BS from above","Biggest problem here is that the company loves managers more than engineers. Much easier to climb the ladder and get more money by turning into a manager than by being a technically competent engineer who is respected by their peers. The company is filled with layers and layers of management. Another big problem is the current CEO’s very heavy-handed, top-down approach. Managers and directors often have little room to apply their own discretion. Stacked rankings and restrictive WFH policies are evidence. The reward loyalty with meager raises, at least in Boise. Corporate believes that people won’t uproot their lives by leaving Idaho to change jobs so they skimp on the perks.",Principal Engineer,Former Employe,,"Feb 10, 2023"
7,2.0,"Good benefits, performance management system sucks and the equity incentive system is a joke",The health insurance options and benefits are verry good. Lot of different opportunities to pursue interests within the company.,"The performance management system is based on rating workers based on a normal distribution. You could have instances where a management team has built a top notch team and they end up having to give lower ratings to higher performers in order to fit into the curve. Managers will end up making statements like ""well, a 4 rating was harder to achieve this year"". This means that what is required to meet or exceed expectations changes year to year, however they will not tell you what it takes to 'exceed expectations' any given year. The individual leader doesn't know how their team will fit into the over all distribution so they really can't give you meaningful feedback until after the distribution 'level setting' is done. Bonus pay is based on company goal achievement and the arbitrary rating system so the rating potential of impacting bonus pay drastically. The stock based incentive system is also an area that needs help. You have no clue or reference point as to how well you did in the distribution of stock awards. They don't share any data on target amounts or distributions. They are not tied to the performance ratings one year you may get none, the next year you might get hundreds or thousands. Not having a reference point makes the awards seem more like a lottery. Just stay friends with the manager in your team so you are sure to get something. Lastly missive layoffs happen and it is not just poor performers that get cut. Age was a common factor for many in the Feb 2023 RIF so don't plan on spending your entire career at this place .",Software Development Engineer,Former Employee,"Boise, ID","Mar 14, 2023"
8,3.0,Hourly conundrum,"Benefits, most people and the intent of employee programs are good.","Layoffs every few years, management tribalism, no sick time, ratings system setup so someone always has to be rated low to meet “numbers”, bonuses taken away, hourly employees, especially on night shifts unable to utilize programs because of “needs of business “. Get locked into a shift and unable to move elsewhere.",Senior Technician,Former Employee,"Manassas, VA","Mar 14, 2023"
9,3.0,Good place to work at,Amazing work life balance Helpful teams Ample opportunities to learn. They also have rotational programs,"The location is a problem: Boise is a beautiful place but not much to do Micron also doesn't pay well if you don't negotiate properly, so make sure you consult with people in related job roles and negotiate the salary",Process Control Systems Engineer,Current Employee,"Boise, ID","Mar 23, 2023"
10,5.0,Good,Good company to work for and generous benefits,Allow team members to experiment and be a better learning organization,Process Engineer,Former Employe,,"Mar 22, 2023"
11,5.0,FAB Technician 1,"I Love working at Micron, that is why I keep coming back. :-) I would like to say that I noticed the improvements in Micron's culture and inclusion from the way it was in 2019 when I last worked here.","I am a returning employee (rehire) and I have not had the support in reinstating or uploading all my old transcripts from Micron classes and college classes. I remember taking some of the classes that are required for my current job, and it would be nice not having to do them again. I was recently diagnosed with Brest Cancer, and I have not completed required hours to qualify for FMLA. I know there are rules and sometimes they can't be changed, but life happens and there should be some exceptions. Now, I may be faced with the decision of keeping my job or getting the medical treatment I need because of my schedule. I know I will get all my seniority back after the one year make, but I need it now. My original hire date was 12/1997. I don't want to leave Micron again. :-(",ASSOCIATE TECHNICIAN-RETICLE MFG,Current Employee,"Boise, ID","Dec 25, 2022"
12,5.0,Great place to work,"Work life balance, supportive people","Progression can be slow, highly technical",Product Manager,Current Employe,"San Jose, CA","Mar 22, 2023"
