Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
4.0,"Stressful and fast paced workplace, however people around make the work enjoyable","Positives
1) Great collaboration between inter department teams
2) Great employee benefits such as medical, AWS and performance bonus
3) Allows employee to internal jump between departments after a period of employment

Negative
1) Fast Pace and stressful
2) Lots of documentations needed to make a change
3) 24/7 Operational","Good collaboration between teams, Good employee benefits, allows employee to internal jump between departments","24/7 operational, KPI Driven, lots of documentations needed to make a change",Engineer,Current Employee,Bendemeer,"February 11, 2023"
4.0,Fast pace environment,"Friendly colleagues, fast pace environment.

Continuous challenges on packaging designs can get you to learn a lot.

Compensation is better compared to other companies in Singapore",,,Development Engineer,Former Employee,Singapore,"March 23, 2023"
3.0,work,"okey to work for fresh grad, can get experience, but need to handle stress event. overall just okey, not more than that, if u can stay they stay,,,,,,,",,,engineer,Former Employee,my,"March 23, 2023"
2.0,Expect to OT,"Everyone has no life, need to OT to meet expectations. It is important to recognize the importance of having a life outside of work. People have families, friends, hobbies, and other personal commitments that should be valued and respected by their employer. Furthermore, working long hours for an extended period can lead to burnout and decreased productivity, which ultimately affects both the employee and the company.",,,Process Engineer,Former Employee,Woodlands,"March 20, 2023"
5.0,Helpful colleagues,Helpful colleagues who are always available to help new hires with learning. Great place to start your career in the semiconductor industry as a fresh graduate!,,,Process and Equipment Engineer,Former Employee,Woodlands Industrial Park D Street 1,"March 19, 2023"
1.0,Total job insecurity,You never know when you will be chased out despite achieving successful results and achieving exceeded expectations performance rating. I would rate this company as 0/10.,,,Senior Project Manager,Current Employee,Singapore,"March 17, 2023"
1.0,Disheartening to see a great company destroyed from within.,"What is the best part of working at the company?
Immediate team members and leadership

What is the most stressful part about working at the company?
Their WOKE agenda being enforced on everyone.

What is the work environment and culture like at the company?
WOKE. If you are not a liberal leaning person, you would be discriminated against by upper management and now, company policy.

What is a typical day like for you at the company?
Work was good, cutting edge, exciting. Co-workers are excellent - but diminishing as they are tired of being forced to embrace morals and political stances that differ from their own. Many are leaving the company. The company has intentionally targeted older, white, conservative individuals.",,,Senior Engineer,Former Employee,"Boise, ID","March 16, 2023"
3.0,"Great people, management was the latest book they read.",Work culture turned in the hunger games. Some folks promoted were dumb as a box of rocks. The people are awesome. HR is a joke. Boise is cool. Cool high tech gadgets.,,,Engineer,Former Employee,Boise,"March 15, 2023"
5.0,Very experiential and nice learning environment,"What is the best part of working at the company?
Process Engineer in Etching, Thin Films

What is the most stressful part about working at the company?
Meeting timely demands and pressure from supervisors

What is the work environment and culture like at the company?
Friendly with a community to learn from and speed up the process of improving yield

What is a typical day like for you at the company?
Working from 8 to 5 from Monday to Friday",,,Product Engineer,Former Employee,"Manassas, VA","March 15, 2023"
1.0,Tactical work and bad culture,"It's a good company if you are a fresher. Very tactical actions all the time. No appreciation for new and strategic ideas. Decisions are not made at right level, especially for last 1-2 years.",,,Industrial Engineer,Current Employee,"Manassas, VA","March 14, 2023"
5.0,"It was good while it lasted, but too strict for me…","What is the best part of working at the company?
Super cool supervisor and management, good crew

What is the most stressful part about working at the company?
Filling out documentation and following all the rules

What is the work environment and culture like at the company?
Business professional, strict corporate

What is a typical day like for you at the company?
Pretty busy overall, gives you a sense of accomplishment.",,,Equipment Technician II,Former Employee,"Lehi, UT","March 14, 2023"
5.0,productive,all people work in micron are helpful. all people respect each other. in micron work place people do hard work with enjoyment. all management is good and helpful,,,Production Operator III,Former Employee,italy,"March 11, 2023"
