,Rating,Title,Pro,Con,Job Title,Status,Region,Date
0,5,Good place for work life balance,Great place to work with work-life balance,not bad company to have less pressure,Engineer,Current Employee,,"Mar 29, 2023"
1,3,Great place to start a career. Not good for long term.,Good place to start a career. There are many diverse and challenging problems to work on. Great engineers to work with and learn from.,"Initial training is relatively poor, approach is very sink-or-swim. They have worked hard to improve this over the years, and it has gotten better, but they need to focus more in this area. Very little upward mobility, unless you are part of the club. Management is out-of-touch and too focused on satisfying their bosses at the expense of their directs. DRAM is a commodity that goes through cycles. While upper management is obviously aware of this, they do little to protect the business from downcycles and overspend during upcycles. Layoffs often occur every 3-5 years as a result. Management pays a lot of lip service to innovation. However, they are only interested in innovation that is very specific to the product. Peripheral innovation is often ignored or disregarded. The culture focuses on a reactionary instead of proactive approach to engineering. Many future problems could be avoided by taking a proactive QC minded approach, but management is often not supportive. Forced poor performance scoring to meet a quota. A lot of good engineers have lost jobs as a result of playing number games. Vaccine mandate.",Senior Product Engineer,Former Employee,"Boise, ID","Mar 9, 2023"
2,5,Great place to work and grow a career,"Great people to work with, wonderful team environment, good benefits, pay was good for location averages. There were many opportunities to learn new skills.",Like most larger companies your experiences may vary depending upon the supervisors management style. I have had some leads that very good at promoting technical and personal growth and some that were more focused on their own careers. Thankfully I have had many more good and bad experiences.,Software Developer,Former Employee,,"Mar 21, 2023"
3,3,Culture Is Transitioning,"Great technology but most importantly, MU is getting much better at executing on their product roadmap - ramping leading-edge technology at the right time, when strategic customers need it. (That wasn't the case in the late 2000's/early 2010's)","The new CEO (Sanjay) can be credited for improving execution (see above) but at the expense of a people-friendly culture which made MU unique and appealing vs. most Silicon Valley companies. Long term employees are not valued the same. The culture has become much more rigid and ""corporate.""",Sales Manager,Former Employee,,"Mar 28, 2023"
4,1,Dont Join,"Good Immediate Colleagues, your experience might differ. Hybrid work atleast for now.","All words, when it really comes to implementation the Management fails hard. Find excuses to skip bonuses or promotions by C-suite. Severence package was bad compared to peers. Management decision led to merging our team with other team(which was for most part homogeneous, seemed like the sr dir hired his own people) led to the distruction of our diverse/open culture team(almost all of the previous team members noticed this and most left/transfered to other teams, in hindsight that was a good decision ).",Media Systems Engineer,Former Employee,,"Mar 24, 2023"
5,4,Working at Micron for 6 months,#NAME?,"- Trainings are extensive - Since it's a public company, massive layoffs are expected in an economic downturn - There are not many fully remote jobs options - Sick days need to be covered with Paid time off. - It could experience communication issues with",Manufacturing Engineer I,Current Employee,"Boise, ID","Mar 13, 2023"
6,2,"Poor work-life balance, toxic company culture","Boise is a great place to work, and the semiconductor industry is very interesting.","Micron has a toxic company culture with bad work-life balance. The company is very internationally distributed now, so expect to work in both the US and Asia times zones simultaneously. This typically means 60 hours a week minimum. Additionally, the company culture is very cutthroat, and employees will frequently undercut and sabotage each other in order to protect their jobs. As a result, there is very little team cohesion and camaraderie.",Data Scientist,Former Employee,"Boise, ID","Mar 18, 2023"
7,4,Great people but poor work/life balance,Nice coworkers Good benefits and compensation,"Because of the flex schedule and remoting options you are expected to be available to coordinate with people overseas. You don't have much say in the meeting times (which change constantly). Expect to have to get up early and then attend late night meetings too. Don't expect the work day to be one solid chunk of time, and don't expect to be able to maintain a routine outside of work. I'd recommend printing out your weekly schedule and hanging it on the outside of your cubicle. This is to prevent non-engineering people from judging you for coming in late somedays and leaving early on others. Work hours will only be reasonable if you use the flex schedule.",Test Solution Engineer,Former Employee,"Boise, ID","Mar 1, 2023"
8,4,"Technology oriented mindset, not so employee freindly","1. Company is putting lots of emphasis on Technological advancement and securing industry leading position in terms of technology for both DRAM and NAND. That helps engineers to work in new technology and find innovative solutions. 2. Good opportunity to grow your career, promotions are generally not too much delayed. 3. Good alignment between remote work and in person work; never force to stay at office all time if jobs are done timely. 4. Good health insurance benefits for both employee and their dependents.","1. Very reluctant to increase compensation package compared to competitors specially for Boise area where cost of living and housing increased dramatically over last few years. 2. Doesn't put enough resources and manpower for challenging projects resulting in long office hours/late night works for employees. 3. Work life balance is very poor due to less than required manpower and collaboration with sites at different parts of world . And company doesn't seem to care much about the well being of employees. 4. Recently lost lots of talented people to competitors and Company is struggling to hire quality engineers due to low salary offers, current hiring freeze, overall increasing living cost in Boise metro area. This eventually lowers manpower resource degrading work life balance even more and put the company in more challenging position.",Engineer,Current Employee,"Boise, ID","Dec 4, 2022"
9,4,good company,"good culture, collaboration, location, decent benefits",experience depends on specific group,Process Engineer,Former Employee,"Boise, ID","Mar 27, 2023"
10,5,FAB Technician 1,"I Love working at Micron, that is why I keep coming back. :-) I would like to say that I noticed the improvements in Micron's culture and inclusion from the way it was in 2019 when I last worked here.","I am a returning employee (rehire) and I have not had the support in reinstating or uploading all my old transcripts from Micron classes and college classes. I remember taking some of the classes that are required for my current job, and it would be nice not having to do them again. I was recently diagnosed with Brest Cancer, and I have not completed required hours to qualify for FMLA. I know there are rules and sometimes they can't be changed, but life happens and there should be some exceptions. Now, I may be faced with the decision of keeping my job or getting the medical treatment I need because of my schedule. I know I will get all my seniority back after the one year make, but I need it now. My original hire date was 12/1997. I don't want to leave Micron again. :-(",ASSOCIATE TECHNICIAN-RETICLE MFG,Current Employee,"Boise, ID","Dec 25, 2022"
11,3,"Not the worst, but the culture kinda sucks","Interesting technical problems, some really great engineers and people, Boise is a fairly nice city (especially if you bought your house awhile ago), a strong and experienced manager can make a huge difference protecting from much of the BS from above","Biggest problem here is that the company loves managers more than engineers. Much easier to climb the ladder and get more money by turning into a manager than by being a technically competent engineer who is respected by their peers. The company is filled with layers and layers of management. Another big problem is the current CEO’s very heavy-handed, top-down approach. Managers and directors often have little room to apply their own discretion. Stacked rankings and restrictive WFH policies are evidence. The reward loyalty with meager raises, at least in Boise. Corporate believes that people won’t uproot their lives by leaving Idaho to change jobs so they skimp on the perks.",Principal Engineer,Former Employee,,"Feb 10, 2023"
