Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
3.0,A growing company undergoing transformation,Started out with the company right after graduation. I had the opportunity to try out a new role after one year in the organisation. Thoroughly enjoyed my time there as I had the autonomy and space to make improvements to the way things were. I can’t say the same now as many things have changed since I left.,,,SENIOR EXECUTIVE,Former Employee,Hill Street,"April 24, 2018"
4.0,Easygoing,People were very nice and welcoming. Superiors were also quick in extending assistance whenever required and were quite understanding when problems arose,,,Customer Service Officer,Former Employee,Singapore,"March 15, 2023"
1.0,Sucks,"Sembcorp industries is a place where is totally Bureaucratic and political.
Their business is totally non environmental while they are claiming they are so.",,,Manager,Current Employee,Jurong Island,"February 24, 2023"
5.0,Purposeful and fun place to work,Had a great time working with some of the most knowledgeable and experienced people. Always something new to learn from the team. Staff and managers are approachable and friendly,,,Summer Intern,Former Employee,Middlesbrough,"December 18, 2022"
3.0,Poor Management,"Meetings are plagued with incessant questioning or comments which are not constructive or helpful. You can feel questions are asked just for the sake of questioning. Even subject matter experts are questioned in fields which they had practiced for the longest time. Management has no respect or does not take opinions seriously and often results in firefighting, exhausting its Staff. They don't believe in do it right the first time but instead believe spend the least the first time.",,,Manager,Current Employee,Jurong,"November 7, 2022"
4.0,JOb security and work life balance,"Sembcorp supported us all during the 2yrs of covid,provided us all the support required for the team members who got infected.Also a flexible work timing helps in maintaining a work-life balance.",,,Deputy Manager,Current Employee,"Nellore, Andhra Pradesh","November 6, 2022"
2.0,Fast pace environment,Need to be very independent and self motivate. Task given with minimum supervision and resources. Cost control and project delay pressure from management,,,Yard Manager,Former Employee,Tuas boulevards Yard,"September 24, 2022"
1.0,No,"Badly managed..take it or leave attitude..bad decision made..very poor Health and safety
Overtime expected..no overtime pay ..weekend expected no payment. Management are useless and 2 faced not to be trusted and a very poor attitude to there staff...I would not recommend working here Decisions badly made on a daily basis by management..",,,Field Service Engineer NE,Current Employee,North East,"May 11, 2022"
5.0,Good workplace environment and collaborative culture,"Enjoyed my internship here.
1. The company trusts and allows interns to work on their ongoing projects. Overall it is a good environment and colleagues are helpful and willing to guide you along
2. The office is located at a convenient location and is extremely comfortable especially after renovation. (Near City Hall MRT, Funan Shopping Mall)

Pay is decent but could be slightly higher for computing/data related roles",,,Data Science Intern,Former Employee,Singapore City Hall,"March 10, 2022"
5.0,Internship at Sembcorp Industries Ltd,"- Great place to learn a LOT of things. Just be Proactive.
- Colleagues very willing to help interns to learn.
- Experience life as an engineer/ technician.",,,Intern,Former Employee,Jurong Island,"January 13, 2022"
3.0,not fun,"not a fun place to work, no communication from management, no job security all aimed at there base in Wilton, perk box is rubbish, bupa is difficult to use",,,Materials Controller Sembcorp,Current Employee,Solihull,"January 3, 2022"
4.0,Growth,"The company is good.
All the policies are employee friendly. But internal politics is too much.difficult for outer sider to survive.
I have worked for 5 years and completed 2 projects in India and as well as overseas. But at the end of the project ingot terminated, Noone supported. I have requested from the plant manager to CEO. But everyone have ignored my request.",,,Deputy Manager,Former Employee,Nellore,"February 10, 2021"
5.0,Excellent,Excellent place to work. I learnt many things while I working here. Great management. They provide good environment for us to work. Competitive too. Everyday is a learning opportunity for me.,,,Marine Hull & Structure Specialist,Current Employee,Singapore,"September 10, 2020"
5.0,Good company,I love working with Sembcorp environment service.the company take care the workers good. Maybe the the starting pay a-bit Low but every year had increased.we work as a team like family.because of my health so cannot continue with them. I really sad .,,,Plant operator,Former Employee,Tuas,"June 17, 2020"
5.0,Good package,"very good company to work with which gives saftey as top priority, only 5 days working culture Singapore based MNC, Transport is free, one of the best power plants worked till date...",,,Manager,Current Employee,nellore,"June 13, 2020"
