,Rating,Title,Pro,Con,Job Title,Status,Region,Date
0,5.0,Stability,long term employment in a growing market,corporate PMO structure is still being developed,Master Scheduler,Current Employe,"Atlanta, GA","Jan 5, 2023"
1,4.0,Good start,"Pay is pretty good, better than expected",Advancement is not the best in the world,A &amp; P Mechanic,Former Employe,"Pensacola, FL","Feb 10, 2023"
2,3.0,Not such a good place to work,They hire almost anyone who qualifies and applies,"Unorganized, inconsistent hours, poor communication",Aviation Maintenance Technician,Former Employee,"Pensacola, FL","Feb 10, 2023"
3,4.0,Upper Management is no good,"Lots of overtime, flexible schedule, friendly environment","Upper management too involved, too much micromanagement",Production Planner,Current Employe,,"Dec 29, 2022"
4,4.0,Decent workplace with good management and hours,• Good hours with mandatory OT • Can take days off when needed • Flexible shifts • Good management,• Upper management from other skills aren’t the nicest. • Expected to do work that you don’t know how to. • Pay isn’t the best,Production Controller,Current Employee,"San Antonio, TX","Dec 3, 2022"
5,2.0,Don't work here,It's weekly pay and can have benefit,Management has blatant favorites on 1st shift,Fabrication Bonder,Current Employee,"Middle River, MD","Feb 7, 2023"
6,2.0,Poor Pay,Good people and diverse working enviroment,Poor management and Pay. No one cares about you,Aircraft Mechanic,Former Employe,"Mobile, AL","Jan 14, 2023"
7,4.0,A company to join just to gain experience (highly recommended for fresh grads),"- Able to gain insights and major experience from ground zero (highly recommended for fresh graduates)
- Multiple collaboration with other departments
- Build internal networks
- Flexible working hours","- Stagnant career path
- Poor Management, the higher Management do not care and understand what the ground is doing
- Supervisors paints colorful stories to higher management
- Supervisors provides unclear directions and always ""roti-prata""",Project and Service Engineer,Current Employee,,"Aug 8, 2022"
8,2.0,Expect 1-5 months,"Benefits, nice office, nice CEO","Pay, culture, lack of transparency and trust, management, no opportunity to grow or get training, they play favorites, almost all executives are the same kind of person, manual entry",Executive Assistant,Former Employee,,"Sep 23, 2022"
9,4.0,Aprentice to Mechanic,"Able to learn and grow
Communicative Managment",Some company choices arent the best for the workers out on the work floor,Aircraft Structures Mechanic,Current Employe,,"Aug 19, 2022"
10,,,,,,,,
11,5.0,It's a career not just another job,"*Make great money without a college degree
*Reimbursement for college classes
*Lots of promotional opportunities","*HR isn't helpful at all, always hard to get in touch with
*Not as pro-active with things more of a re-active company",Layup Composite Fabricator,Current Employe,,"May 4, 2022"
12,4.0,Work life balance,Work life balance (i was in non-corporate role),Slow pay increments and promotions,Anonymous Employee,Former Employe,,"Jul 27, 2022"
13,1.0,Just another soulless job to get stuff done,"- Able to work from home (sometimes, it's debatable)
- Decent benefits (no Cigna)
- HQ building is decently sized","- Low pay
- Treated as an afterthought by colleagues
- No real opportunity to advance career
- Expected to do work outside your realm of expertise (even if it makes zero sense to do so) (they'll even lie to your face saying that everyone else does this)
- Any criticism of anything gets ignored (though what place doesn't do this)
- Project/task colleagues tend to be in different regions/countries, often leading to communication problems",FPGA Engineer,Former Employee,"Herndon, VA","Jul 7, 2022"
14,4.0,Nice,Good entry job to enter the industry,Weird hours and shifts sometimes,Customer Service,Former Employe,,"Jul 11, 2022"
15,2.0,Working Culture,Good Colleagues to work with.,"Bad Manager, poor management system, not much employee benefits, lack of communication from the manager.",Test Engineer,Former Employee,,"Sep 9, 2022"
16,2.0,Good Pay  Bad Environment,Works on interesting projects and has good benefits,High turn-over rate due to bad work climate and culture,Lead Supplier Quality Engineer,Current Employe,,"Aug 30, 2022"
17,3.0,Working Experiences,Really a place to acquire works and on job training.,Got to live with some poor and work place bully with poor managing experience to manage people. Poor leadership that use emotion to mange their own people.,Project Manager,Former Employee,,"May 6, 2022"
18,1.0,Wish this place was better,Cant think of any pros,"Bosses dont care about you, they do nothing but lie. Seniority means nothing. If your a hard worker, they use that against you to not accept your transfer request if you would like to try another dept.",Fabricator/bonder,Current Employee,,"Jul 2, 2022"
19,3.0,Not bad place to work,Good people to work with. Decent benefits,Pay low. Little information from hr,Avionics Technician,Current Employe,,"Jun 15, 2022"
20,3.0,Very political company with messy structure,Company was undergoing restructuring which will hopefully align incentives across the board more.,Political with many Presidents and different incentives across the groups. Legacy businesses are difficult to reign in. Management also appears to be unwilling to pay for talent,Anonymous Employee,Former Employee,,"Apr 29, 2022"
21,3.0,Salary,"Work experience, you will learn a lot","Low salary, if no work available they will send you home",Apg Mechanic,Former Employee,,"May 1, 2022"
22,3.0,Not good to their people,Good and competitive pay scale,Not good to their people,Anonymous Employee,Former Employe,,"May 3, 2022"
23,2.0,Ehhh,It’s kind of an ok job,The pay is too low at this place,Mechanic,Current Employee,,"Apr 26, 2022"
24,3.0,Was okay,Great atmosphere and location is not too far away,Over worked and underpaid for what you have to put up with,Diesel Technician,Former Employe,,"Feb 14, 2022"
25,4.0,Great intro to the industry,"Great access to mentors, very hands on experience",Intern sponsors can be overwhelmed trying to balance an intern and their day to day work,Intern,Current Employe,"Middle River, MD","Jan 31, 2022"
26,1.0,Horrible,None. Experience to move on to better companies.,Horrible work environment. Horrible upper management. They can't even get HR managers to stay.,Anonymous Employee,Current Employee,,"Mar 2, 2022"
