,Rating,Title,Pro,Con,Job Title,Status,Region,Date
0,5.0,Great Starting Company,Nice team Work life balance Decent salary Good values,Old technology Multiple layers of approval Its a bank not a tech company,Software Engineer,Current Employee,,"Oct 11, 2022"
1,4.0,Overall Good experience,Nice working environment and colleagues are very friendly.,Monthly sales target to achieve,Business Finance Manager,Former Employe,,"Aug 25, 2022"
2,4.0,Na,No opinion yet for now,The environment there is good,Personal Banker,Current Employee,,"Aug 14, 2022"
3,4.0,Nice,"Working environment is friendly, colleagues are willing to help.","The system is old, still print and scan.",Anonymous Employee,Former Employe,,"Mar 29, 2022"
4,4.0,Good place to work. Recommended,"The company headquartered in SG, with everything implemented well. Overall, not a bad place for starter. Recommended.",The conservative family-owned taste restricted a lot of opportunities,Manager,Former Employee,,"Mar 6, 2022"
5,2.0,Super conservative and highly political workplace with below-par peers,"Job is more stable than the average of the industry.
2 hours' lunch break.
Good sick leave policy.","Super conservative because it is family-owned.
Highly political culture which is counter-productive.
Qualifications of peers are generally quite low, comparing with average industry standard.",Anonymous Employee,Former Employe,,"Mar 2, 2022"
6,4.0,current employeer,"good company to work , flexible work hours","have not seen yet , no cons",Lead Consultant,Current Employe,"Houston, TX","Jan 12, 2022"
7,4.0,Okay,"- Good Salary
- Good Location
- Additional benefits","- Work Life balance
- Tight deadlines
-",SVP-Technology,Former Employe,,"Jan 1, 2022"
8,5.0,Risk Priority,People first. Not only take care of customers but also employees.,UOB is a regional bank.,Internal Auditor,Former Employe,"Seattle, WA","Feb 26, 2021"
9,5.0,you'll got your promotion based on your work,they promote an organic growth,"they have a long working hour,",Business Banking Manager,Former Employee,,"Feb 8, 2021"
10,,,,,,,,
11,5.0,Great company to work with.,"Professional and well-equipped office enviornment, Well-trained employees, Reasonable compensation and other offers. Company has global network to share market comments.",Might need to work overtime sometimes. Detailed work division might cause always focusing own duties and lack of bigger picture.,Dealer,Current Employee,"Los Angeles, CA","Feb 6, 2017"
12,4.0,Strategic Communications staff,Bank has integrity in providing products and services to customers.,"Singapore-centric, resulting in marketing communication processes getting stalled in local markets.",Assistant Vice President; Writer and Regional Copyeditor,Former Employee,"Cambridge, MA","Jul 14, 2016"
13,4.0,UOB AB,continued employment for those who perform well at their work.,"low salary,
limited chance for promtion",Analyst Programmer,Former Employee,"Milpitas, CA","Jun 26, 2015"
14,4.0,Not a bad experience!,The people there were very friendly and ever willing to teach you. Workload was very manageable.,Technology wasn't very up to date. Things seem to be moving very slowly.,,Former Employe,,"Sep 27, 2016"
15,3.0,financial officer,"good culture generally, people are nice",salary and benefit are under average,Financial Officer,Former Employee,"Rochester, NY","Jul 22, 2015"
16,5.0,Great experience,"-friendly environment, great company culture",-no mentorship program available during my internship,Risk Management Intern,Former Employee,"Seattle, WA","Nov 3, 2015"
17,5.0,Intern,"Good Work Dynamic, very nice colleagues",Non. Everything I experienced was very good!,,Former Employe,,"Dec 27, 2017"
18,3.0,Revenue is only way to prove your value.,Good employee benefits. Good training provided. Colleagues are nice.,"No work life balance. Endless cold call. Although they mentioned not hard sales, but actually it is still... depends... if you don't hv number for the month. The only blaming are you why don't push harder and convince your customer deeper. So, if you are a soft heart person, you're not welcome to take this job as well. It's not a bad job, just that if you are not a sales mindset people, you won't able to bear the stress. If you are seeking for continuously improve you value, I don't think this position suit it. For this position, only number/revenue defined your value in the bank.",,Former Employee,Singapore,"Mar 16, 2023"
19,1.0,"Bad culture, Not recommended",Good benefits and decent amount of good colleagues,"Pay wise is nowhere as high as European/US banks. Few things to highlights in the technology side: 1) If you're unlucky, you’ll get an old-timer manager who micromanaging a lot and scrutinizes unnecessarily instead of growing the team. 2) Always ask for process improvement including presentation of how other banks (if you’re from another) do things but never accept different perspective. Almost waste of time presenting. 3) They do catch up to other banks like DBS in terms of customer facing applications but lack of centralize systems for internal use. Very behind that of DBS and still using excel like a database. Excel is only as updated as someone willing to update it not a live info. 4) Brought in new technologies to play catch up but always stuck in one or two team because every team is so silo and there’s a lack of direction to cascade to every division. 5) A lot of old timers who doesn’t understand the importance of collaboration between teams. Full of back-stabbing instead. 6) A lot of long working hours in various teams can be reduced significantly if automation is in place. The problem is many people lack exposure on how things are automated in more advance banks, and they think that they must work this long to complete it. 7) Some old managers so call “know-it-all” mindset is actually “know nothing” in European/US banks or even DBS. These people doesn’t even have a Linkedin profile or understand how the modern management works. The list could go on but these are the key problems.",AVP-IT,Current Employee,Singapore,"Dec 29, 2022"
20,3.0,Suitable for junior entry looking for mass affluent segment,"Good brand, decent benefits, good support and tools available for market analysis and updates",tough to earn a commission. Need to achieve at least 5-6x rev of basic salary in order to see a little commission. Confusing scorecard. Products and solutions not segmented properly for mass affluent.,Relationship Manager,Current Employee,Singapore,"Mar 27, 2023"
21,4.0,BANCA,Good team lead and many training,"BANCA is the main target… need to sell BANCA to clear penalty, small error in submission will deduct your achieved sales by 5% by case count with no capped.",Trade Financial Manager,Current Employe,Singapore,"Mar 27, 2023"
22,2.0,Languishing,Off days and medical benefits A few rare gems of co-workers with great work ethics,"Your boss won’t bother to invest in your career development, you won’t be able to speak your mind, your contributions will be of little value to the leadership team.",Analyst,Current Employe,,"Mar 13, 2023"
23,2.0,Nil,Struggling to think of one,Low Base Pay in banking industry,Treasury Specialist,Current Employee,Singapore,"Mar 28, 2023"
24,4.0,Software Engineer in UOB,Good managers and team mates,Must provide training to employees to get updated with new technologies.,Software Engineer,Former Employee,Singapore,"Mar 27, 2023"
25,4.0,work life balance,good boss stable job and good colleagues,low pay compared to market no diversity in job function hard to move up,Senior Officer,Former Employee,Singapore,"Mar 26, 2023"
26,1.0,Not recommended at all.,OT Pay. Max out for approx 22 days a month.,OT is a norm. At least 9pm daily. Sometimes dont even have the time to go for lunch. Bosses spend hours on minor stuffs while there are more important things to concern. Will def not go back there again.,Custody Operations Specialist,Former Employe,,"Mar 25, 2023"
