Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
4.0,nil,typical day will go collect parcels and deliver. will do about 2 waves. pay is ok but very tiring. pretty ok job. learned to be patient and kind. learned some skills.,nil,nil,driver,Former Employee,sg,"March 22, 2023"
5.0,Good experience.,"What is the best part of working at the company?
I Don't remember the answer to that question.

What is the most stressful part about working at the company?
Midnight shift until you get used to it.

What is the work environment and culture like at the company?
Friendly environment professional most days

What is a typical day like for you at the company?
Same good day. Good night. Good morning.",,,Warehouse Associate,Former Employee,"Pontiac, MI","March 25, 2023"
3.0,Typical big company,"Amazon has all the hot button issues covered, but no one actually believes in the mission. Everyone at Amazon is there because it looks great on a resume, it's pretty cutthroat when it comes to promotion and advancement. The benefit policies are pretty nice and should definitely be taken advantage of.","Benefits, 4 day week","Employees treated like robots. One falls, another is filled in.",Safety Specialist,Former Employee,"Thornton, CO","March 25, 2023"
3.0,Micromanagement,"Pros: Mostly remote working, good office environment,

Cons: Micromanagement which managers will stalk your online status , long working hours, competition between co-workers",,,Recruiting staff,Former Employee,"London, Greater London","March 25, 2023"
1.0,They complicate simple,"They care nothing about their employees and make even the easiest things difficult. You would think being one of the richest tech giants in the world, they could figure out how to actually read a map and route stops accordingly. I could go on but to sum it up- don’t work for Amazon or contract with them",,,Delivery Driver,Former Employee,"Springfield, VA","March 25, 2023"
4.0,Good,"Working with Amazon is a good experience, you should always have to be extra ordinary to learn new things only then u can stand out and the mentors are good and helpful.",,,"Process Lead, (Recruitment Services)",Former Employee,"Bengaluru, Karnataka","March 25, 2023"
3.0,A lot of Chiefs,"I love the corporate part of Amazon. The warehouse though is one of a kind. GOOD: varies schedules, 3 break rooms with lots of goodies, holiday lunches, raffles, diverse, 24 hr access to HR, career growth, and job stability. BAD: TOO MANY PEOPLE CAN TERMINATE! You have one manager, BUT so many people will be watching you and can ruin your livelihood. That’s why I will never work for an Amazon warehouse ever again. It is very disturbing to know 100 people overseeing me and can write me up. There is an appeal process, OF COURSE cause that’s too many people having the ability to fire one person.",,,Picker,Former Employee,"Mira Loma, CA","March 25, 2023"
3.0,Not too bad,"Really enjoyed working from home but never forget you are just a number not an actual person to them. After a year, they decided to change my schedule forcing me to work all weekend. Not what I'd signed up for.",,,Vcsr,Former Employee,Wfh,"March 25, 2023"
3.0,"Great place to grow within but,,,",A lot of walking (12k step a day avg). Other than that the pay/ benefits are great along with the flexibility. DO NOT GO NEGATIVE IN UPT... no joke.,,,Ship dock,Former Employee,"Liverpool, NY","March 25, 2023"
4.0,Infinite scope of learning,"Learning here is immense, and you get to work on some cutting edge technologies. New ideas are encouraged. Leadership Principles indeed help in your work.
Work life balance is less",,,Intern,Current Employee,"Bengaluru, Karnataka","March 25, 2023"
5.0,Good company to work for,"I’m keeping my comments to myself.

Good company to work and you get discounts and benefits like private medical care and they are very friendly and supportive and they help you out",,,Warehouse Operative,Former Employee,DOX2,"March 25, 2023"
5.0,Production and can be a fun place to work.,"What is the best part of working at the company?
Pick your on shifts and the days that you wanting to work.

What is the most stressful part about working at the company?
Sometimes dealing with some of the Staffs

What is a typical day like for you at the company?
You always stay busy which help the time to go by fast.",,,Prime Now Associate,Former Employee,"Las Vegas, NV","March 25, 2023"
5.0,Nice Job,Easy and stress-free for the most part with the exception of major changes to interface. It's nothing daunting but a straightforward task every now and then.,,,Affiliate,Current Employee,"New York, NY","March 25, 2023"
5.0,Productive and fun workplace,It is the best company to buy and return a daily house holds and one of the best company to provide best branded products. This company is the world wide having connection through out the world with many international countries and each branded products are Available here easily. It is the company where a person easily get all the house hold things which they needed on daily basis,,,Production Manager,Current Employee,"Ghaziabad, Uttar Pradesh","March 25, 2023"
5.0,Great customer service training and tools,"If you don't like change, never seeing coworkers in person and training online, this job may not be for you. Otherwise, Amazon offers excellent customer service training and the tools you will need to do your job well and fast. It's a great opportunity if you want to work from home. It's a huge corporation with quality benefits.",,,Customer Service Representative,Former Employee,Remote,"March 24, 2023"
3.0,Good way to earn money,"Good way to earn money .But sometimes gossip around the warehouse gets too much. Just put ya head , work and you will be ok. You don’t need a gym membership , the job itself is a workout lol",,,Warehouse Associate,Former Employee,"Forney, TX","March 24, 2023"
3.0,Horrible management team,Horrible management ( packing department day shift) no advancement for promotion. Leadership Management doesn’t know how to treat employees with respect.,,,Associate,Former Employee,"Dallas-Fort Worth, TX","March 24, 2023"
3.0,Good place to work with great benefits,It’s ok but benefits are great! They work you management is ok… they do work with you! Great place to grow and get if you’re in school they will pay for it.,,,Amazon Fulfillment Associate,Former Employee,"Bessemer, AL","March 24, 2023"
4.0,Neat work shoes,"The free work shoes came in handy in the long run. Should be more lenient on productivity. Should give free forklift license or other ways to progress, use flex schedule for school, takes away most benefits",,,Fulfillment Associate,Former Employee,"Staten Island, NY","March 24, 2023"
4.0,Flexible,Flexible schedule for students especially if you are in college. Managers are chill besides a few. Hours are okay but just a lot of walking and standing/,,,Associate,Current Employee,"Denver, CO","March 24, 2023"
1.0,Dont work here if you want a work life balance,Working here takes a lot of sacrifice... You miss a lot of family life and its high pressure. Rating system is unfair. But it pays the bills. Colleagues are nice and bubbly.,,,Kindle Tech Support Retail Generalist,Former Employee,"Cape Town, Western Cape","March 24, 2023"
4.0,nil,typical day will go collect parcels and deliver. will do about 2 waves. pay is ok but very tiring. pretty ok job. learned to be patient and kind. learned some skills.,nil,nil,driver,Former Employee,sg,"March 22, 2023"
4.0,Great team and team manager,Great job when you are just starting to work in the BPO industry. Great team managers and workmates. The hardest part of the job is handling irate customers because they will rate you badly which can affect your scorecard even though you provided all the necessary steps and have taken extra mile for them. I learned a lot here even though I just work for seasonal account,Free coffee,Short breaks,Customer Service Agent,Former Employee,Pasay,"March 24, 2023"
5.0,Good,No extra work..pay can be improved..daily team meetings. Good culture. Will get free time. Less stress. Process update often. No gifts or benefits....,,,Transaction risk investigator,Former Employee,Bangalore,"March 24, 2023"
2.0,Not the company it once was,"Post Covid the culture and overall environment has clearly regressed into one of poor, inconsistent leadership approaching the level of a toxic culture.",,,Human Resources Generalist,Current Employee,"Seattle, WA","March 24, 2023"
1.0,Better on paper,"Working for amazon definitely sounds better on paper than it is in actuality. They offer benefits, but ensure you're too burnt out to utilize them. They didn't factor in finding system errors into the speed at which you work, which is automatically tracked.",,,Amazon Fulfillment Associate,Former Employee,"Fort Worth, TX","March 24, 2023"
2.0,Numbered Employee,"As an Amazon Warehouse employee you are seen as nothing but a number on a chart. Despite physical disability that developed while on the job management has no regard for job/life balance. It is commendable the dedication to the customers, but it comes at the cost of working your employees like a dog.",,,Amazon Warehouse Associate,Former Employee,"Palatine, IL","March 24, 2023"
5.0,No flexibility,No flexibility. They constantly changed schedules and you would just have to adapt or quit. Company is pretty good but they need better direction when they say flexibility.,,,Sortation Associate,Current Employee,"Sunrise, FL","March 24, 2023"
3.0,It’s just OK,If you need a job and looking to make some quick money this is the place for you. Management does have favorites but just stay out the way and do your work you will be fine,,,Amazon associate,Former Employee,"Horn Lake, MS","March 24, 2023"
