,pros,cons,rating_number
0,Awesome team and leaders Great,Working weekends is tough but could be worse,5.0
1,"We work with geniuses - in every department,   We create innovative products that thrill our customers and create new product categories -  who else can say that?","ZERO   ZERO   ZERO   work/life balance.   Execs have been saying for YEARS that they understand and will make it better.  But in actuality,  it gets worse every year!  It is obviously top management LIP SERVICE because if they meant it,  they could fix it tomorrow.   They have hundreds of BILLIONS in the bank.   If they REALLY cared about employee work/life balance,  they could bring aboard the right number of folks to make that issue dissolve.   Sick of hearing the lies.   Just don't lie about wanting to fix it,  when they clearly DON'T care",4.0
2,"The position is at home. The company is AMAZING. There are limitless advancement opportunities. You work with some very cool people and the leadership cares about your development. You may get coaching but you never get battered or belittled. The pay is decent and the benefits include, 401(k) match, stock purchase options, product discounts and discounts on services across many different areas, education assistance, child care assistance, paid vacation, sick time and other time off options, health club Reimbursment or bike cost set off. You get 1.5 time for OT and it's pretty much unlimited as long as you don't exceed 12 hours in a day or 59 total in a week.",The schedule changes every 90 days and you have to bid for your shifts so you never know what you are going to get. This makes it extremely hard to plan your life to far in advance. You are also pretty much assured to work a Saturday or Sunday.,5.0
3,"Working at Apple means that the things you work on get into the hands of hundreds of millions of people, literally. It's a lot of pressure to get things right and drives one to do the best work of their lives. 2+ years later I'm still blown away by the talent and creativity of people I work with.","It's a lot of work, teams are usually strapped for resources and under pressure to deliver on strict timelines leading to high stress and long hours at certain times during the year.",5.0
4,"Competitive Pay, Great Benefits, Amazing People, Great Work, Awesome Opportunities, Excellent Experiences, Great atmospheres in a beautiful store, no matter where you're working!",None! I had one of the best times ever at this company. Hopefully I stay to go on to corporate!,5.0
5,"- organized, structured, and corporatey: instruction manuals for literally every task, and clear order of operations for every single interaction you had. This made the job easy, if monotonous, for people who do well with structure, and frustratingly rigid for those who didn't enjoy structure/rules. 

- benefits were really what made it worthwhile to work there: great stock options, discounts on apple products, industry discounts on phone service plans","- poor scheduling practices: lead to inflexibility and inequality of hours and times 

- poor management and leadership: led to petty store politics, cliques, and favoritism. Often did not feel supported by management, and resorted to working with heads of department or coworkers for problems that management could have handled easily. 

- pay and raises: incredibly frustrating pay system. Salary was based on a rigid formula of performance, position, cost of labor (not cost of living) in your area, and the salary you started with. There was no nuance or humanity or sensibility to the way employees were paid. It was all up to the pay formula equation. So for example, store transfers and new hires would frequently make 20%–40% more per hour than employees with the same job who had been working at the store for many years, because their starting salary was higher (whether from starting in a location with a higher cost of labor, or starting more recently after a minimum wage had increased). Managers and leaders seemed to have their hands tied when it came to fixing this.",4.0
6,"Amazing pay. I went from making around $9/hr with Best Buy to $15/hr with Apple. Doing pretty much the same thing. (I ended my tenure at $20/hr) Prior to this I worked at Hollister, Target, Verizon, and Best Buy. This is, by far, the best retail experience you can have. Education reimbursement is what allowed me to leave retail altogether.","Very very busy most of the time. There weren't many days where we could just 'stand around'. The manager culture is absolutely horrible. They reward based on 'attitude' over skill. The feedback culture is completely corrupted, using extremely broad competencies to justify promotions for their favorite employees over skilled employees.",5.0
7,"Leadership continually fostered a place to freely share ideas, advocate for yourself and colleagues, as well as provide tools to better serve the retail store experience. Time management was heavily encouraged for well being, and the team supported one another when needed to meet those requirements.","Customers ranged from civilized to crotchety. If met with the latter, you could potentially be working with a customer for an alarming amount of time. Be prepared to be verbally assaulted by customers.",5.0
8,Get benefits and perks. This review isn’t based off contract work. This is a direct hire with over 5 years.,"No room to grow at all. If you come in as a T1, you can transition to T2 quickly but expect to be in the T2 role for a long time and all of the moves from T2 sometimes are considered as lateral moves and people have more responsibilities but the pay don’t change unless you are in management or a engineer.",5.0
9,"Pay was pretty good considering is retail, not to mention the perks such as discounted stocks, discounts on cell carrier plans. Lots of like minded individuals, a lot of great people to work with, most are part-timers going to school. Management did change around the beginning of 2022 and we lost some great leadership and co-workers.","not having a set work schedule, schedule varies every week.",3.0
10,Get benefits and perks. This review isn’t based off contract work. This is a direct hire with over 5 years.,"No room to grow at all. If you come in as a T1, you can transition to T2 quickly but expect to be in the T2 role for a long time and all of the moves from T2 sometimes are considered as lateral moves and people have more responsibilities but the pay don’t change unless you are in management or a engineer.",5.0
11,"Pay: pay is great. Frequent raises to keep up with cost of living and to ensure everyone in your role is around the same pay rate. Benefits: amazing; benefits team actually does listen to employees and has implemented new benefits or changed old ones to make them more favorable for employees Incentives: ESPP and stock options that vest yearly, nice discount on products The name: honestly being able to say you work or worked for Apple opens a lot of doors that would otherwise be closed or much more difficult to open otherwise","It’s retail: inconsistent schedules which makes it incredibly hard to maintain any sort of routine or to make appointments without constantly inputting in off requests Customers: most of them are great, but the bad ones really put a sour taste in your mouth. There is a level of elitism with some customers that I haven’t experienced in other jobs, both pre and post-employment with Apple. NPS: it’s a useful tool to measure performance but too much stock is put into it considering how easy it is to drop a score. I’ve had my NPS score drop because even though the customer said my service was “impeccable”, the music in the store was too loud so they gave me a passive instead of a promoter. One detractor or passive survey drops a score so much that you have to get 5-10 promoters to make up for it. There is no appeals process to have the survey not count. It affects your numbers and can affect your raise/performance when review time comes around. Unrealistic expectations: I worked at the Genius Bar. By the time I left we were expected to take 3-4 appointments per hour where we were expected to not only troubleshoot/diagnose/resolve/check in for repair devices, but to also talk up AppleCare+, get a new business intro, talk about new products and upgrades, answer all customer questions, and learn/connect with the customer as a human. All of that CAN be done, but not in 15 minutes. That’s 1-2 appointments per hour, not 3-4. It didn’t matter how high your NPS or other metrics were, if you didn’t hit that 3-4 appointments per hour you were constantly pulled into “connections” with your connection leader to talk about it. Irritating. Leadership: inconsistent and very hit-or-miss. Some were very by-the-book and almost robotic, others were more human and understanding. Some had issues with micromanaging, no matter how many feedback conversations you had with them. Very few I felt I could actually trust. Lack of upward mobility: moving from specialist to expert is pretty easy. Anything beyond that gets significantly harder. Breaking into the corporate side is virtually impossible. Phone Support: there is a HUGE disconnect between phone support and store support. Phone support is awful, and they frequently lie and/or give incorrect information to customers, and store employees are left to clean up the mess and reset expectations.",3.0
12,Amazing culture and benefits. You work with diverse and insightful peers that all bring unique insights. Apple culture welcomes this diversity of different ways of thinking.,Must reflect a lot - if you struggle with that you develop the skill.,5.0
13,Great work environment and a lot of diversity and inclusion,Hours can sometimes be difficult to get,5.0
14,"Love working here, wouldn't trade it for anything",Can be long days and hours time to time,5.0
15,"As an employee, the benefits are the best part. Even part time employees qualify for health coverage, employee discounts, employee stock options, and paid vacation time.","Despite all the benefits, the actual wages that one is paid per hour could certainly be higher. While a base pay of around $20 an hour based on what part of the country you’re in is relatively high, it’s a drop in the bucket compared to how much profit the company turns annually. Wages could and should be higher.",4.0
16,"Apple has shown great care and support to all employees. The company cares so much about their employees to ensure that they are in a comfortable workspace and given opportunities to grow in the company. I've learned so much, training was more about what the company was about and what it stands for. I learn about the products and services a few days after the main training days. Employment and interview process is very intricate to ensure that the best hard workers would be given the chance to share their knowledge on the sales floor while also continuing to learn and grow from every interaction.","Since I was on a seasonal contract, I wish that they were given more room to expand and keep seasonal workers longer. In most cases they can, but due to how the economy is like right now, it is something they have to do with the company. Other than letting seasonals go, they have a really good system on how to support employees on and off the sales floor.",5.0
17,"Pretty good discounts, decent pay, good overall benefits. Gives you a start in a big company, easy to move up.",Retail is Retail. Having to deal with rich snobby customers gets really tiring really fast. Having to deal with managers pestering you about your numbers that don't reflect your work ethic is frustrating. Be weary that some locations participate in some predatory salesmen behavior just to get their numbers up. This can conflict with work performance if you're a decent human being.,3.0
18,"Everyone has a lot of motivation, and brings energy to the discussion. People are passionate about their work. Managers and directors are technically proficient and quite personable. Each day poses new, difficult challenges which is always really exciting. The inclusion and diversity is so refreshing, too. The facilities are amazing, and it's easy to accomplish work/tasks from anywhere. You have all of the tools and information available to you to execute your job. The cafes are also really great, and there are a ton of perks. I could go on and on about how much I enjoy my job.","Honestly, none that I can think of so far. The hours can be long, but it depends where you're at in your life. I don't have any personal obligations right now, so it's really easy for me to stay plugged in since I'm passionate about the product and mission, but I can empathize with those that might be at a different place in their life.",5.0
19,"Incredible meetings of minds, great facilities, open-minded workspace, people truly care and are devoted to their work. Incredible collaboration and reliable teammates. Kind, friendly, warm, approachable, teammates who become your family. People don't feel the need to prove themselves - just want to help the team and product.","12-13 hour days, pay for lunch (~$13), incredibly demanding level of perfection demanded. Hard to enjoy life outside of work when there is so much pressure and people depending on you for excellence.",4.0
20,All part timers get health insurance!,Retail isn't for every one.,4.0
21,Good culture and good environment,a lot of work for little pay,4.0
22,Good benefits for part timers,Have to work weekends Employee quality has gone down,4.0
