Rating,Title,Review Description,Pro,Con,Job Title,Status,Region,Date
5.0,Collaborative and Inclusive workplace,"In my short time working at Apple Orchard, colleagues were friendly and always ready to help.

Most managers are approachable but they continuously drill you to ensure that you meet their KPI.",,,Specialist,Former Employee,Orchard,"June 9, 2022"
5.0,Fun!,"The job was fun, not much to it. Shifts were very flexible and the pay was good. Co-workers were nice and respectful. Sometimes rude customers. Overall would recommend.",,,Sales Associate,Former Employee,"New York, NY","March 25, 2023"
5.0,Great Workplace Culture,"Excellent colleagues, managers, and campus. Your opinion is valued and respected. Great benefits and room to grow your career. It may be difficult if you are trying to work remotely. Apple definitely values the collaborative and engaged presence that in-office provides.",,,Tech Sales,Former Employee,"Austin, TX","March 24, 2023"
3.0,Fun workplace,Very nice work was fast and there’s was opportunity to advance in position for sales rep everything is expensive so don’t go tricking people to go in debt for a dumb box,,,Sales Associate,Former Employee,Ontario,"March 23, 2023"
2.0,"It’s not Disneyland or . In order to promote your career, always remember you must be flexible to take advantage of opportunities.","What is the best part of working at the company?
The Job. Unfortunately, politics plays a heavy role.

What is the most stressful part about working at the company?
Colleague interaction. Not exactly a great environment.

What is the work environment and culture like at the company?
Complicated. And unusual. Best to keep to yourself. Support is wanting.

What is a typical day like for you at the company?
Busy. Come prepared, always. Be timely, organized and friendly.",,,Apple Specialist,Former Employee,Various,"March 23, 2023"
5.0,good,its a good thing to keep track of your normal working hours and such as firm policy to not allow right aways to the cost management side of the In-Depth and other things that are not surplus to be the way it is good for me.,,,Engineer,Current Employee,"Sanford, MB","March 23, 2023"
4.0,Fun enjoyable,Nice working environment. Great staff and very helpful management. Lots of training available and no questions weren’t answered towards staff development,,,Customer Service Advisor,Former Employee,Bromley,"March 23, 2023"
4.0,Productive place to work,"Productive place to work, meeting new people, expanding your network. Ample opportunities within my department. Would highly recommend to anyone wanting to invest in their career.",,,Administration Assistant,Former Employee,"London, Greater London","March 23, 2023"
4.0,Productive and fun environment to work at,"The good thing at Apple is you can start as a total Newbie and work your way up the career ladder.
The internal work culture at Apple is also fun and you learn new things about the products everyday!",,,Operations Specialist Apple,Former Employee,München,"March 22, 2023"
5.0,Loved it,It was a fun environment. I learned a lot. Loved my coworkers and the employees. The only reason I left is because I was moving but if I could go back I would. Apple is an excellent company and they treat their employees fairly and with respect.,,,Expert,Former Employee,Florida,"March 22, 2023"
5.0,very fun job,"everyone was friendly and helpful, great pay, good flexibility. managers really tried to help you reach any goal you had. work with you if needed time off",,,Specialist,Former Employee,"Webster, TX","March 21, 2023"
5.0,Productive and Fun,"Helped customers with phones and other devices, you can hold different positions and work in different areas of the store. Fun experience with managements as well",,,Sales Specialist,Former Employee,"New York, NY","March 21, 2023"
5.0,Good company,cares for its employees but to much micromanage on the daily which makes it stressful. They do offer good benefits and pay is okay it would depend on your performance.,,,Technical Support,Former Employee,Remote,"March 21, 2023"
5.0,Great Place,"Iloved it there. Every one was great, nice and did an awesome job. The benefits were not so great but that was just at the sales associate level. Im sure other people got better.",,,Sales Associate,Former Employee,"San Jose, CA","March 21, 2023"
