Rating,Title,Author,Review Description,Pro,Con
4.0,Good place to work,"Scheduler (Former Employee) - CBD - December 6, 2018","As a contractor, you are not expected of much performance at the same time can't excel much for career advancement. Contract agents will get you in with a lower pay in the brand name of Google. Just need to be tactful on that.","Free food, flexible working (WFH)",Contractors' separation from Googlers. Could be bullied at times
3.0,Contractors are differently handled,"Manual QA Tester (Current Employee) - San Jose, CA - March 8, 2023","For contractors, this is not a good place. They are treated as laborers. workplace culture is not good. management is not transparent. requirements will not be clear. no team spirit. for contractors there is a separate building at San Jose. so, we don't get to meet googlers at all.",,
5.0,Lots to learn and good WLB,"Software Engineer Intern (Former Employee) - Seattle, WA - March 8, 2023","Everyone just does what makes sense. You learn a ton as everyone pushes each other in a healthy way while still maintaining WLB.
Interns were given lots of room to mature and grow and I felt my project pushed me in all the right ways.",,
5.0,Loved working for the company!,"Account Manager (Former Employee) - Dublin, County Dublin - March 7, 2023","Great psychological safety in the team, culture promoting work-life balance and also great benefits in the office. I definitely recommend working for this company.",,
4.0,Google - plutôt bien,"Informaticien (Former Employee) - Lausanne, VD - March 6, 2023",Ambiance sympa et détendue bonne qualité du salaire.,,
5.0,Motivating environment,"Sre (Former Employee) - California - March 6, 2023","Great place to work with the smartest people in the industry!!!great benefits, career opportunities, diversity and inclusion. Fun activities and free dood",,
3.0,Above Average,"Data Entry Clerk (Current Employee) - Silicon Valley, CA - March 4, 2023","Above average place to work, including good work/life balance. Management treated you fairly, at least in my department. The woke policies got a little old I must say.",,
4.0,"Great people, complicated process.","Senior Staff Engineer (Current Employee) - Kirkland, WA - March 3, 2023","Google is filled with great people, but sometimes their process feels heavyweight and gets in the way of getting things done.

Collaboration is key and often leads to great ideas. Sometimes the bottom is up culture makes decision making difficult.",,
5.0,Nice,"Adsense (Former Employee) - Calgary, AB - March 3, 2023",Nice place to work online for i did Adsense and was able to run my own channel and make enough income to support myself while i was going through school working there is amazing.,,
5.0,Productive and fun workplace,"Junior Software Developer (Former Employee) - Toronto, ON - March 3, 2023",The work/life balance at Google is very good. The employees are very helpful and will help out when you have questions and need help. I had a very good time working here.,,
