Rating,Title,Author,Review Description,Pro,Con
5,Productive and fun workplace,"Senior Software Consultant (Former Employee) - Singapore - February 19, 2023","Good place to work. Lots of freedom to learn and explore things at work awesome perks and benefits, good compensation and work life balance, and a great culture for everyone to work at least once.",,
3,No Regrets,"Executive Assistant (Former Employee) - Austin, TX - March 7, 2023","Pros
- Decent WLB
- Opportunities for broader impact beyond core role
- Great internal training
- Competitive salary

Cons
- Performance reviews became highly political as the company grew",,
3,"Great People, Terrible Communication","Recruiting Coordinator (Former Employee) - Dallas, TX - March 3, 2023","I’ve worked on contract for Meta and I will say I loved my time working with my coworkers, but the actual work in crazy. I was let go early due to “performance”, yet we weren’t given any queues as to what standard it was supposed to stay at during meetings or 1:1’s. I was totally blindsided, and wronged after working insanely hard for this company",,
4,Young hardware comapny,"Optical Engineer (Former Employee) - Redmond, WA - February 28, 2023","I love the tech perks and the resources and ambition going into realizing the
""Metaverse"".

The downside is probably that it is a relatively young hardware company on a massive scale. There are plenty of people without actual experience of a product cycle.",,
3,"Productive, supportive team","Media operations analysts (Current Employee) - Mountain View, CA - February 21, 2023",Great working environment with great team members. I love how our team supports each other so that none of us fail and meet company’s expectations. Working here makes you want to work your best.,,
4,Fast Paced; metrics driven; collaborative environment,"Strategic Learning Program Manager (Former Employee) - Remote - February 21, 2023","Meta offers a fast-paced, metrics-driven work environment, ideal for individuals like me who thrive under pressure and enjoy working towards measurable goals. The collaborative aspect of the work culture highly values teamwork and effective communication. Meta is an exciting and dynamic workplace, especially if you enjoy a challenging work environment and value the opportunity to work alongside other talented professionals.",,
3,Used to be okay with the compensation,"Research Scientist (Current Employee) - Boston, MA - February 18, 2023","High wages, good benefits, that’s it.
Technical skills will degrade as you will be dealing with endless firefighting. The impact game is endless, pointless and solves no real problem.",,
2,Ehh,"Candidate Channels Specialist (Former Employee) - Remote - February 9, 2023","It was an okay job, just not very transparent when it comes to management. They don’t communicate well and like to act as though they are clueless when decisions are made.",,
4,Great place to work. Performance evaluation culture poisons engineering,"Software Engineer (Former Employee) - Menlo Park, CA - February 5, 2023","All in all, working at Meta is once of the best workplaces you can find outside of the job duties. One of the big issues is just the performance evaluation culture. Due to every engineer needing to fend for themselves to prove why they are still needed every 6 months, asinine projects are created and pushed through in the name of ""impact"" because there is very little central direction on what needs to get done.",,
4,"Not the same as a few years ago, but still a great place to work","Manager (Current Employee) - Remote - January 30, 2023","while the culture has changed over the last few years, Meta is still a great place to work. Mainly due to the people I work with, the benefits and the work life balance",,
3,Overall a good place - before the economy crashed,"Data Scientist (Former Employee) - Seattle, WA - January 30, 2023","Free snakes, free food and fast-paced work environment with great potential to grow your career. Recently being pretty toxic and ratting fighting so wait for a couple of years then go there",,
3,Awesome people...chaotic management,"Technical Program Manager (Former Employee) - Remote - January 25, 2023","Lots of amazing people work here. However, the culture is inconsistent across the organization and this certainly isn't the best place for women. There are no standards for management, so the possibility of having a manager that doesn't manage people well is there. There weren't any key objectives for my organization, creating a chaotic culture where everyone is achieving the do something big individually rather than working as a team or organization to move forward successfully.",,
3,"alright, not open","Software Engineer (Former Employee) - New York, NY - January 24, 2023",idk man. i was a new grad that got laid off before getting a team. internship experiences were good for the most part - supportive people and managers,,
4,"Constant change, demanding, great benefits.","Critical Facilities Engineer (Former Employee) - Prineville, OR - January 23, 2023","Review scheduled work, execute scheduled work, plan and revise to fit team availability.
I learned a great deal about data center operations.
Management of teams was varied based on the manager.
Maintenance system is in development and has a lot of opportunity.
The hardest part of the job was keeping up with the safety culture brought down from corporate.
The most enjoyable part was developing the team relationships while on shift.",,
2,Ambiente lavorativo ostico soprattutto da parte dei titolari,"demi chef de rang (Former Employee) - Milano, Lombardia - January 23, 2023",Colleghi ben disponibili ad insegnare ed a collaborare. Ambiente negativo per quanto riguarda la gestione da parte dei titolari e di altre figure all’interno dell’azienda.,,
4,Great People & Great Tech,"Manager (Current Employee) - Seattle, WA - January 21, 2023","Loved the work and believed in the direction we were going. People are friendly and most are mission focused.

Lots of current anxiety and uncertainty across all levels.",,
5,Great experience,"Content Editor (Current Employee) - Los Angeles, CA - January 11, 2023","Great team (literally only met one person who was semi-difficult to work with out of maybe 30). Great manager who doesn’t micromanage and shows genuine appreciation for my work. My ideas and contributions are respected, even as a contractor. I’m sure there’s exceptions, but overall I’ve seen a culture of gratitude and mutual respect at Meta- I should note that I’m fully WFH though, meaning my sense of Meta’s culture is only based on online/video interactions.

Still, lots of contractors are on the team and it doesn’t feel like they’re treated that differently other than not being able to go to the company All Hands, which is fair enough. There’s not much focus on your career growth as a contractor (but again, that’s literally what being a contractor is, and it comes with its own pros). Great pay. Great work/life balance for my particular role.",,
5,Excellent benefits and work envioronment,"Leadership Technical Recruiter (Former Employee) - Menlo Park, CA - January 5, 2023",Great benefits and perks along with compensation. Goals and bar is set high so you may feel the need to stretch yourself often but there is quite a bit of support from leadership.,,
2,Sinking ship,"Software Engineer (Current Employee) - Remote - January 3, 2023","Leadership is blaming ICs for the results of their poor direction. Pay and benefits are still good, but that's rapidly changing. Not a good outlook from here",,
4,yes,"costumer service (Current Employee) - teleperformance open - January 2, 2023","What if you could work with an international excellence team from the comfort of your own home? This is your opportunity! We are looking for Customer Service Representatives to work from home in a leading project.

If you’re self-employed and focused on deadlines, this could be your dream job. Apply for Work from Home – Customer Service and join our Teleperformance Cloud Campus team!

At TP, we love new ideas and new thinking. Can you develop strong work relationships? Do you love to break silos? Are you a problem-solver, questioning with confidence? Are you eager to take accountability of your work? Together as one, we’ll drive great results!",,
4,Busy environment but worth it,"Facebook Gaming Content Creator (Current Employee) - Remote - December 23, 2022","Good pay , good starter career path. Poor communication through management. Alot of bugs within the software , and lack of leadership. But the pay is worth it.",,
5,Productive and fun workplace,"Senior Software Consultant (Former Employee) - Singapore - February 19, 2023","Good place to work. Lots of freedom to learn and explore things at work awesome perks and benefits, good compensation and work life balance, and a great culture for everyone to work at least once.",,
1,Fun,"TEAM LEADER (Current Employee) - Toronto, ON - December 16, 2022","Overall not a great company to work for if you want to advance your career. Most staff are unhappy with the way they’re treated
Wage increases are very minimal
It takes a long time to get a full time position",,
