Rating,Title,Author,Review Description,Pro,Con
5.0,Fun and Stress Free,"Customer Service Representative (Current Employee) - UP Town center CP Garcia katipunan Quezon City - March 16, 2017","Its a morning shift and we normally handled calls about our customer Netflix's account if they have difficulties in getting netflix, billls and payment also inquiries about movies and shows that netflix offers.Netflix always teach us to be friends with our customer for us to create a good customer service. Netfix also provides us excellent working environment, facilities are good we have entertainment rooms were we can watch movies and play during our free time. Best part is learning new things everyday and use it to help my customer with their concerns.",,
5.0,Fun,"CCO (Former Employee) - Atlanta, GA - February 25, 2023",Good place. Good people. Opportunity to move up in the work place. It may get tiring being on your feet all day but it’s something to get use to. Overall good gig.,,
4.0,Tough place to grow,"Data Analyst (Former Employee) - Los Gatos, CA - February 12, 2023","Great colleagues, management could use more training as managers rather than ICs. Lots of change without effective leadership. Feels like it's falling apart.",,
4.0,Productive,"Production Worker (Current Employee) - Atlanta, GA - February 10, 2023","Productive environment and well compensated for the time put in. Even if Netflix does not care about the content they make, they treat their employees fairly and compensate them accurately.",,
4.0,Good place,"Marketing Director (Former Employee) - Calabasas, CA - February 4, 2023",Delightful place to work very friendly and would work here again if I had the chance. Loved the team work environment and the transparency from the company,,
4.0,it's a productive and engaging work place with a billiard pool,"Customer and Tech Support (Former Employee) - Quezon City, PH - January 30, 2023","A typical day at work is that we provide customer support when it comes to billing concerns, troubleshooting and other concerns relating to our account which is Netflix, I learned how to become a team player since there was a time where almost all the team managers resigned due to the poor operations management and for our team to keep in track of our team metrics I stepped up in posting our daily metrics through our company provided email for our team to reach and acceptable monthly metric.",,
4.0,Exciting environment,"CSR - Customer Service Representative (Former Employee) - Farmington Hills, MI - January 29, 2023","Great place to work. Free netflix account, good work culture. Decent management, company activities. Pay on the lower end. Call center environment, full time and part time options.",,
5.0,Great,"Background Actor (Former Employee) - Albuquerque, NM - January 25, 2023",AMAZING times. dreams come true. beautiful well equipped environment. I love it so much and you'll meet people you grew up watching or see people that are currently on tv and movies. amazing.,,
4.0,innovative and insightful,"Social Media Intern (Former Employee) - New York, NY - January 14, 2023","I liked it there, it was a fun opportunity to get to know some internal structures of a big company as a foreign student. I felt respected at all times :)",,
5.0,5 stars,"Independent Producer (Former Employee) - Austin, TX - January 11, 2023","What is the best part of working at the company?
It was a good experience overall—the onboarding team where very nice. The production was gigantic and very professional

What is the most stressful part about working at the company?
Covid Protocols
Short time notices


What is the work environment and culture like at the company?
It's very competitive. This was a third party working for Netflix and they were a little cold, but very professional

What is a typical day like for you at the company?
Early rise and 12 hr average on your feet and outdoors",,
